displacement,force,time
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.133599999999999785e-05,6.886452556261462449e-05,1.000000000000000000e+00
2.267199999999999570e-05,1.659509563047324189e-04,2.000000000000000000e+00
3.400799999999999017e-05,3.037948334681847941e-04,3.000000000000000000e+00
4.534399999999999141e-05,4.754298758968187569e-04,4.000000000000000000e+00
5.667999999999999265e-05,6.789881432009259960e-04,5.000000000000000000e+00
6.801599999999998034e-05,8.883328546934260916e-04,6.000000000000000000e+00
7.935199999999998158e-05,1.115981547003174141e-03,7.000000000000000000e+00
9.068799999999998282e-05,1.329242931059439409e-03,8.000000000000000000e+00
1.020239999999999976e-04,1.516428477407622552e-03,9.000000000000000000e+00
1.133599999999999853e-04,1.690583963151802514e-03,1.000000000000000000e+01
1.246959999999999594e-04,1.861973989436648338e-03,1.100000000000000000e+01
1.360319999999999607e-04,2.010092180807993793e-03,1.200000000000000000e+01
1.473679999999999890e-04,2.149644341391643287e-03,1.300000000000000000e+01
1.587039999999999632e-04,2.274614219551826261e-03,1.400000000000000000e+01
1.700399999999999644e-04,2.387342168281981862e-03,1.500000000000000000e+01
1.813759999999999656e-04,2.495445213305207913e-03,1.600000000000000000e+01
1.927119999999999940e-04,2.595595199373186817e-03,1.700000000000000000e+01
2.040479999999999681e-04,2.687694691048899548e-03,1.800000000000000000e+01
2.153839999999999694e-04,2.778421939462354801e-03,1.900000000000000000e+01
