shear,shear_stress,time,torque,angle
-0.2993286016809144,-143.12745585391963,0,-1.4388741242805483e-05,-0.2993286016809144
-0.29194049552477414,-135.4947845911133,1,-1.3621421435877538e-05,-0.29194049552477414
-0.28455238936863386,-127.81992959069677,2,-1.2849860857103923e-05,-0.28455238936863386
-0.2771642832124936,-120.39115958403345,3,-1.2103039440203388e-05,-0.2771642832124936
-0.2697761770563533,-113.75869525334403,4,-1.14362714012757e-05,-0.2697761770563533
-0.26238807090021304,-107.17134190787691,5,-1.0774038413220672e-05,-0.26238807090021304
-0.25499996474407277,-100.96806990442526,6,-1.0150417493084259e-05,-0.25499996474407277
-0.2476118585879325,-95.22019424517626,7,-9.572578006849243e-06,-0.2476118585879325
-0.24022375243179223,-89.49716719759206,8,-8.997236575521684e-06,-0.24022375243179223
-0.23283564627565195,-84.27648911620261,9,-8.472396770489673e-06,-0.23283564627565195
-0.22544754011951168,-79.32120298096869,10,-7.974237073885314e-06,-0.22544754011951168
-0.2180594339633714,-74.38684997321887,11,-7.478181804785617e-06,-0.2180594339633714
-0.2106713278072311,-69.98975879173747,12,-7.03613798549261e-06,-0.2106713278072311
-0.20328322165109083,-65.68834070399075,13,-6.6037122746291424e-06,-0.20328322165109083
-0.19589511549495056,-61.441936766258905,14,-6.176817189350643e-06,-0.19589511549495056
-0.1885070093388103,-57.682111630468874,15,-5.798838340538476e-06,-0.1885070093388103
-0.18111890318267002,-53.94191878540396,16,-5.422833144856395e-06,-0.18111890318267002
-0.17373079702652974,-50.34584544647993,17,-5.0613164221897115e-06,-0.17373079702652974
-0.16634269087038947,-47.08774132209273,18,-4.733776070771938e-06,-0.16634269087038947
-0.1589545847142492,-43.84256967502821,19,-4.407535833778153e-06,-0.1589545847142492
-0.15156647855810892,-40.79624421155565,20,-4.101285795490508e-06,-0.15156647855810892
-0.14417837240196865,-37.95435460269952,21,-3.815587890930648e-06,-0.14417837240196865
-0.13679026624582838,-35.125761979243315,22,-3.531226745143503e-06,-0.13679026624582838
-0.1294021600896881,-32.53051598822079,23,-3.270324161474552e-06,-0.1294021600896881
-0.1220140539335478,-30.03836514561313,24,-3.019785832553789e-06,-0.1220140539335478
-0.11462594777740753,-27.555969830150378,25,-2.770228236190157e-06,-0.11462594777740753
-0.10723784162126726,-25.329543410403936,26,-2.54640343990108e-06,-0.10723784162126726
-0.09984973546512699,-23.130712156927537,27,-2.325352812304117e-06,-0.09984973546512699
-0.09246162930898671,-20.96442069433053,28,-2.107573441282388e-06,-0.09246162930898671
-0.08507352315284644,-19.019020383060816,29,-1.9120004708447484e-06,-0.08507352315284644
-0.07768541699670617,-17.083448400303848,30,-1.7174155517559958e-06,-0.07768541699670617
-0.0702973108405659,-15.19735909577841,31,-1.5278051740564312e-06,-0.0702973108405659
-0.06290920468442562,-13.411972743919108,32,-1.34831856135817e-06,-0.06290920468442562
-0.05552109852828535,-11.628229272260006,33,-1.1689971089916742e-06,-0.05552109852828535
-0.04813299237214508,-9.937518017772641,34,-9.990282751856235e-07,-0.04813299237214508
-0.040744886216004805,-8.326588590554127,35,-8.370799854575819e-07,-0.040744886216004805
-0.03335678005986453,-6.718850781244214,36,-6.754525521575317e-07,-0.03335678005986453
-0.02596867390372426,-5.179960757119482,37,-5.207464531343996e-07,-0.02596867390372426
-0.018580567747583987,-3.665656016383919,38,-3.685119363730863e-07,-0.018580567747583987
-0.011192461591443699,-2.1743476585292028,39,-2.1858926817233636e-07,-0.011192461591443699
