shear,shear_stress,time,torque,angle
-0.1109434361142541,-14.570519281500136,0,-1.4647883626799763e-06,-0.1109434361142541
-0.10823962559544158,-14.09806835466764,1,-1.4172924151305793e-06,-0.10823962559544158
-0.10553581507662906,-13.66958370398169,2,-1.3742164397459082e-06,-0.10553581507662906
-0.10283200455781653,-13.246523395850556,3,-1.3316857787523016e-06,-0.10283200455781653
-0.100128194039004,-12.825485131666106,4,-1.2893583957877555e-06,-0.100128194039004
-0.09742438352019148,-12.393514053290364,5,-1.2459319264633238e-06,-0.09742438352019148
-0.09472057300137895,-11.946840940569395,6,-1.2010274474399548e-06,-0.09472057300137895
-0.09201676248256643,-11.502670803251894,7,-1.1563745949490545e-06,-0.09201676248256643
-0.08931295196375391,-11.059634104544987,8,-1.111835688135349e-06,-0.08931295196375391
-0.08660914144494139,-10.650367545191221,9,-1.0706917260161248e-06,-0.08660914144494139
-0.08390533092612887,-10.270443878814822,10,-1.032497633241309e-06,-0.08390533092612887
-0.08120152040731635,-9.8919245234549,11,-9.944447172080201e-07,-0.08120152040731635
-0.07849770988850382,-9.517056598388145,12,-9.567588829854227e-07,-0.07849770988850382
-0.0757938993696913,-9.148680939284745,13,-9.197257225246055e-07,-0.0757938993696913
-0.07309008885087877,-8.778896623006409,14,-8.825509483987577e-07,-0.07309008885087877
-0.07038627833206625,-8.408161255863382,15,-8.452805642117993e-07,-0.07038627833206625
-0.06768246781325372,-8.038540888923125,16,-8.081222720711057e-07,-0.06768246781325372
-0.0649786572944412,-7.6923878313101115,17,-7.733231711810358e-07,-0.0649786572944412
-0.06227484677562868,-7.355371720814134,18,-7.394426164010174e-07,-0.06227484677562868
-0.05957103625681615,-7.024269917247638,19,-7.061566326034228e-07,-0.05957103625681615
-0.05686722573800363,-6.687339034390431,20,-6.722846458401676e-07,-0.05686722573800363
-0.05416341521919111,-6.320557578059007,21,-6.35411752122287e-07,-0.05416341521919111
-0.05145960470037858,-5.959593509686212,22,-5.991236860291717e-07,-0.05145960470037858
-0.04875579418156606,-5.599418040848607,23,-5.629148986082604e-07,-0.04875579418156606
-0.04605198366275354,-5.2514535627360885,24,-5.279336938675085e-07,-0.04605198366275354
-0.043348173143941016,-4.936066100739735,25,-4.962274879909621e-07,-0.043348173143941016
-0.040644362625128494,-4.623945407631467,26,-4.648496935428889e-07,-0.040644362625128494
-0.03794055210631597,-4.31744150083751,27,-4.3403656004271397e-07,-0.03794055210631597
-0.03523674158750344,-4.010093764961478,28,-4.031385955906948e-07,-0.03523674158750344
-0.032532931068690915,-3.6935212736963425,29,-3.7131325757830546e-07,-0.032532931068690915
-0.029829120549878393,-3.3804064266721294,30,-3.3983551987778834e-07,-0.029829120549878393
-0.027125310031065872,-3.072075626481238,31,-3.08838727021623e-07,-0.027125310031065872
-0.02442149951225335,-2.775285227999515,32,-2.790021018847856e-07,-0.02442149951225335
-0.02171768899344083,-2.4847067910012037,33,-2.4978997122988963e-07,-0.02171768899344083
-0.019013878474628307,-2.2011106846385644,34,-2.2127978101115244e-07,-0.019013878474628307
-0.016310067955815785,-1.9144293967972519,35,-1.9245943452142673e-07,-0.016310067955815785
-0.013606257437003264,-1.640979136229806,36,-1.6496921597035786e-07,-0.013606257437003264
-0.010902446918190728,-1.374240352288443,37,-1.381537086405127e-07,-0.010902446918190728
-0.008198636399378206,-1.1099782098204354,38,-1.1158718046773215e-07,-0.008198636399378206
-0.005494825880565679,-0.849902499548722,39,-8.544151836319575e-08,-0.005494825880565679
