time, displacement, force
0.612384, 0, 0
4.556832, 0, 0
4.560928, 0, 0
5.9208, 0, 0
5.924896, 0, 0
10.680352, 0, 0
10.684448, 0, 0
12.773408, 0, 0
12.777504, -3.90625e-11, -3.001199384e-09
12.82256, -6.09765625e-08, -4.682832539e-06
12.826656, -7.28515625e-08, -5.595170648e-06
12.830752, -8.47265625e-08, -6.507280673e-06
12.834848, -9.66015625e-08, -7.419349442e-06
12.871712, -3.18125e-07, -2.442956624e-05
12.875808, -3.463671875e-07, -2.659930241e-05
12.908576, -6.699609375e-07, -5.144114609e-05
12.912672, -7.14609375e-07, -5.486885422e-05
12.94544, -1.178867188e-06, -9.050214869e-05
12.949536, -1.243515625e-06, -9.5464118e-05
