time, displacement, force
899.373088, 3.13671875e-07, -7.417610517e-06
899.450912, 1.9375e-07, -1.623349545e-05
899.455008, 1.875e-07, -1.668985101e-05
899.573792, 6.25e-09, -3.021419154e-05
899.577888, 0, -3.068107055e-05
902.59664, 0, -3.105429395e-06
902.600736, 0, -3.068036075e-06
906.864672, 0, -2.274525776e-07
906.868768, 0, -2.247505342e-07
910.960672, 0, -1.739831532e-08
910.964768, 0, -1.738979026e-08
912.189472, 0, -3.780543153e-09
912.193568, 0, -3.781134971e-09
913.291296, 0, -8.978536338e-10
913.295392, 0, -8.986090422e-10
916.293664, 0, -9.510579843e-10
916.29776, 0, -9.511286571e-10
917.850144, 0, -9.556405509e-10
