time, angle, torque
975.21872, -5.049223178e-05, 7.07402484e-06
975.312928, 0.004272897754, 8.178280898e-06
975.317024, 0.004460188773, 8.226091136e-06
975.427616, 0.009561928587, 9.518212711e-06
975.431712, 0.009750607091, 9.56599311e-06
976.28368, 0.04878573157, 1.885581128e-05
976.287776, 0.04897503209, 1.890113343e-05
976.975904, 0.07979114017, 2.590649331e-05
976.98, 0.07997479967, 2.59484299e-05
977.692704, 0.1107507763, 3.262807289e-05
977.6968, 0.1109247128, 3.266576005e-05
978.348064, 0.1376634077, 3.822080701e-05
978.35216, 0.1378269711, 3.82545103e-05
978.995232, 0.1626119002, 4.31743452e-05
978.999328, 0.1627654517, 4.320452317e-05
979.585056, 0.1836964642, 4.716504082e-05
979.589152, 0.1838373293, 4.719117612e-05
980.158496, 0.2024792821, 5.053377934e-05
980.162592, 0.202607908, 5.05562478e-05
980.70736, 0.2187141769, 5.326378799e-05
980.711456, 0.2188297775, 5.328253732e-05
981.026848, 0.2273253839, 5.461755864e-05
981.030944, 0.2274312188, 5.463354316e-05
981.235744, 0.2326051424, 5.540567561e-05
981.23984, 0.2327074498, 5.542079196e-05
981.719072, 0.2437241289, 5.695343279e-05
981.723168, 0.2438119165, 5.69645982e-05
982.214688, 0.2534741335, 5.811383242e-05
982.218784, 0.2535480764, 5.812139753e-05
982.710304, 0.261485511, 5.883353807e-05
982.7144, 0.2615442038, 5.883716825e-05
983.20592, 0.2677009462, 5.91066373e-05
983.210016, 0.2677458589, 5.910690625e-05
983.689248, 0.2719959767, 5.894069566e-05
983.693344, 0.272025335, 5.893710851e-05
983.803936, 0.2727563517, 5.882781972e-05
983.808032, 0.2727793212, 5.88224851e-05
984.16848, 0.274501228, 5.83345092e-05
984.172576, 0.27451725, 5.832787643e-05
984.610848, 0.2752527702, 5.742560426e-05
984.614944, 0.275256311, 5.741615551e-05
984.651808, 0.2752471125, 5.731900385e-05
984.655904, 0.275248052, 5.730884452e-05
984.950816, 0.2748096807, 5.647431632e-05
984.954912, 0.2748003247, 5.646172395e-05
985.237536, 0.2737459396, 5.551771982e-05
985.241632, 0.2737265252, 5.550276716e-05
