time, angle, torque
936.704032, -3.250044948e-05, 1.348354697e-05
937.277472, 0.02613798099, 1.732515754e-05
937.281568, 0.02632131472, 1.735153808e-05
937.687072, 0.04408931591, 1.970624444e-05
937.691168, 0.04426820283, 1.972988622e-05
937.98608, 0.05659755559, 2.121694683e-05
937.990176, 0.05676682794, 2.123704576e-05
938.305568, 0.06924720142, 2.258800404e-05
938.309664, 0.06940397424, 2.260400675e-05
938.387488, 0.07233950628, 2.289437833e-05
938.391584, 0.07249091778, 2.290874684e-05
938.625056, 0.08101655676, 2.369605762e-05
938.629152, 0.08116336016, 2.370907973e-05
938.895392, 0.09017561003, 2.441255887e-05
938.899488, 0.09030870196, 2.442176074e-05
939.1944, 0.09939491565, 2.497499131e-05
939.198496, 0.09951572503, 2.498110743e-05
939.436064, 0.1060579985, 2.523520885e-05
939.44016, 0.1061638952, 2.52375549e-05
939.718688, 0.1128983536, 2.532632151e-05
939.722784, 0.1129894693, 2.532528386e-05
939.964448, 0.1180005473, 2.521843975e-05
939.968544, 0.1180784881, 2.521455663e-05
940.255264, 0.1229196744, 2.486360432e-05
940.25936, 0.1229814359, 2.485639311e-05
940.513312, 0.1262600003, 2.43392436e-05
940.517408, 0.1263056494, 2.432874784e-05
940.5256, 0.1263948237, 2.430722688e-05
940.529696, 0.1264399572, 2.429666047e-05
940.754976, 0.1284928507, 2.367035939e-05
940.759072, 0.128523881, 2.365709777e-05
940.99664, 0.1298435554, 2.284468437e-05
941.000736, 0.1298591489, 2.282853991e-05
941.2424, 0.130302027, 2.184509056e-05
941.246496, 0.1303021019, 2.18262011e-05
941.541408, 0.1296137347, 2.043534681e-05
941.545504, 0.1295960887, 2.041361205e-05
941.828128, 0.1276751911, 1.887667188e-05
941.832224, 0.1276390963, 1.885193174e-05
942.12304, 0.124389718, 1.708309482e-05
942.127136, 0.1243356673, 1.705571344e-05
942.364704, 0.120742739, 1.546609707e-05
942.3688, 0.1206725261, 1.543623402e-05
942.426144, 0.1196733299, 1.50217553e-05
942.43024, 0.1196021127, 1.499224188e-05
942.712864, 0.1140250315, 1.29534715e-05
942.71696, 0.1139362423, 1.292157336e-05
943.036448, 0.1063118915, 1.047916425e-05
943.040544, 0.106206798, 1.044570067e-05
943.368224, 0.09703140987, 7.809441217e-06
943.37232, 0.09691052396, 7.77469735e-06
943.65904, 0.08781367431, 5.362222133e-06
943.663136, 0.0876779184, 5.326090985e-06
943.937568, 0.07816143553, 2.9695295e-06
943.941664, 0.07801501322, 2.93311851e-06
944.17104, 0.06946470552, 9.21370407e-07
944.175136, 0.0693091247, 8.84651048e-07
944.424992, 0.05950001079, -1.299005897e-06
944.429088, 0.05933445333, -1.336152329e-06
944.773152, 0.04503205908, -4.303635246e-06
944.777248, 0.04485699796, -4.340315726e-06
945.412128, 0.01676907495, -9.516322311e-06
945.416224, 0.01658472009, -9.550573977e-06
945.772576, 0.0002120191704, -1.239872666e-05
945.776672, 2.294147224e-05, -1.243169184e-05
946.714656, -0.04294524466, -1.878420493e-05
946.718752, -0.0431285335, -1.881070927e-05
947.124256, -0.06087486394, -2.117384621e-05
947.128352, -0.06105267901, -2.119733629e-05
947.415072, -0.07302666898, -2.265256121e-05
947.419168, -0.07319509166, -2.267260524e-05
947.738656, -0.08582101391, -2.405152294e-05
947.742752, -0.08597787917, -2.406775811e-05
948.058144, -0.09756110221, -2.516638632e-05
948.06224, -0.09770651786, -2.517920869e-05
948.308, -0.1060123196, -2.583638525e-05
