time, angle, torque
1012.918304, -4.885092978e-05, 1.100828456e-05
1014.020128, 0.0508058097, 1.168750706e-05
1014.024224, 0.05099231852, 1.168956822e-05
1014.564896, 0.07531097635, 1.188734023e-05
1014.568992, 0.07549371075, 1.188857227e-05
1015.003168, 0.0945564913, 1.197317806e-05
1015.007264, 0.09473222006, 1.197318678e-05
1015.117856, 0.09951331048, 1.198275546e-05
1015.121952, 0.09969230337, 1.198350349e-05
1015.703584, 0.1241943439, 1.198355053e-05
1015.70768, 0.1243630794, 1.198283405e-05
1016.313888, 0.1486024677, 1.186602563e-05
1016.317984, 0.148762154, 1.186446959e-05
1016.809504, 0.1672771256, 1.167253511e-05
1016.8136, 0.1674271111, 1.167012148e-05
1017.317408, 0.1851983789, 1.139586648e-05
1017.321504, 0.1853404497, 1.139320225e-05
1017.89904, 0.2040653724, 1.099588429e-05
1017.903136, 0.2041920716, 1.099190045e-05
1018.525728, 0.2222019382, 1.045815321e-05
1018.529824, 0.2223147598, 1.045356398e-05
1019.12784, 0.237318877, 9.829227223e-06
1019.131936, 0.2374143162, 9.823538727e-06
1019.49648, 0.2454017726, 9.36166626e-06
1019.500576, 0.2454865967, 9.35553277e-06
1019.672608, 0.2489397116, 9.111483456e-06
1019.676704, 0.2490209672, 9.105508879e-06
1020.23376, 0.2587713915, 8.374272882e-06
1020.237856, 0.2588363434, 8.367592804e-06
1020.794912, 0.2663221016, 7.555655305e-06
1020.799008, 0.2663694475, 7.548190344e-06
1021.327392, 0.2713619713, 6.71006173e-06
1021.331488, 0.2713927898, 6.702030626e-06
1021.4216, 0.2720254183, 6.52832096e-06
1021.425696, 0.2720533548, 6.520291138e-06
1021.876256, 0.2743183793, 5.742498402e-06
1021.880352, 0.274332569, 5.734185761e-06
1022.306336, 0.2750459215, 4.963017782e-06
1022.310432, 0.2750465406, 4.954391909e-06
1022.433312, 0.2749923468, 4.703854951e-06
1022.437408, 0.2749901643, 4.695454633e-06
1022.982176, 0.2733482504, 3.702820591e-06
1022.986272, 0.2733280004, 3.693816646e-06
1023.518752, 0.2695446776, 2.67957171e-06
