time, angle, torque
955.553824, -1.967678897e-05, 9.080893063e-08
956.127264, 0.02615170928, 2.314475882e-06
956.13136, 0.02633579002, 2.330165303e-06
956.54096, 0.04428261641, 3.863585595e-06
956.545056, 0.04446009326, 3.878809236e-06
956.835872, 0.05661371881, 4.9238865e-06
956.839968, 0.05678212192, 4.938417371e-06
957.15536, 0.06926263575, 6.018579777e-06
957.159456, 0.06941974193, 6.032233387e-06
957.478944, 0.08117325351, 7.05699479e-06
957.48304, 0.08131887808, 7.069747679e-06
957.745184, 0.09018382422, 7.848003927e-06
957.74928, 0.09031753451, 7.859784108e-06
958.044192, 0.09939729152, 8.661686673e-06
958.048288, 0.09951870901, 8.672450761e-06
958.269472, 0.1056349714, 9.215300315e-06
958.273568, 0.1057425448, 9.224869104e-06
958.277664, 0.1058494959, 9.234382495e-06
958.28176, 0.1059558281, 9.24384076e-06
958.56848, 0.1128981403, 9.862000084e-06
958.572576, 0.1129893047, 9.870132045e-06
958.81424, 0.11799485, 1.031656439e-05
958.818336, 0.1180718384, 1.032343091e-05
959.10096, 0.1228474127, 1.074851079e-05
959.105056, 0.122908909, 1.075397516e-05
959.359008, 0.1262051804, 1.104531653e-05
959.363104, 0.1262507087, 1.104931663e-05
959.61296, 0.128542393, 1.124844748e-05
959.617056, 0.1285735515, 1.125112083e-05
959.854624, 0.1298598539, 1.135792562e-05
959.85872, 0.1298748147, 1.135909928e-05
960.088096, 0.1302844046, 1.138518724e-05
960.092192, 0.1302858158, 1.13851065e-05
960.100384, 0.130284269, 1.138454035e-05
960.10448, 0.1302843039, 1.138433225e-05
960.387104, 0.1296132568, 1.13080246e-05
960.3912, 0.1295953047, 1.130616166e-05
960.686112, 0.1275812414, 1.110627253e-05
960.690208, 0.1275440109, 1.110264986e-05
960.976928, 0.1243134, 1.079328028e-05
960.981024, 0.1242580648, 1.078803377e-05
961.284128, 0.1195066916, 1.034229839e-05
961.288224, 0.1194358994, 1.033570019e-05
961.411104, 0.1171268916, 1.012144685e-05
961.4152, 0.1170451845, 1.011388682e-05
961.587232, 0.113463532, 9.784015255e-06
961.591328, 0.1133742618, 9.775821658e-06
961.890336, 0.1061847111, 9.12108317e-06
961.894432, 0.1060784882, 9.111464494e-06
962.226208, 0.09676501487, 8.27468533e-06
962.230304, 0.09664306854, 8.263793034e-06
962.512928, 0.08765558258, 7.466022148e-06
962.517024, 0.08751946222, 7.453997285e-06
962.783264, 0.07828490138, 6.642535218e-06
962.78736, 0.07813866147, 6.629738254e-06
963.020832, 0.06944152431, 5.871944851e-06
963.024928, 0.06928459651, 5.858317879e-06
963.270688, 0.05964311877, 5.024407597e-06
963.274784, 0.05947830155, 5.010197126e-06
963.618848, 0.04518539807, 3.783676455e-06
963.622944, 0.04501147683, 3.768804069e-06
964.26192, 0.01674758716, 1.366245412e-06
964.266016, 0.01656282031, 1.350590272e-06
964.622368, 0.0001923755713, -3.471420807e-08
964.626464, 4.01890867e-06, -5.065080958e-08
965.564448, -0.04296568747, -3.693352635e-06
965.568544, -0.04314893754, -3.708991025e-06
965.974048, -0.06089515498, -5.228799451e-06
965.978144, -0.06107136759, -5.243964866e-06
966.260768, -0.07287302507, -6.262783363e-06
966.264864, -0.07304268235, -6.277489273e-06
966.584352, -0.08567905367, -7.376864653e-06
966.588448, -0.08583642428, -7.390623215e-06
966.907936, -0.09757236329, -8.420552483e-06
966.912032, -0.09771817895, -8.433413822e-06
967.198752, -0.1073541153, -9.285941481e-06
967.202848, -0.1074864831, -9.297703295e-06
967.346208, -0.1119695339, -9.69660172e-06
967.350304, -0.1120923182, -9.707546586e-06
967.469088, -0.1156457916, -1.002473621e-05
967.473184, -0.1157666069, -1.003553883e-05
967.706656, -0.1222034507, -1.061191986e-05
967.710752, -0.1223111664, -1.062159102e-05
967.981088, -0.1288742518, -1.121136854e-05
967.985184, -0.1289659583, -1.121962466e-05
