time, angle, torque
936.704032, -3.250044948e-05, 5.318254565e-06
937.277472, 0.02613798099, 1.030442336e-05
937.281568, 0.02632131472, 1.033952553e-05
937.687072, 0.04408931591, 1.366160877e-05
937.691168, 0.04426820283, 1.369522274e-05
937.98608, 0.05659755559, 1.596050816e-05
937.990176, 0.05676682794, 1.599166392e-05
938.305568, 0.06924720142, 1.823151576e-05
938.309664, 0.06940397424, 1.825954563e-05
938.387488, 0.07233950628, 1.878038354e-05
938.391584, 0.07249091778, 1.880713129e-05
938.625056, 0.08101655676, 2.028988921e-05
938.629152, 0.08116336016, 2.031535045e-05
938.895392, 0.09017561003, 2.183048887e-05
938.899488, 0.09030870196, 2.185260738e-05
939.1944, 0.09939491565, 2.331144819e-05
939.198496, 0.09951572503, 2.333053662e-05
939.436064, 0.1060579985, 2.43212952e-05
939.44016, 0.1061638952, 2.433683223e-05
939.718688, 0.1128983536, 2.527680885e-05
939.722784, 0.1129894693, 2.528884255e-05
939.964448, 0.1180005473, 2.59116249e-05
939.968544, 0.1180784881, 2.592059161e-05
940.255264, 0.1229196744, 2.640847916e-05
940.25936, 0.1229814359, 2.641376615e-05
940.513312, 0.1262600003, 2.66213978e-05
940.517408, 0.1263056494, 2.66231058e-05
940.5256, 0.1263948237, 2.662604595e-05
940.529696, 0.1264399572, 2.662764336e-05
940.754976, 0.1284928507, 2.662582822e-05
940.759072, 0.128523881, 2.662437625e-05
940.99664, 0.1298435554, 2.644401973e-05
941.000736, 0.1298591489, 2.643931029e-05
941.2424, 0.130302027, 2.607078774e-05
941.246496, 0.1303021019, 2.606289731e-05
941.541408, 0.1296137347, 2.537066749e-05
941.545504, 0.1295960887, 2.535929894e-05
941.828128, 0.1276751911, 2.445252177e-05
941.832224, 0.1276390963, 2.443761227e-05
942.12304, 0.124389718, 2.326928016e-05
942.127136, 0.1243356673, 2.325108763e-05
942.364704, 0.120742739, 2.212631358e-05
942.3688, 0.1206725261, 2.210519823e-05
942.426144, 0.1196733299, 2.180799061e-05
942.43024, 0.1196021127, 2.17868271e-05
942.712864, 0.1140250315, 2.022951375e-05
942.71696, 0.1139362423, 2.020533284e-05
943.036448, 0.1063118915, 1.82319979e-05
943.040544, 0.106206798, 1.820525539e-05
943.368224, 0.09703140987, 1.597044148e-05
943.37232, 0.09691052396, 1.594132286e-05
943.65904, 0.08781367431, 1.382176942e-05
943.663136, 0.0876779184, 1.379037468e-05
943.937568, 0.07816143553, 1.164691105e-05
943.941664, 0.07801501322, 1.161408811e-05
944.17104, 0.06946470552, 9.736090372e-06
944.175136, 0.0693091247, 9.702011225e-06
944.424992, 0.05950001079, 7.59547646e-06
944.429088, 0.05933445333, 7.55999749e-06
944.773152, 0.04503205908, 4.568486122e-06
944.777248, 0.04485699796, 4.531893751e-06
945.412128, 0.01676907495, -1.11454345e-06
945.416224, 0.01658472009, -1.151726762e-06
945.772576, 0.0002120191704, -4.390465775e-06
945.776672, 2.294147224e-05, -4.42798959e-06
946.714656, -0.04294524466, -1.254751022e-05
946.718752, -0.0431285335, -1.258245473e-05
947.124256, -0.06087486394, -1.588578646e-05
947.128352, -0.06105267901, -1.591903098e-05
947.415072, -0.07302666898, -1.810975596e-05
947.419168, -0.07319509166, -1.814059576e-05
947.738656, -0.08582101391, -2.039508106e-05
947.742752, -0.08597787917, -2.042298902e-05
948.058144, -0.09756110221, -2.242787832e-05
948.06224, -0.09770651786, -2.245288164e-05
948.308, -0.1060123196, -2.38408656e-05
948.312096, -0.1061463211, -2.386305046e-05
948.34896, -0.107345072, -2.406069567e-05
948.353056, -0.1074775866, -2.408250455e-05
948.619296, -0.1156375375, -2.537999908e-05
948.623392, -0.1157592781, -2.539913626e-05
948.869152, -0.1225145643, -2.641073609e-05
948.873248, -0.1226208783, -2.642618442e-05
949.131296, -0.1288711252, -2.728849606e-05
949.135392, -0.128962376, -2.730037166e-05
949.39344, -0.1343135316, -2.795332419e-05
949.397536, -0.1343913514, -2.796206069e-05
949.663776, -0.1389073299, -2.840644121e-05
949.667872, -0.1389688648, -2.841145881e-05
949.909536, -0.142163425, -2.861270109e-05
949.913632, -0.1422111245, -2.861464084e-05
950.17168, -0.1446661903, -2.862170202e-05
950.175776, -0.1446979507, -2.862017871e-05
950.302752, -0.1455252087, -2.854062438e-05
950.306848, -0.1455481327, -2.853721161e-05
950.41744, -0.1460616819, -2.842423765e-05
950.421536, -0.1460784345, -2.841955438e-05
950.6632, -0.146534193, -2.803989824e-05
950.667296, -0.1465347012, -2.803186008e-05
