time, angle, torque
955.553824, -1.967678897e-05, 4.328625612e-06
956.127264, 0.02615170928, 1.093277741e-05
956.13136, 0.02633579002, 1.097935866e-05
956.54096, 0.04428261641, 1.5453228e-05
956.545056, 0.04446009326, 1.54976154e-05
956.835872, 0.05661371881, 1.850017831e-05
956.839968, 0.05678212192, 1.854183177e-05
957.15536, 0.06926263575, 2.159219433e-05
957.159456, 0.06941974193, 2.163053389e-05
957.478944, 0.08117325351, 2.446664167e-05
957.48304, 0.08131887808, 2.450168623e-05
957.745184, 0.09018382422, 2.660953034e-05
957.74928, 0.09031753451, 2.664116986e-05
958.044192, 0.09939729152, 2.876146738e-05
958.048288, 0.09951870901, 2.878964861e-05
958.269472, 0.1056349714, 3.018475017e-05
958.273568, 0.1057425448, 3.020895149e-05
958.277664, 0.1058494959, 3.02329672e-05
958.28176, 0.1059558281, 3.025679828e-05
958.56848, 0.1128981403, 3.178866018e-05
958.572576, 0.1129893047, 3.180819774e-05
958.81424, 0.11799485, 3.286128183e-05
958.818336, 0.1180718384, 3.287679165e-05
959.10096, 0.1228474127, 3.380586813e-05
959.105056, 0.122908909, 3.381702627e-05
959.359008, 0.1262051804, 3.437173053e-05
959.363104, 0.1262507087, 3.437837227e-05
959.61296, 0.128542393, 3.465757618e-05
959.617056, 0.1285735515, 3.46602209e-05
959.854624, 0.1298598539, 3.467643312e-05
959.85872, 0.1298748147, 3.467452956e-05
960.088096, 0.1302844046, 3.445965813e-05
960.092192, 0.1302858158, 3.44540477e-05
960.100384, 0.130284269, 3.444151248e-05
960.10448, 0.1302843039, 3.443550431e-05
960.387104, 0.1296132568, 3.385247996e-05
960.3912, 0.1295953047, 3.384156599e-05
960.686112, 0.1275812414, 3.28800412e-05
960.690208, 0.1275440109, 3.286393921e-05
960.976928, 0.1243134, 3.159246316e-05
960.981024, 0.1242580648, 3.157161127e-05
961.284128, 0.1195066916, 2.988429753e-05
961.288224, 0.1194358994, 2.985963931e-05
961.411104, 0.1171268916, 2.907379203e-05
961.4152, 0.1170451845, 2.904624386e-05
961.587232, 0.113463532, 2.786320594e-05
961.591328, 0.1133742618, 2.783394078e-05
961.890336, 0.1061847111, 2.555537937e-05
961.894432, 0.1060784882, 2.552204811e-05
962.226208, 0.09676501487, 2.268653438e-05
962.230304, 0.09664306854, 2.264968859e-05
962.512928, 0.08765558258, 1.999487812e-05
962.517024, 0.08751946222, 1.995487754e-05
962.783264, 0.07828490138, 1.729162304e-05
962.78736, 0.07813866147, 1.724960819e-05
963.020832, 0.06944152431, 1.478850414e-05
963.024928, 0.06928459651, 1.474421549e-05
963.270688, 0.05964311877, 1.206303836e-05
963.274784, 0.05947830155, 1.201729748e-05
963.618848, 0.04518539807, 8.124754995e-06
963.622944, 0.04501147683, 8.077468064e-06
964.26192, 0.01674758716, 6.206215707e-07
964.266016, 0.01656282031, 5.718562714e-07
964.622368, 0.0001923755713, -3.686884731e-06
964.626464, 4.01890867e-06, -3.73595453e-06
965.564448, -0.04296568747, -1.458840536e-05
965.568544, -0.04314893754, -1.463503169e-05
965.974048, -0.06089515498, -1.909421032e-05
965.978144, -0.06107136759, -1.913866276e-05
966.260768, -0.07287302507, -2.208686042e-05
966.264864, -0.07304268235, -2.212939974e-05
966.584352, -0.08567905367, -2.526004925e-05
966.588448, -0.08583642428, -2.529904736e-05
966.907936, -0.09757236329, -2.817688188e-05
966.912032, -0.09771817895, -2.821260951e-05
967.198752, -0.1073541153, -3.054434377e-05
967.202848, -0.1074864831, -3.057623364e-05
967.346208, -0.1119695339, -3.164855237e-05
967.350304, -0.1120923182, -3.167764982e-05
967.469088, -0.1156457916, -3.252109066e-05
967.473184, -0.1157666069, -3.254971803e-05
967.706656, -0.1222034507, -3.405161589e-05
967.710752, -0.1223111664, -3.407647393e-05
967.981088, -0.1288742518, -3.556313239e-05
967.985184, -0.1289659583, -3.558336445e-05
968.243232, -0.1343137311, -3.674126438e-05
968.247328, -0.1343908722, -3.675730971e-05
968.513568, -0.138904535, -3.766498721e-05
968.517664, -0.1389658682, -3.767647792e-05
968.763424, -0.1422084178, -3.824924777e-05
968.76752, -0.1422550229, -3.825650783e-05
969.017376, -0.144626912, -3.857477542e-05
969.021472, -0.1446583725, -3.857770179e-05
969.144352, -0.1454703794, -3.86302211e-05
969.148448, -0.1454928773, -3.863055689e-05
969.271328, -0.1460689332, -3.861605658e-05
969.275424, -0.1460841184, -3.861433857e-05
969.508896, -0.1465245143, -3.840678145e-05
969.512992, -0.1465246686, -3.840080248e-05
969.529376, -0.1465227146, -3.837621095e-05
969.533472, -0.1465219691, -3.836999348e-05
969.742368, -0.146130172, -3.796284155e-05
969.746464, -0.1461160061, -3.795287473e-05
969.959456, -0.1450186459, -3.73445599e-05
969.963552, -0.1449914168, -3.733100101e-05
970.168352, -0.1432711024, -3.656372647e-05
970.172448, -0.1432309823, -3.654666681e-05
