time, angle, torque
975.21872, -5.049223178e-05, 8.36161308e-06
975.312928, 0.004272897754, 9.705700716e-06
975.317024, 0.004460188773, 9.763919679e-06
975.427616, 0.009561928587, 1.133030352e-05
975.431712, 0.009750607091, 1.138827982e-05
976.28368, 0.04878573157, 2.238077627e-05
976.287776, 0.04897503209, 2.243516993e-05
976.975904, 0.07979114017, 3.074218178e-05
976.98, 0.07997479967, 3.079267655e-05
977.692704, 0.1107507763, 3.885844407e-05
977.6968, 0.1109247128, 3.890469253e-05
978.348064, 0.1376634077, 4.584946562e-05
978.35216, 0.1378269711, 4.58922645e-05
978.995232, 0.1626119002, 5.234404201e-05
978.999328, 0.1627654517, 5.238438459e-05
979.585056, 0.1836964642, 5.787802831e-05
979.589152, 0.1838373293, 5.79149337e-05
980.158496, 0.2024792821, 6.285079129e-05
980.162592, 0.202607908, 6.288463864e-05
980.70736, 0.2187141769, 6.71671378e-05
980.711456, 0.2188297775, 6.719746208e-05
981.026848, 0.2273253839, 6.943017864e-05
981.030944, 0.2274312188, 6.945733172e-05
981.235744, 0.2326051424, 7.08010264e-05
981.23984, 0.2327074498, 7.082760079e-05
981.719072, 0.2437241289, 7.368695222e-05
981.723168, 0.2438119165, 7.370859684e-05
982.214688, 0.2534741335, 7.611086684e-05
982.218784, 0.2535480764, 7.612782216e-05
982.710304, 0.261485511, 7.792933885e-05
982.7144, 0.2615442038, 7.794063736e-05
983.20592, 0.2677009462, 7.908632246e-05
983.210016, 0.2677458589, 7.909260263e-05
983.689248, 0.2719959767, 7.953458424e-05
983.693344, 0.272025335, 7.953466565e-05
983.803936, 0.2727563517, 7.951775294e-05
983.808032, 0.2727793212, 7.951488912e-05
984.16848, 0.274501228, 7.92492664e-05
984.172576, 0.27451725, 7.924436816e-05
984.610848, 0.2752527702, 7.839856069e-05
984.614944, 0.275256311, 7.838888463e-05
984.651808, 0.2752471125, 7.828074584e-05
984.655904, 0.275248052, 7.826984213e-05
984.950816, 0.2748096807, 7.730927604e-05
984.954912, 0.2748003247, 7.729419265e-05
985.237536, 0.2737459396, 7.612476699e-05
985.241632, 0.2737265252, 7.610560907e-05
985.511968, 0.2721370308, 7.476232988e-05
985.516064, 0.2721111765, 7.474107955e-05
985.810976, 0.2697356164, 7.303912018e-05
985.815072, 0.2696980984, 7.301312086e-05
986.056736, 0.2672562436, 7.143059834e-05
986.060832, 0.267210382, 7.140146556e-05
986.097696, 0.2667981849, 7.114141772e-05
986.101792, 0.2667528748, 7.111282236e-05
986.396704, 0.2630833881, 6.894861013e-05
986.4008, 0.2630284433, 6.891657671e-05
986.695712, 0.2587093407, 6.653346014e-05
986.699808, 0.2586466993, 6.649914061e-05
986.998816, 0.2536177951, 6.387673353e-05
987.002912, 0.2535463409, 6.3839692e-05
987.310112, 0.2477110902, 6.094734042e-05
987.314208, 0.2476305397, 6.090762878e-05
987.592736, 0.2417648996, 5.812128488e-05
987.596832, 0.2416770109, 5.807976249e-05
988.198944, 0.2272132579, 5.17191882e-05
988.20304, 0.2271078997, 5.167317974e-05
988.522528, 0.218478262, 4.804253255e-05
988.526624, 0.2183650648, 4.799518638e-05
988.846112, 0.209104112, 4.425685867e-05
