time, angle, torque
955.553824, -1.967678897e-05, 6.303928328e-06
956.127264, 0.02615170928, 9.525981592e-06
956.13136, 0.02633579002, 9.548540759e-06
956.54096, 0.04428261641, 1.166671267e-05
956.545056, 0.04446009326, 1.168771313e-05
956.835872, 0.05661371881, 1.308102542e-05
956.839968, 0.05678212192, 1.310026164e-05
957.15536, 0.06926263575, 1.449374848e-05
957.159456, 0.06941974193, 1.451099856e-05
957.478944, 0.08117325351, 1.57836658e-05
957.48304, 0.08131887808, 1.579911816e-05
957.745184, 0.09018382422, 1.672144606e-05
957.74928, 0.09031753451, 1.673497637e-05
958.044192, 0.09939729152, 1.764011824e-05
958.048288, 0.09951870901, 1.765183779e-05
958.269472, 0.1056349714, 1.821863806e-05
958.273568, 0.1057425448, 1.822794279e-05
958.277664, 0.1058494959, 1.823711488e-05
958.28176, 0.1059558281, 1.824615497e-05
958.56848, 0.1128981403, 1.883020982e-05
958.572576, 0.1129893047, 1.883679142e-05
958.81424, 0.11799485, 1.91900029e-05
958.818336, 0.1180718384, 1.91941893e-05
959.10096, 0.1228474127, 1.943200027e-05
959.105056, 0.122908909, 1.943364643e-05
959.359008, 0.1262051804, 1.9477031e-05
959.363104, 0.1262507087, 1.947589572e-05
959.61296, 0.128542393, 1.935607438e-05
959.617056, 0.1285735515, 1.935255161e-05
959.854624, 0.1298598539, 1.908442762e-05
959.85872, 0.1298748147, 1.907802115e-05
960.088096, 0.1302844046, 1.86767232e-05
960.092192, 0.1302858158, 1.86680966e-05
960.100384, 0.130284269, 1.864983035e-05
960.10448, 0.1302843039, 1.864092472e-05
960.387104, 0.1296132568, 1.795885553e-05
960.3912, 0.1295953047, 1.794692786e-05
960.686112, 0.1275812414, 1.702327853e-05
960.690208, 0.1275440109, 1.700817369e-05
960.976928, 0.1243134, 1.591065217e-05
960.981024, 0.1242580648, 1.589275753e-05
961.284128, 0.1195066916, 1.454095228e-05
961.288224, 0.1194358994, 1.45211706e-05
961.411104, 0.1171268916, 1.390628279e-05
961.4152, 0.1170451845, 1.388469892e-05
961.587232, 0.113463532, 1.298867502e-05
961.591328, 0.1133742618, 1.29664726e-05
961.890336, 0.1061847111, 1.132366593e-05
961.894432, 0.1060784882, 1.129949894e-05
962.226208, 0.09676501487, 9.349042996e-06
962.230304, 0.09664306854, 9.3235743e-06
962.512928, 0.08765558258, 7.563075857e-06
962.517024, 0.08751946222, 7.536447228e-06
962.783264, 0.07828490138, 5.832110342e-06
962.78736, 0.07813866147, 5.80518101e-06
963.020832, 0.06944152431, 4.276345754e-06
963.024928, 0.06928459651, 4.248761716e-06
963.270688, 0.05964311877, 2.637238769e-06
963.274784, 0.05947830155, 2.609677785e-06
963.618848, 0.04518539807, 3.663416788e-07
963.622944, 0.04501147683, 3.390696726e-07
964.26192, 0.01674758716, -3.680630852e-06
964.266016, 0.01656282031, -3.706896444e-06
964.622368, 0.0001923755713, -5.928313332e-06
964.626464, 4.01890867e-06, -5.953844525e-06
965.564448, -0.04296568747, -1.129764865e-05
965.568544, -0.04314893754, -1.132049662e-05
965.974048, -0.06089515498, -1.347121607e-05
965.978144, -0.06107136759, -1.349263018e-05
966.260768, -0.07287302507, -1.48965557e-05
966.264864, -0.07304268235, -1.491689491e-05
966.584352, -0.08567905367, -1.639449098e-05
966.588448, -0.08583642428, -1.64127254e-05
966.907936, -0.09757236329, -1.775590512e-05
966.912032, -0.09771817895, -1.77724001e-05
967.198752, -0.1073541153, -1.884142735e-05
