time, angle, torque
1050.617888, 9.395505355e-05, 3.546318607e-06
1051.580448, 0.04442947504, 5.80012082e-06
1051.584544, 0.04461878187, 5.810162858e-06
1052.125216, 0.06905851267, 7.102431185e-06
1052.129312, 0.06924320162, 7.112484425e-06
1052.686368, 0.09380496086, 8.446102468e-06
1052.690464, 0.09398319798, 8.456081122e-06
1052.846112, 0.1007019053, 8.831878703e-06
1052.850208, 0.100876448, 8.841708374e-06
1053.259808, 0.1182112537, 9.817801715e-06
1053.263904, 0.1183813415, 9.827584166e-06
1053.86192, 0.1426279393, 1.121546236e-05
1053.866016, 0.1427901001, 1.122503673e-05
1054.341152, 0.1610216406, 1.229149339e-05
1054.345248, 0.1611750204, 1.230066011e-05
1054.849056, 0.1793601524, 1.337243154e-05
1054.853152, 0.1795035461, 1.33810378e-05
1055.39792, 0.1977056162, 1.445006571e-05
1055.402016, 0.197837078, 1.445787654e-05
1056.008224, 0.2161224714, 1.550695674e-05
1056.01232, 0.2162392857, 1.551364167e-05
1056.581664, 0.231359274, 1.633702243e-05
1056.58576, 0.2314618925, 1.634250689e-05
1057.114144, 0.2436165372, 1.69452453e-05
1057.11824, 0.243704302, 1.694937136e-05
1057.20016, 0.2454125553, 1.702714647e-05
1057.204256, 0.245497009, 1.703095129e-05
1057.601568, 0.2531594943, 1.734948138e-05
1057.605664, 0.2532318364, 1.735211899e-05
1058.170912, 0.2621680337, 1.761973538e-05
1058.175008, 0.2622248208, 1.762087758e-05
1058.6952, 0.2683926631, 1.767068222e-05
1058.699296, 0.2684331522, 1.767023436e-05
1058.916384, 0.2704096785, 1.763198628e-05
1058.92048, 0.2704428796, 1.763083359e-05
1059.252256, 0.2727654707, 1.75079722e-05
1059.256352, 0.272789506, 1.750597478e-05
1059.55536, 0.2741666676, 1.732886837e-05
1059.559456, 0.2741819377, 1.732608163e-05
1059.86256, 0.2748742272, 1.708354791e-05
1059.866656, 0.274879101, 1.707981817e-05
1060.010016, 0.2749589897, 1.694235633e-05
1060.014112, 0.2749595912, 1.693826758e-05
1060.165664, 0.2748703633, 1.677835499e-05
1060.16976, 0.2748664127, 1.677389129e-05
1060.47696, 0.2741395632, 1.640779924e-05
1060.481056, 0.2741253521, 1.640249277e-05
1060.792352, 0.2726527378, 1.597423896e-05
1060.796448, 0.2726288363, 1.596819649e-05
1061.103648, 0.2704474842, 1.54922387e-05
1061.107744, 0.270414628, 1.548558278e-05
1061.414944, 0.2675125521, 1.496073154e-05
1061.41904, 0.2674706878, 1.495350575e-05
1061.472288, 0.2669009305, 1.485763709e-05
1061.476384, 0.2668554632, 1.485011974e-05
1061.701664, 0.264178393, 1.443010575e-05
1061.70576, 0.264127397, 1.442232026e-05
1062.250528, 0.2561267837, 1.333553217e-05
1062.254624, 0.2560573495, 1.332670752e-05
