time, angle, torque
1012.918304, -4.885092978e-05, 1.74306992e-05
1014.020128, 0.0508058097, 2.391814837e-05
1014.024224, 0.05099231852, 2.394200379e-05
1014.564896, 0.07531097635, 2.685491205e-05
1014.568992, 0.07549371075, 2.687673629e-05
1015.003168, 0.0945564913, 2.902473897e-05
1015.007264, 0.09473222006, 2.904402565e-05
1015.117856, 0.09951331048, 2.95690827e-05
1015.121952, 0.09969230337, 2.958904296e-05
1015.703584, 0.1241943439, 3.208211865e-05
1015.70768, 0.1243630794, 3.209875944e-05
1016.313888, 0.1486024677, 3.431302095e-05
1016.317984, 0.148762154, 3.43269736e-05
1016.809504, 0.1672771256, 3.58286013e-05
1016.8136, 0.1674271111, 3.584003017e-05
1017.317408, 0.1851983789, 3.709860065e-05
1017.321504, 0.1853404497, 3.71082606e-05
1017.89904, 0.2040653724, 3.820980095e-05
1017.903136, 0.2041920716, 3.821608818e-05
1018.525728, 0.2222019382, 3.899461941e-05
1018.529824, 0.2223147598, 3.899837378e-05
1019.12784, 0.237318877, 3.934649159e-05
1019.131936, 0.2374143162, 3.934711968e-05
1019.49648, 0.2454017726, 3.935371393e-05
1019.500576, 0.2454865967, 3.935263504e-05
1019.672608, 0.2489397116, 3.929913277e-05
1019.676704, 0.2490209672, 3.929767637e-05
1020.23376, 0.2587713915, 3.897710647e-05
1020.237856, 0.2588363434, 3.897324165e-05
1020.794912, 0.2663221016, 3.833636812e-05
1020.799008, 0.2663694475, 3.833000587e-05
1021.327392, 0.2713619713, 3.744873324e-05
1021.331488, 0.2713927898, 3.744023078e-05
1021.4216, 0.2720254183, 3.724901647e-05
1021.425696, 0.2720533548, 3.724018326e-05
1021.876256, 0.2743183793, 3.623525724e-05
1021.880352, 0.274332569, 3.622483524e-05
1022.306336, 0.2750459215, 3.510577598e-05
1022.310432, 0.2750465406, 3.509379042e-05
1022.433312, 0.2749923468, 3.472989538e-05
1022.437408, 0.2749901643, 3.471775063e-05
1022.982176, 0.2733482504, 3.30244025e-05
1022.986272, 0.2733280004, 3.301016758e-05
1023.518752, 0.2695446776, 3.112026095e-05
1023.522848, 0.2695067079, 3.110405588e-05
1023.543328, 0.2693180107, 3.102360896e-05
1023.547424, 0.2692815592, 3.100781625e-05
1024.10448, 0.2629395801, 2.878958104e-05
1024.108576, 0.2628849563, 2.877182902e-05
1024.669728, 0.2541767978, 2.630520651e-05
1024.673824, 0.2541055977, 2.628584649e-05
1025.202208, 0.2438681303, 2.376179445e-05
1025.206304, 0.2437810107, 2.374083177e-05
1025.74288, 0.2314031335, 2.098726486e-05
1025.746976, 0.2313000011, 2.096465243e-05
1026.074656, 0.2227958544, 1.917331569e-05
1026.078752, 0.2226862809, 1.915032901e-05
1026.422816, 0.2130488396, 1.720706228e-05
1026.426912, 0.2129292693, 1.718300528e-05
1027.01264, 0.1948571699, 1.375434633e-05
1027.016736, 0.1947253503, 1.372926456e-05
1027.631136, 0.1737153537, 9.942661235e-06
1027.635232, 0.1735692289, 9.916092272e-06
1028.286496, 0.1492696151, 5.724617586e-06
1028.290592, 0.1491120574, 5.697070107e-06
