time, angle, torque
917.85424, -6.365538058e-05, -1.695619711e-08
918.669344, 0.03672803455, 9.066262226e-06
918.67344, 0.03690738202, 9.11143014e-06
919.275552, 0.06209773616, 1.51876108e-05
919.279648, 0.06226119378, 1.522794119e-05
919.566368, 0.0733134031, 1.789355651e-05
919.570464, 0.07346763676, 1.793116454e-05
919.848992, 0.08348128254, 2.03093008e-05
919.853088, 0.08362339684, 2.034323933e-05
919.975968, 0.08778714933, 2.132402226e-05
919.980064, 0.08792459473, 2.135651583e-05
920.111136, 0.09218851703, 2.234720874e-05
920.115232, 0.09231933934, 2.237761538e-05
920.377376, 0.1002453602, 2.415775443e-05
920.381472, 0.1003647714, 2.418450698e-05
920.63952, 0.1073485862, 2.567614641e-05
920.643616, 0.1074534805, 2.569812843e-05
920.901664, 0.1135693942, 2.690771171e-05
920.90576, 0.1136600594, 2.692494366e-05
921.159712, 0.1187853151, 2.782192045e-05
921.163808, 0.1188632715, 2.783491609e-05
921.405472, 0.122882222, 2.840601344e-05
921.409568, 0.1229446494, 2.841380861e-05
921.651232, 0.1261004913, 2.870285802e-05
921.655328, 0.1261470965, 2.870541322e-05
921.901088, 0.1284485411, 2.87077463e-05
921.905184, 0.1284805937, 2.870563268e-05
922.146848, 0.1298342245, 2.842287322e-05
922.150944, 0.1298509247, 2.841596275e-05
922.392608, 0.130295211, 2.785834126e-05
922.396704, 0.130296229, 2.784671675e-05
922.4008, 0.1302957657, 2.783459125e-05
922.683424, 0.1296424325, 2.684865471e-05
922.68752, 0.129624371, 2.683156753e-05
922.978336, 0.1276573953, 2.546790053e-05
922.982432, 0.1276218348, 2.544627442e-05
923.265056, 0.1244716067, 2.381061756e-05
923.269152, 0.1244174914, 2.378442421e-05
923.56816, 0.1197881366, 2.176152177e-05
923.572256, 0.1197167565, 2.173165176e-05
923.871264, 0.1137999995, 1.94463885e-05
923.87536, 0.1137112128, 1.941314147e-05
924.010528, 0.1106277476, 1.829430888e-05
924.014624, 0.1105307816, 1.825957069e-05
924.170272, 0.1066737446, 1.692168611e-05
924.174368, 0.1065687412, 1.688571089e-05
924.493856, 0.0976814269, 1.401739621e-05
924.497952, 0.09756013568, 1.397903372e-05
924.809248, 0.08772992521, 1.102498676e-05
924.813344, 0.08759332739, 1.098457968e-05
925.067296, 0.07879720046, 8.477925841e-06
925.071392, 0.07864981189, 8.436345214e-06
925.354016, 0.06811806308, 5.575624239e-06
925.358112, 0.06796209038, 5.533590626e-06
925.665312, 0.05574077089, 2.359743244e-06
925.669408, 0.05557366795, 2.316538376e-06
925.96432, 0.0432031689, -7.811851984e-07
925.968416, 0.04302849875, -8.249012369e-07
926.53776, 0.01784478104, -6.797275579e-06
926.541856, 0.01765978881, -6.841621587e-06
926.922784, 0.0002243484562, -1.089178928e-05
926.92688, 3.695869056e-05, -1.093584553e-05
927.844384, -0.04195605267, -2.015401795e-05
927.84848, -0.04213933749, -2.019588361e-05
928.19664, -0.05744827887, -2.358807301e-05
928.200736, -0.05762486572, -2.362773205e-05
928.548896, -0.07226098327, -2.680538038e-05
928.552992, -0.07243206617, -2.684325897e-05
928.860192, -0.08462481607, -2.942180603e-05
928.864288, -0.08478453869, -2.945590135e-05
929.1592, -0.0957250474, -3.16826658e-05
929.163296, -0.09587273001, -3.171266154e-05
929.413152, -0.1044744098, -3.338080255e-05
929.417248, -0.1046092812, -3.340632678e-05
929.462304, -0.1060919294, -3.368650061e-05
929.4664, -0.1062262199, -3.371185993e-05
929.744928, -0.1148566983, -3.524655248e-05
929.749024, -0.114980477, -3.526834917e-05
930.01936, -0.122465524, -3.645667167e-05
930.023456, -0.1225723137, -3.647244953e-05
930.2856, -0.1289335137, -3.732173708e-05
930.289696, -0.1290269474, -3.733294006e-05
930.539552, -0.1342181111, -3.784934938e-05
930.543648, -0.1342960953, -3.785521502e-05
930.801696, -0.1387246072, -3.808027698e-05
930.805792, -0.1387884258, -3.808147618e-05
931.047456, -0.1420447493, -3.800184626e-05
931.051552, -0.142095114, -3.799875963e-05
931.313696, -0.1446296225, -3.760011739e-05
931.317792, -0.1446622676, -3.759134196e-05
931.522592, -0.1459069428, -3.705032244e-05
931.526688, -0.1459234346, -3.703639323e-05
931.559456, -0.1460617412, -3.69288833e-05
931.563552, -0.1460784879, -3.691528365e-05
931.805216, -0.1465671439, -3.599663434e-05
931.809312, -0.1465702482, -3.597931171e-05
931.8216, -0.1465697788, -3.59238092e-05
931.825696, -0.1465694841, -3.590529314e-05
932.10832, -0.1459147063, -3.450189257e-05
932.112416, -0.1458971134, -3.447883969e-05
932.403232, -0.1439303186, -3.270761099e-05
932.407328, -0.1438936051, -3.267979397e-05
932.694048, -0.1406893099, -3.064011527e-05
932.698144, -0.1406347581, -3.06083759e-05
932.993056, -0.1360594109, -2.824751569e-05
932.997152, -0.1359876432, -2.82125263e-05
933.189664, -0.1323199874, -2.653490993e-05
933.19376, -0.1322364339, -2.649783936e-05
933.287968, -0.1302490269, -2.563981165e-05
933.292064, -0.13016179, -2.560249156e-05
933.607456, -0.1226254824, -2.264088264e-05
933.611552, -0.1225196712, -2.260070487e-05
933.918752, -0.1139495818, -1.95581416e-05
933.922848, -0.1138280043, -1.951615362e-05
934.23824, -0.1038608542, -1.627469988e-05
934.242336, -0.1037250067, -1.623152862e-05
934.500384, -0.09476989238, -1.350863079e-05
934.50448, -0.09462340478, -1.346478724e-05
934.787104, -0.08407215254, -1.044155347e-05
934.7912, -0.083916303, -1.039749676e-05
935.086112, -0.07217551945, -7.211362558e-06
935.090208, -0.07201183013, -7.167393628e-06
935.38512, -0.0596485419, -3.964102214e-06
935.389216, -0.05947415089, -3.919192313e-06
935.946272, -0.03485488673, 2.064841058e-06
935.950368, -0.03466985958, 2.109890694e-06
936.699936, -0.0002233027445, 9.990913147e-06
