time, angle, torque
955.553824, -1.967678897e-05, 1.507503712e-06
956.127264, 0.02615170928, 5.299026023e-06
956.13136, 0.02633579002, 5.325798112e-06
956.54096, 0.04428261641, 7.923807737e-06
956.545056, 0.04446009326, 7.949622523e-06
956.835872, 0.05661371881, 9.712013763e-06
956.839968, 0.05678212192, 9.736527719e-06
957.15536, 0.06926263575, 1.154784939e-05
957.159456, 0.06941974193, 1.157073786e-05
957.478944, 0.08117325351, 1.327780326e-05
957.48304, 0.08131887808, 1.329903209e-05
957.745184, 0.09018382422, 1.458637598e-05
957.74928, 0.09031753451, 1.460583516e-05
958.044192, 0.09939729152, 1.592043784e-05
958.048288, 0.09951870901, 1.593805109e-05
958.269472, 0.1056349714, 1.681894019e-05
958.273568, 0.1057425448, 1.683440383e-05
958.277664, 0.1058494959, 1.684976855e-05
958.28176, 0.1059558281, 1.686503483e-05
958.56848, 0.1128981403, 1.785309199e-05
958.572576, 0.1129893047, 1.786597521e-05
958.81424, 0.11799485, 1.856556195e-05
958.818336, 0.1180718384, 1.857618008e-05
959.10096, 0.1228474127, 1.922137399e-05
959.105056, 0.122908909, 1.922949067e-05
959.359008, 0.1262051804, 1.964828867e-05
959.363104, 0.1262507087, 1.965380131e-05
959.61296, 0.128542393, 1.99108305e-05
959.617056, 0.1285735515, 1.991399297e-05
959.854624, 0.1298598539, 2.001260046e-05
959.85872, 0.1298748147, 2.00131104e-05
960.088096, 0.1302844046, 1.997263961e-05
960.092192, 0.1302858158, 1.99709428e-05
960.100384, 0.130284269, 1.996682857e-05
960.10448, 0.1302843039, 1.996490622e-05
960.387104, 0.1296132568, 1.972512882e-05
960.3912, 0.1295953047, 1.972030422e-05
960.686112, 0.1275812414, 1.926028581e-05
960.690208, 0.1275440109, 1.925239015e-05
960.976928, 0.1243134, 1.860548434e-05
960.981024, 0.1242580648, 1.859477078e-05
961.284128, 0.1195066916, 1.770669966e-05
961.288224, 0.1194358994, 1.769368046e-05
961.411104, 0.1171268916, 1.727537248e-05
961.4152, 0.1170451845, 1.726069082e-05
961.587232, 0.113463532, 1.662475535e-05
961.591328, 0.1133742618, 1.660901613e-05
961.890336, 0.1061847111, 1.53685553e-05
961.894432, 0.1060784882, 1.535042101e-05
962.226208, 0.09676501487, 1.379175805e-05
962.230304, 0.09664306854, 1.377153789e-05
962.512928, 0.08765558258, 1.230447881e-05
962.517024, 0.08751946222, 1.228241727e-05
962.783264, 0.07828490138, 1.080505333e-05
962.78736, 0.07813866147, 1.078179228e-05
963.020832, 0.06944152431, 9.413382168e-06
963.024928, 0.06928459651, 9.388807598e-06
963.270688, 0.05964311877, 7.894175827e-06
963.274784, 0.05947830155, 7.868734849e-06
963.618848, 0.04518539807, 5.690834883e-06
963.622944, 0.04501147683, 5.664453251e-06
964.26192, 0.01674758716, 1.46082256e-06
964.266016, 0.01656282031, 1.433446055e-06
964.622368, 0.0001923755713, -9.725772874e-07
964.626464, 4.01890867e-06, -1.000260952e-06
965.564448, -0.04296568747, -7.229461778e-06
965.568544, -0.04314893754, -7.256262056e-06
965.974048, -0.06089515498, -9.844271285e-06
965.978144, -0.06107136759, -9.87012761e-06
966.260768, -0.07287302507, -1.159872443e-05
966.264864, -0.07304268235, -1.162370185e-05
966.584352, -0.08567905367, -1.347981882e-05
966.588448, -0.08583642428, -1.350305165e-05
966.907936, -0.09757236329, -1.523176161e-05
966.912032, -0.09771817895, -1.525334443e-05
967.198752, -0.1073541153, -1.667447041e-05
967.202848, -0.1074864831, -1.669405128e-05
967.346208, -0.1119695339, -1.735558588e-05
967.350304, -0.1120923182, -1.737368808e-05
967.469088, -0.1156457916, -1.789767099e-05
967.473184, -0.1157666069, -1.791550586e-05
967.706656, -0.1222034507, -1.885959907e-05
967.710752, -0.1223111664, -1.887538623e-05
967.981088, -0.1288742518, -1.982836894e-05
967.985184, -0.1289659583, -1.984160079e-05
968.243232, -0.1343137311, -2.060451038e-05
968.247328, -0.1343908722, -2.061538003e-05
968.513568, -0.138904535, -2.123888875e-05
968.517664, -0.1389658682, -2.124715597e-05
968.763424, -0.1422084178, -2.167031799e-05
968.76752, -0.1422550229, -2.167613654e-05
969.017376, -0.144626912, -2.195257945e-05
969.021472, -0.1446583725, -2.19558665e-05
969.144352, -0.1454703794, -2.203251382e-05
969.148448, -0.1454928773, -2.203430266e-05
969.271328, -0.1460689332, -2.207150799e-05
969.275424, -0.1460841184, -2.207207221e-05
969.508896, -0.1465245143, -2.203412507e-05
969.512992, -0.1465246686, -2.203217989e-05
969.529376, -0.1465227146, -2.202397634e-05
969.533472, -0.1465219691, -2.202188293e-05
969.742368, -0.146130172, -2.185754076e-05
969.746464, -0.1461160061, -2.18532287e-05
969.959456, -0.1450186459, -2.157108815e-05
969.963552, -0.1449914168, -2.156463828e-05
970.168352, -0.1432711024, -2.11853857e-05
970.172448, -0.1432309823, -2.117685316e-05
970.389536, -0.1407076478, -2.066325118e-05
970.393632, -0.140654714, -2.065269652e-05
970.614816, -0.137367432, -2.001745129e-05
970.618912, -0.1372997689, -2.000459708e-05
970.85648, -0.1329664771, -1.919985726e-05
970.860576, -0.1328869411, -1.918524111e-05
970.926112, -0.1315572839, -1.894270938e-05
