time, angle, torque
975.21872, -5.049223178e-05, 6.682988973e-08
975.312928, 0.004272897754, 1.069982756e-07
975.317024, 0.004460188773, 1.087380805e-07
975.427616, 0.009561928587, 1.56080532e-07
975.431712, 0.009750607091, 1.578307226e-07
976.28368, 0.04878573157, 5.171903835e-07
976.287776, 0.04897503209, 5.189421082e-07
976.975904, 0.07979114017, 8.030190196e-07
976.98, 0.07997479967, 8.047241786e-07
977.692704, 0.1107507763, 1.089856398e-06
977.6968, 0.1109247128, 1.091482628e-06
978.348064, 0.1376634077, 1.341271291e-06
978.35216, 0.1378269711, 1.342813139e-06
978.995232, 0.1626119002, 1.576309563e-06
978.999328, 0.1627654517, 1.577769823e-06
979.585056, 0.1836964642, 1.776441551e-06
979.589152, 0.1838373293, 1.777787576e-06
980.158496, 0.2024792821, 1.955480939e-06
980.162592, 0.202607908, 1.956713794e-06
980.70736, 0.2187141769, 2.110228756e-06
980.711456, 0.2188297775, 2.111334284e-06
981.026848, 0.2273253839, 2.19210012e-06
981.030944, 0.2274312188, 2.193105376e-06
981.235744, 0.2326051424, 2.242077141e-06
981.23984, 0.2327074498, 2.243046762e-06
981.719072, 0.2437241289, 2.345945504e-06
981.723168, 0.2438119165, 2.346760225e-06
982.214688, 0.2534741335, 2.434670092e-06
982.218784, 0.2535480764, 2.435336021e-06
982.710304, 0.261485511, 2.50421165e-06
982.7144, 0.2615442038, 2.504705922e-06
983.20592, 0.2677009462, 2.553576569e-06
983.210016, 0.2677458589, 2.553913657e-06
983.689248, 0.2719959767, 2.581667214e-06
983.693344, 0.272025335, 2.581825964e-06
983.803936, 0.2727563517, 2.585392109e-06
983.808032, 0.2727793212, 2.585477677e-06
984.16848, 0.274501228, 2.589561968e-06
984.172576, 0.27451725, 2.589567955e-06
984.610848, 0.2752527702, 2.579148519e-06
984.614944, 0.275256311, 2.579013305e-06
984.651808, 0.2752471125, 2.577329459e-06
984.655904, 0.275248052, 2.577164723e-06
984.950816, 0.2748096807, 2.559658209e-06
984.954912, 0.2748003247, 2.559378294e-06
985.237536, 0.2737459396, 2.535572811e-06
985.241632, 0.2737265252, 2.535181713e-06
985.511968, 0.2721370308, 2.506062157e-06
985.516064, 0.2721111765, 2.505602088e-06
985.810976, 0.2697356164, 2.46695432e-06
985.815072, 0.2696980984, 2.466368269e-06
986.056736, 0.2672562436, 2.429461852e-06
986.060832, 0.267210382, 2.428788283e-06
986.097696, 0.2667981849, 2.422733904e-06
986.101792, 0.2667528748, 2.422068152e-06
986.396704, 0.2630833881, 2.36995317e-06
986.4008, 0.2630284433, 2.369186294e-06
986.695712, 0.2587093407, 2.310553175e-06
986.699808, 0.2586466993, 2.309714609e-06
986.998816, 0.2536177951, 2.243942167e-06
987.002912, 0.2535463409, 2.243019368e-06
987.310112, 0.2477110902, 2.169147048e-06
987.314208, 0.2476305397, 2.168139908e-06
987.592736, 0.2417648996, 2.095905229e-06
987.596832, 0.2416770109, 2.094830342e-06
988.198944, 0.2272132579, 1.923687094e-06
988.20304, 0.2271078997, 1.922461517e-06
988.522528, 0.218478262, 1.823606326e-06
988.526624, 0.2183650648, 1.822319675e-06
988.846112, 0.209104112, 1.718598638e-06
988.850208, 0.2089842403, 1.717264977e-06
989.464608, 0.1895052584, 1.506198231e-06
989.468704, 0.1893713691, 1.504766199e-06
989.992992, 0.1711475815, 1.31383831e-06
989.997088, 0.1710006497, 1.312315426e-06
990.545952, 0.1505012607, 1.103837284e-06
990.550048, 0.1503449592, 1.102263184e-06
990.808096, 0.1402540994, 1.001503724e-06
990.812192, 0.1400895517, 9.998687201e-07
991.1112, 0.1280654459, 8.814016445e-07
991.115296, 0.1278985027, 8.797644716e-07
991.754272, 0.1011490157, 6.219555697e-07
991.758368, 0.1009754478, 6.20295373e-07
992.262176, 0.07904423355, 4.129968536e-07
992.266272, 0.07886424633, 4.113029897e-07
992.888864, 0.05098627667, 1.52094912e-07
992.89296, 0.0508027064, 1.503933134e-07
993.994784, 0.000272948587, -3.109991181e-07
993.99888, 8.529119895e-05, -3.127159244e-07
994.773024, -0.03555950003, -6.370336839e-07
994.77712, -0.03574734659, -6.387528494e-07
995.518496, -0.06934957227, -9.455846695e-07
995.522592, -0.06953417454, -9.472852892e-07
995.833888, -0.0833582253, -1.074591024e-06
995.837984, -0.08354054396, -1.076277746e-06
996.218912, -0.100156621, -1.229982529e-06
996.223008, -0.100333417, -1.231627225e-06
996.870176, -0.1276047522, -1.485539577e-06
996.874272, -0.1277738698, -1.487130853e-06
997.492768, -0.1524608602, -1.719552724e-06
997.496864, -0.152619816, -1.721064424e-06
998.144032, -0.1767205918, -1.950225009e-06
998.148128, -0.176868507, -1.95164603e-06
998.717472, -0.1963817352, -2.138637121e-06
998.721568, -0.1965173455, -2.139945838e-06
999.3032, -0.2146298632, -2.313933501e-06
999.307296, -0.2147518834, -2.315111365e-06
999.696416, -0.2257545558, -2.420675361e-06
999.700512, -0.2258658199, -2.421743811e-06
999.819296, -0.2290350172, -2.452098234e-06
999.823392, -0.2291431749, -2.453132433e-06
1000.372256, -0.2425971337, -2.58036394e-06
1000.376352, -0.2426904428, -2.58124141e-06
1000.892448, -0.2534923187, -2.680844093e-06
1000.896544, -0.2535711934, -2.681564965e-06
1001.41264, -0.2624934136, -2.760102239e-06
1001.416736, -0.2625575447, -2.760654128e-06
1001.920544, -0.2693912205, -2.815828843e-06
1001.92464, -0.2694401846, -2.816203865e-06
1002.444832, -0.2745017945, -2.850003683e-06
1002.448928, -0.2745342314, -2.850184453e-06
1002.756128, -0.2765519998, -2.858817534e-06
1002.760224, -0.276574379, -2.858879704e-06
1002.952736, -0.2774670983, -2.859946924e-06
1002.956832, -0.2774833972, -2.85993827e-06
1003.456544, -0.2784550908, -2.847124348e-06
1003.46064, -0.278457008, -2.846948825e-06
1003.980832, -0.2774152461, -2.810107919e-06
1003.984928, -0.2773991709, -2.809727232e-06
1004.501024, -0.2743024187, -2.750106615e-06
1004.50512, -0.2742708717, -2.749553702e-06
1005.021216, -0.2691411852, -2.667947142e-06
1005.025312, -0.2690931951, -2.667221327e-06
1005.049888, -0.2687986502, -2.662785791e-06
1005.053984, -0.2687489167, -2.662041065e-06
1005.533216, -0.2620997938, -2.566703645e-06
1005.537312, -0.2620358277, -2.56581588e-06
1006.049312, -0.2530826405, -2.445820231e-06
1006.053408, -0.2530047386, -2.444801437e-06
1006.598176, -0.2414534216, -2.298456768e-06
1006.602272, -0.2413605209, -2.297301192e-06
1007.138848, -0.2280378991, -2.136463042e-06
1007.142944, -0.2279293718, -2.135175056e-06
1007.704096, -0.2120482809, -1.951661044e-06
1007.708192, -0.2119264412, -1.950274845e-06
1008.257056, -0.1946016546, -1.757945815e-06
1008.261152, -0.1944662425, -1.756464136e-06
1008.86736, -0.1734450165, -1.532018996e-06
1008.871456, -0.1732989124, -1.530480263e-06
1009.448992, -0.1516280827, -1.307258703e-06
1009.453088, -0.1514707097, -1.305656916e-06
1009.944608, -0.1319152931, -1.109987385e-06
1009.948704, -0.1317495715, -1.108344175e-06
1010.133024, -0.1241827161, -1.033769377e-06
1010.13712, -0.1240146451, -1.032117973e-06
1010.784288, -0.09656708799, -7.675477718e-07
1010.788384, -0.09639033482, -7.658596113e-07
1011.480608, -0.0658112779, -4.787489115e-07
1011.484704, -0.06562850245, -4.770446428e-07
1012.295712, -0.02874366243, -1.383998955e-07
1012.299808, -0.02855566656, -1.366801183e-07
1012.914208, -0.0002396370412, 1.2018521e-07
