time, angle, torque
1050.617888, 9.395505355e-05, 2.300788687e-05
1051.580448, 0.04442947504, 2.8792342e-05
1051.584544, 0.04461878187, 2.881717889e-05
1052.125216, 0.06905851267, 3.180943949e-05
1052.129312, 0.06924320162, 3.18320491e-05
1052.686368, 0.09380496086, 3.464487246e-05
1052.690464, 0.09398319798, 3.466502213e-05
1052.846112, 0.1007019053, 3.540885224e-05
1052.850208, 0.100876448, 3.542785445e-05
1053.259808, 0.1182112537, 3.725566189e-05
1053.263904, 0.1183813415, 3.727316075e-05
1053.86192, 0.1426279393, 3.962479931e-05
1053.866016, 0.1427901001, 3.964000527e-05
1054.341152, 0.1610216406, 4.12442263e-05
1054.345248, 0.1611750204, 4.125716261e-05
1054.849056, 0.1793601524, 4.268530317e-05
1054.853152, 0.1795035461, 4.269584817e-05
1055.39792, 0.1977056162, 4.391696734e-05
1055.402016, 0.197837078, 4.392483065e-05
1056.008224, 0.2161224714, 4.487574122e-05
1056.01232, 0.2162392857, 4.488048226e-05
1056.581664, 0.231359274, 4.536144947e-05
1056.58576, 0.2314618925, 4.536335094e-05
1057.114144, 0.2436165372, 4.544679899e-05
1057.11824, 0.243704302, 4.544577455e-05
1057.20016, 0.2454125553, 4.541615295e-05
1057.204256, 0.245497009, 4.541443047e-05
1057.601568, 0.2531594943, 4.519228024e-05
1057.605664, 0.2532318364, 4.518822474e-05
1058.170912, 0.2621680337, 4.45426387e-05
1058.175008, 0.2622248208, 4.453583085e-05
1058.6952, 0.2683926631, 4.357527905e-05
1058.699296, 0.2684331522, 4.356553021e-05
1058.916384, 0.2704096785, 4.303896298e-05
1058.92048, 0.2704428796, 4.302791901e-05
1059.252256, 0.2727654707, 4.212094311e-05
1059.256352, 0.272789506, 4.210848557e-05
1059.55536, 0.2741666676, 4.117051483e-05
1059.559456, 0.2741819377, 4.115669182e-05
1059.86256, 0.2748742272, 4.009354677e-05
1059.866656, 0.274879101, 4.007795678e-05
1060.010016, 0.2749589897, 3.952616181e-05
1060.014112, 0.2749595912, 3.950994718e-05
1060.165664, 0.2748703633, 3.890066107e-05
1060.16976, 0.2748664127, 3.888378418e-05
1060.47696, 0.2741395632, 3.758790746e-05
1060.481056, 0.2741253521, 3.756939397e-05
1060.792352, 0.2726527378, 3.614806238e-05
1060.796448, 0.2726288363, 3.6128124e-05
1061.103648, 0.2704474842, 3.461996017e-05
1061.107744, 0.270414628, 3.459882483e-05
1061.414944, 0.2675125521, 3.299001399e-05
1061.41904, 0.2674706878, 3.296770717e-05
1061.472288, 0.2669009305, 3.267370162e-05
1061.476384, 0.2668554632, 3.265065096e-05
1061.701664, 0.264178393, 3.138838926e-05
1061.70576, 0.264127397, 3.136481994e-05
1062.250528, 0.2561267837, 2.820788822e-05
1062.254624, 0.2560573495, 2.818163055e-05
1062.574112, 0.2503636743, 2.617103839e-05
1062.578208, 0.2502866013, 2.614417561e-05
1062.897696, 0.2438677387, 2.405278509e-05
1062.901792, 0.243780354, 2.402461587e-05
1063.172128, 0.2377950894, 2.219014816e-05
1063.176224, 0.2377009552, 2.216145069e-05
1063.54896, 0.2286284239, 1.95720377e-05
1063.553056, 0.2285252988, 1.954270381e-05
1063.888928, 0.2195963494, 1.714016746e-05
1063.893024, 0.2194844783, 1.711011596e-05
1064.212512, 0.2103097962, 1.476444989e-05
1064.216608, 0.2101891653, 1.473362419e-05
1064.79824, 0.1919605503, 1.044686873e-05
1064.802336, 0.1918257149, 1.041504448e-05
1065.424928, 0.1702750284, 5.734373714e-06
1065.429024, 0.1701286113, 5.702462968e-06
1066.076192, 0.1457153714, 7.853761478e-07
1066.080288, 0.1455566467, 7.532693347e-07
1066.407968, 0.1325022236, -1.789172196e-06
1066.412064, 0.1323352575, -1.821880912e-06
