time, angle, torque
1012.918304, -4.885092978e-05, 2.37759465e-05
1014.020128, 0.0508058097, 3.178672581e-05
1014.024224, 0.05099231852, 3.181597586e-05
1014.564896, 0.07531097635, 3.547421598e-05
1014.568992, 0.07549371075, 3.55017042e-05
1015.003168, 0.0945564913, 3.827326703e-05
1015.007264, 0.09473222006, 3.829836954e-05
1015.117856, 0.09951331048, 3.898536707e-05
1015.121952, 0.09969230337, 3.901147899e-05
1015.703584, 0.1241943439, 4.240392923e-05
1015.70768, 0.1243630794, 4.242700952e-05
1016.313888, 0.1486024677, 4.563270376e-05
1016.317984, 0.148762154, 4.565350745e-05
1016.809504, 0.1672771256, 4.798662531e-05
1016.8136, 0.1674271111, 4.800504668e-05
1017.317408, 0.1851983789, 5.012457317e-05
1017.321504, 0.1853404497, 5.014140068e-05
1017.89904, 0.2040653724, 5.221235694e-05
1017.903136, 0.2041920716, 5.222541108e-05
1018.525728, 0.2222019382, 5.398173569e-05
1018.529824, 0.2223147598, 5.399175163e-05
1019.12784, 0.237318877, 5.516217346e-05
1019.131936, 0.2374143162, 5.516794796e-05
1019.49648, 0.2454017726, 5.559547391e-05
1019.500576, 0.2454865967, 5.559870362e-05
1019.672608, 0.2489397116, 5.571746608e-05
1019.676704, 0.2490209672, 5.572002976e-05
1020.23376, 0.2587713915, 5.583939358e-05
1020.237856, 0.2588363434, 5.583802155e-05
1020.794912, 0.2663221016, 5.542126909e-05
1020.799008, 0.2663694475, 5.541552197e-05
1021.327392, 0.2713619713, 5.451671936e-05
1021.331488, 0.2713927898, 5.450692987e-05
1021.4216, 0.2720254183, 5.428291479e-05
1021.425696, 0.2720533548, 5.427245356e-05
1021.876256, 0.2743183793, 5.302153534e-05
1021.880352, 0.274332569, 5.300784005e-05
1022.306336, 0.2750459215, 5.148778974e-05
1022.310432, 0.2750465406, 5.14708926e-05
1022.433312, 0.2749923468, 5.09536732e-05
1022.437408, 0.2749901643, 5.093631254e-05
1022.982176, 0.2733482504, 4.844797503e-05
1022.986272, 0.2733280004, 4.84263764e-05
1023.518752, 0.2695446776, 4.551787703e-05
1023.522848, 0.2695067079, 4.549229382e-05
1023.543328, 0.2693180107, 4.536532644e-05
1023.547424, 0.2692815592, 4.534042743e-05
1024.10448, 0.2629395801, 4.181904561e-05
1024.108576, 0.2628849563, 4.179032684e-05
1024.669728, 0.2541767978, 3.780722245e-05
1024.673824, 0.2541055977, 3.777553333e-05
1025.202208, 0.2438681303, 3.367589668e-05
1025.206304, 0.2437810107, 3.364153925e-05
1025.74288, 0.2314031335, 2.918841229e-05
1025.746976, 0.2313000011, 2.91516303e-05
1026.074656, 0.2227958544, 2.627250523e-05
1026.078752, 0.2226862809, 2.623556689e-05
1026.422816, 0.2130488396, 2.315068851e-05
1026.426912, 0.2129292693, 2.311251455e-05
1027.01264, 0.1948571699, 1.77987938e-05
1027.016736, 0.1947253503, 1.776018614e-05
1027.631136, 0.1737153537, 1.207702445e-05
1027.635232, 0.1735692289, 1.203757314e-05
1028.286496, 0.1492696151, 5.988932007e-06
1028.290592, 0.1491120574, 5.949835019e-06
1028.859936, 0.1263694244, 6.702362813e-07
1028.864032, 0.1261999843, 6.307997935e-07
1028.986912, 0.1211311165, -5.273693239e-07
1028.991008, 0.1209622997, -5.658241237e-07
1029.564448, 0.09662682878, -5.767797349e-06
1029.568544, 0.09645040221, -5.805409822e-06
1030.260768, 0.06587260971, -1.186673902e-05
1030.264864, 0.06569001155, -1.190277983e-05
1030.940704, 0.03494812322, -1.759043962e-05
1030.9448, 0.03476096404, -1.762495826e-05
1031.694368, 9.819705713e-05, -2.36078588e-05
1031.698464, -9.057745134e-05, -2.364028875e-05
1032.759328, -0.04901409958, -3.139483615e-05
1032.763424, -0.04920125445, -3.142447564e-05
1033.304096, -0.07363549484, -3.513652537e-05
1033.308192, -0.07381959925, -3.516457017e-05
1033.68912, -0.09066458087, -3.764622547e-05
1033.693216, -0.09084633932, -3.767331517e-05
1033.865248, -0.09835653142, -3.876605541e-05
1033.869344, -0.09853406642, -3.879177379e-05
1034.434592, -0.1225472244, -4.215471576e-05
1034.438688, -0.1227185928, -4.217863811e-05
1035.036704, -0.1469233812, -4.542617465e-05
1035.0408, -0.147085702, -4.544776382e-05
1035.528224, -0.1657358993, -4.784127787e-05
1035.53232, -0.1658882508, -4.786035334e-05
1036.040224, -0.1841441745, -5.008855972e-05
1036.04432, -0.184286338, -5.010525892e-05
1036.593184, -0.2025200695, -5.218537691e-05
1036.59728, -0.2026491977, -5.219897855e-05
1037.21168, -0.221026924, -5.40850433e-05
1037.215776, -0.2211416694, -5.40953706e-05
1037.821984, -0.237000852, -5.54491753e-05
1037.82608, -0.2371000131, -5.545587653e-05
1038.149664, -0.2445847141, -5.593285502e-05
1038.15376, -0.2446772491, -5.593827964e-05
1038.383136, -0.2495413872, -5.616708714e-05
1038.387232, -0.249625389, -5.617026369e-05
1038.44048, -0.2507090709, -5.621071534e-05
1038.444576, -0.2507923446, -5.621382945e-05
1038.981152, -0.2605353325, -5.64203593e-05
1038.985248, -0.2606025169, -5.641952601e-05
1039.554592, -0.2686663508, -5.610626198e-05
1039.558688, -0.2687170646, -5.610147694e-05
1040.091168, -0.2740927829, -5.528478281e-05
1040.095264, -0.2741263685, -5.527571958e-05
1040.267296, -0.275407527, -5.487600047e-05
1040.271392, -0.2754347627, -5.486530525e-05
1040.623648, -0.2773452731, -5.390726794e-05
