time, displacement, force
222.586912, 2.10546875e-08, -0.002910402383
222.78352, 4.296875e-10, -0.002744277516
222.787616, 0, -0.002740824019
225.2616, 0, -0.001553921369
225.265696, 0, -0.001551969545
226.969632, 0, -0.001022097353
226.973728, 0, -0.001020828169
228.923424, 0, -0.0006435505524
228.92752, 0, -0.0006427601665
231.327776, 0, -0.0003752563629
231.331872, 0, -0.0003748008956
235.03056, 0, -0.0001800814845
235.034656, 0, -0.000179866244
238.991392, 0, -8.419683358e-05
238.995488, 0, -8.409793495e-05
241.17456, 0, -5.200544041e-05
241.178656, 0, -5.194518923e-05
242.665504, 0, -3.667912331e-05
242.6696, 0, -3.66371171e-05
245.192736, 0, -2.163469162e-05
245.196832, 0, -2.161036333e-05
249.546784, -5.15625e-09, -1.042630056e-05
249.55088, -5.2734375e-09, -1.043140558e-05
249.567264, -1.05859375e-08, -1.112392088e-05
