time, angle, torque
955.553824, -1.967678897e-05, 7.201550802e-06
956.127264, 0.02615170928, 1.019802739e-05
956.13136, 0.02633579002, 1.021909395e-05
956.54096, 0.04428261641, 1.217416331e-05
956.545056, 0.04446009326, 1.219360568e-05
956.835872, 0.05661371881, 1.347249146e-05
956.839968, 0.05678212192, 1.349022771e-05
957.15536, 0.06926263575, 1.475550039e-05
957.159456, 0.06941974193, 1.477129807e-05
957.478944, 0.08117325351, 1.591158689e-05
957.48304, 0.08131887808, 1.592555556e-05
957.745184, 0.09018382422, 1.674185518e-05
957.74928, 0.09031753451, 1.675393293e-05
958.044192, 0.09939729152, 1.753647917e-05
958.048288, 0.09951870901, 1.754668657e-05
958.269472, 0.1056349714, 1.802615074e-05
958.273568, 0.1057425448, 1.803408137e-05
958.277664, 0.1058494959, 1.804189815e-05
958.28176, 0.1059558281, 1.804960162e-05
958.56848, 0.1128981403, 1.851823137e-05
958.572576, 0.1129893047, 1.852350963e-05
958.81424, 0.11799485, 1.8783901e-05
958.818336, 0.1180718384, 1.878685208e-05
959.10096, 0.1228474127, 1.891874696e-05
959.105056, 0.122908909, 1.891918496e-05
959.359008, 0.1262051804, 1.887425401e-05
959.363104, 0.1262507087, 1.887201681e-05
959.61296, 0.128542393, 1.867142664e-05
959.617056, 0.1285735515, 1.866684588e-05
959.854624, 0.1298598539, 1.832896133e-05
959.85872, 0.1298748147, 1.832165384e-05
960.088096, 0.1302844046, 1.785987665e-05
960.092192, 0.1302858158, 1.785041373e-05
960.100384, 0.130284269, 1.783062688e-05
960.10448, 0.1302843039, 1.782091483e-05
960.387104, 0.1296132568, 1.707119174e-05
960.3912, 0.1295953047, 1.705862896e-05
960.686112, 0.1275812414, 1.607720867e-05
960.690208, 0.1275440109, 1.606169263e-05
960.976928, 0.1243134, 1.49227252e-05
960.981024, 0.1242580648, 1.490462806e-05
961.284128, 0.1195066916, 1.352400305e-05
961.288224, 0.1194358994, 1.350411171e-05
961.411104, 0.1171268916, 1.288653701e-05
961.4152, 0.1170451845, 1.286506209e-05
961.587232, 0.113463532, 1.196648544e-05
961.591328, 0.1133742618, 1.19443906e-05
961.890336, 0.1061847111, 1.030199728e-05
961.894432, 0.1060784882, 1.027817037e-05
962.226208, 0.09676501487, 8.344485118e-06
962.230304, 0.09664306854, 8.319526932e-06
962.512928, 0.08765558258, 6.589962406e-06
962.517024, 0.08751946222, 6.564038261e-06
962.783264, 0.07828490138, 4.898303858e-06
962.78736, 0.07813866147, 4.87215071e-06
963.020832, 0.06944152431, 3.385873845e-06
963.024928, 0.06928459651, 3.35922687e-06
963.270688, 0.05964311877, 1.79672503e-06
963.274784, 0.05947830155, 1.770162498e-06
963.618848, 0.04518539807, -3.961362776e-07
963.622944, 0.04501147683, -4.223252473e-07
964.26192, 0.01674758716, -4.267889176e-06
964.266016, 0.01656282031, -4.292876874e-06
964.622368, 0.0001923755713, -6.398471071e-06
964.626464, 4.01890867e-06, -6.422656978e-06
965.564448, -0.04296568747, -1.138114254e-05
965.568544, -0.04314893754, -1.140247628e-05
965.974048, -0.06089515498, -1.338637107e-05
965.978144, -0.06107136759, -1.340621672e-05
966.260768, -0.07287302507, -1.469507518e-05
966.264864, -0.07304268235, -1.471378872e-05
966.584352, -0.08567905367, -1.605635283e-05
966.588448, -0.08583642428, -1.60730502e-05
966.907936, -0.09757236329, -1.727920725e-05
966.912032, -0.09771817895, -1.729413869e-05
967.198752, -0.1073541153, -1.82420563e-05
967.202848, -0.1074864831, -1.825486803e-05
967.346208, -0.1119695339, -1.867839721e-05
967.350304, -0.1120923182, -1.868959078e-05
967.469088, -0.1156457916, -1.901640375e-05
967.473184, -0.1157666069, -1.902744599e-05
967.706656, -0.1222034507, -1.958306293e-05
967.710752, -0.1223111664, -1.959195287e-05
967.981088, -0.1288742518, -2.009351731e-05
967.985184, -0.1289659583, -2.009970864e-05
968.243232, -0.1343137311, -2.042818894e-05
968.247328, -0.1343908722, -2.043191855e-05
968.513568, -0.138904535, -2.060199779e-05
968.517664, -0.1389658682, -2.060299199e-05
968.763424, -0.1422084178, -2.060064008e-05
968.76752, -0.1422550229, -2.059906354e-05
969.017376, -0.144626912, -2.043693521e-05
969.021472, -0.1446583725, -2.043270453e-05
969.144352, -0.1454703794, -2.028657701e-05
969.148448, -0.1454928773, -2.02807259e-05
969.271328, -0.1460689332, -2.009359621e-05
969.275424, -0.1460841184, -2.008649518e-05
969.508896, -0.1465245143, -1.962646134e-05
969.512992, -0.1465246686, -1.961674538e-05
969.529376, -0.1465227146, -1.957752058e-05
969.533472, -0.1465219691, -1.956767071e-05
969.742368, -0.146130172, -1.902095832e-05
969.746464, -0.1461160061, -1.900883382e-05
969.959456, -0.1450186459, -1.83366051e-05
969.963552, -0.1449914168, -1.832236348e-05
970.168352, -0.1432711024, -1.756912793e-05
970.172448, -0.1432309823, -1.755285855e-05
970.389536, -0.1407076478, -1.664921244e-05
970.393632, -0.140654714, -1.663107207e-05
970.614816, -0.137367432, -1.560891336e-05
970.618912, -0.1372997689, -1.558861917e-05
970.85648, -0.1329664771, -1.438577904e-05
970.860576, -0.1328869411, -1.436414353e-05
970.926112, -0.1315572839, -1.401094198e-05
970.930208, -0.131470739, -1.398819862e-05
