time, angle, torque
917.85424, -6.365538058e-05, -2.064010145e-08
918.669344, 0.03672803455, 1.046442323e-05
918.67344, 0.03690738202, 1.051584137e-05
919.275552, 0.06209773616, 1.720684745e-05
919.279648, 0.06226119378, 1.725049858e-05
919.566368, 0.0733134031, 2.010276062e-05
919.570464, 0.07346763676, 2.014267398e-05
919.848992, 0.08348128254, 2.265000646e-05
919.853088, 0.08362339684, 2.268550283e-05
919.975968, 0.08778714933, 2.370987928e-05
919.980064, 0.08792459473, 2.374372822e-05
920.111136, 0.09218851703, 2.477511912e-05
920.115232, 0.09231933934, 2.480667573e-05
920.377376, 0.1002453602, 2.66617456e-05
920.381472, 0.1003647714, 2.668948787e-05
920.63952, 0.1073485862, 2.825013649e-05
920.643616, 0.1074534805, 2.827303544e-05
920.901664, 0.1135693942, 2.955429126e-05
920.90576, 0.1136600594, 2.957250559e-05
921.159712, 0.1187853151, 3.054610893e-05
921.163808, 0.1188632715, 3.056024094e-05
921.405472, 0.122882222, 3.12099569e-05
921.409568, 0.1229446494, 3.121894926e-05
921.651232, 0.1261004913, 3.159095695e-05
921.655328, 0.1261470965, 3.159472517e-05
921.901088, 0.1284485411, 3.168213337e-05
921.905184, 0.1284805937, 3.168122447e-05
922.146848, 0.1298342245, 3.147711965e-05
922.150944, 0.1298509247, 3.147128403e-05
922.392608, 0.130295211, 3.098168444e-05
922.396704, 0.130296229, 3.097089103e-05
922.4008, 0.1302957657, 3.095954551e-05
922.683424, 0.1296424325, 3.003372389e-05
922.68752, 0.129624371, 3.001701606e-05
922.978336, 0.1276573953, 2.868213062e-05
922.982432, 0.1276218348, 2.866036527e-05
923.265056, 0.1244716067, 2.701239575e-05
923.269152, 0.1244174914, 2.698538725e-05
923.56816, 0.1197881366, 2.490354493e-05
923.572256, 0.1197167565, 2.487219362e-05
923.871264, 0.1137999995, 2.247854451e-05
923.87536, 0.1137112128, 2.244312552e-05
924.010528, 0.1106277476, 2.125292881e-05
924.014624, 0.1105307816, 2.12157167e-05
924.170272, 0.1066737446, 1.978639488e-05
924.174368, 0.1065687412, 1.974769412e-05
924.493856, 0.0976814269, 1.66785107e-05
924.497952, 0.09756013568, 1.663694082e-05
924.809248, 0.08772992521, 1.345838979e-05
924.813344, 0.08759332739, 1.341447798e-05
925.067296, 0.07879720046, 1.071254496e-05
925.071392, 0.07864981189, 1.066746393e-05
925.354016, 0.06811806308, 7.59722223e-06
925.358112, 0.06796209038, 7.552040166e-06
925.665312, 0.05574077089, 4.174378871e-06
925.669408, 0.05557366795, 4.128413207e-06
925.96432, 0.0432031689, 8.708311857e-07
925.968416, 0.04302849875, 8.250318306e-07
926.53776, 0.01784478104, -5.313746633e-06
926.541856, 0.01765978881, -5.358701554e-06
926.922784, 0.0002243484562, -9.417291404e-06
926.92688, 3.695869056e-05, -9.460813411e-06
927.844384, -0.04195605267, -1.854069034e-05
927.84848, -0.04213933749, -1.858061569e-05
928.19664, -0.05744827887, -2.184276501e-05
928.200736, -0.05762486572, -2.188047783e-05
928.548896, -0.07226098327, -2.495200794e-05
928.552992, -0.07243206617, -2.498838146e-05
928.860192, -0.08462481607, -2.751372366e-05
928.864288, -0.08478453869, -2.754699111e-05
929.1592, -0.0957250474, -2.977862064e-05
929.163296, -0.09587273001, -2.980866966e-05
929.413152, -0.1044744098, -3.152939852e-05
929.417248, -0.1046092812, -3.155585007e-05
929.462304, -0.1060919294, -3.184780743e-05
929.4664, -0.1062262199, -3.187425856e-05
929.744928, -0.1148566983, -3.354301017e-05
929.749024, -0.114980477, -3.356686111e-05
930.01936, -0.122465524, -3.494509948e-05
930.023456, -0.1225723137, -3.496388232e-05
930.2856, -0.1289335137, -3.604856204e-05
930.289696, -0.1290269474, -3.60635452e-05
930.539552, -0.1342181111, -3.684351827e-05
930.543648, -0.1342960953, -3.685377626e-05
930.801696, -0.1387246072, -3.738187022e-05
930.805792, -0.1387884258, -3.738788434e-05
931.047456, -0.1420447493, -3.760858538e-05
931.051552, -0.142095114, -3.761052409e-05
931.313696, -0.1446296225, -3.754385572e-05
931.317792, -0.1446622676, -3.754010168e-05
931.522592, -0.1459069428, -3.725187486e-05
931.526688, -0.1459234346, -3.724276727e-05
931.559456, -0.1460617412, -3.717398703e-05
931.563552, -0.1460784879, -3.71651964e-05
931.805216, -0.1465671439, -3.652676647e-05
931.809312, -0.1465702482, -3.651388269e-05
931.8216, -0.1465697788, -3.64715105e-05
931.825696, -0.1465694841, -3.645735629e-05
932.10832, -0.1459147063, -3.534380946e-05
932.112416, -0.1458971134, -3.532443498e-05
932.403232, -0.1439303186, -3.379601201e-05
932.407328, -0.1438936051, -3.377093251e-05
932.694048, -0.1406893099, -3.190436637e-05
