time, angle, torque
936.704032, -3.250044948e-05, 2.321485733e-07
937.277472, 0.02613798099, 1.087167207e-06
937.281568, 0.02632131472, 1.093198358e-06
937.687072, 0.04408931591, 1.676567603e-06
937.691168, 0.04426820283, 1.682492723e-06
937.98608, 0.05659755559, 2.090695577e-06
937.990176, 0.05676682794, 2.096342664e-06
938.305568, 0.06924720142, 2.51293007e-06
938.309664, 0.06940397424, 2.518206467e-06
938.387488, 0.07233950628, 2.61702935e-06
938.391584, 0.07249091778, 2.622134681e-06
938.625056, 0.08101655676, 2.910089328e-06
938.629152, 0.08116336016, 2.915081737e-06
938.895392, 0.09017561003, 3.221468082e-06
938.899488, 0.09030870196, 3.226022407e-06
939.1944, 0.09939491565, 3.536817133e-06
939.198496, 0.09951572503, 3.540977276e-06
939.436064, 0.1060579985, 3.76554753e-06
939.44016, 0.1061638952, 3.769189913e-06
939.718688, 0.1128983536, 3.999806471e-06
939.722784, 0.1129894693, 4.002924144e-06
939.964448, 0.1180005473, 4.173145907e-06
939.968544, 0.1180784881, 4.175779951e-06
940.255264, 0.1229196744, 4.33648312e-06
940.25936, 0.1229814359, 4.338505143e-06
940.513312, 0.1262600003, 4.442286397e-06
940.517408, 0.1263056494, 4.443683394e-06
940.5256, 0.1263948237, 4.446393728e-06
940.529696, 0.1264399572, 4.447770627e-06
940.754976, 0.1284928507, 4.506499682e-06
940.759072, 0.128523881, 4.507324404e-06
940.99664, 0.1298435554, 4.535931946e-06
941.000736, 0.1298591489, 4.5361417e-06
941.2424, 0.130302027, 4.529648254e-06
941.246496, 0.1303021019, 4.529242549e-06
941.541408, 0.1296137347, 4.472918673e-06
941.545504, 0.1295960887, 4.471816735e-06
941.828128, 0.1276751911, 4.368743776e-06
941.832224, 0.1276390963, 4.36692788e-06
942.12304, 0.124389718, 4.212471331e-06
942.127136, 0.1243356673, 4.209979391e-06
942.364704, 0.120742739, 4.049084009e-06
942.3688, 0.1206725261, 4.046000359e-06
942.426144, 0.1196733299, 4.002311704e-06
942.43024, 0.1196021127, 3.999200809e-06
942.712864, 0.1140250315, 3.761945087e-06
942.71696, 0.1139362423, 3.758223294e-06
943.036448, 0.1063118915, 3.446094885e-06
943.040544, 0.106206798, 3.441848797e-06
943.368224, 0.09703140987, 3.079383451e-06
943.37232, 0.09691052396, 3.074663994e-06
943.65904, 0.08781367431, 2.726092888e-06
943.663136, 0.0876779184, 2.720942515e-06
943.937568, 0.07816143553, 2.365628273e-06
943.941664, 0.07801501322, 2.360207933e-06
944.17104, 0.06946470552, 2.047744493e-06
944.175136, 0.0693091247, 2.042095742e-06
944.424992, 0.05950001079, 1.690484622e-06
944.429088, 0.05933445333, 1.684588563e-06
944.773152, 0.04503205908, 1.183152652e-06
944.777248, 0.04485699796, 1.177057051e-06
945.412128, 0.01676907495, 2.215556949e-07
945.416224, 0.01658472009, 2.153180748e-07
945.772576, 0.0002120191704, -3.338072904e-07
945.776672, 2.294147224e-05, -3.401516923e-07
946.714656, -0.04294524466, -1.765638369e-06
946.718752, -0.0431285335, -1.771818954e-06
947.124256, -0.06087486394, -2.37067287e-06
947.128352, -0.06105267901, -2.376743083e-06
947.415072, -0.07302666898, -2.785975505e-06
