time, angle, torque
975.21872, -5.049223178e-05, 3.462650423e-06
975.312928, 0.004272897754, 4.516299888e-06
975.317024, 0.004460188773, 4.561942225e-06
975.427616, 0.009561928587, 5.801807493e-06
975.431712, 0.009750607091, 5.847686391e-06
976.28368, 0.04878573157, 1.524409886e-05
976.287776, 0.04897503209, 1.529084369e-05
976.975904, 0.07979114017, 2.299167712e-05
976.98, 0.07997479967, 2.303934474e-05
977.692704, 0.1107507763, 3.125872271e-05
977.6968, 0.1109247128, 3.130760542e-05
978.348064, 0.1376634077, 3.910931479e-05
978.35216, 0.1378269711, 3.915963142e-05
978.995232, 0.1626119002, 4.71226062e-05
978.999328, 0.1627654517, 4.717476432e-05
979.585056, 0.1836964642, 5.457861264e-05
979.589152, 0.1838373293, 5.463096686e-05
980.158496, 0.2024792821, 6.183551989e-05
980.162592, 0.202607908, 6.188755345e-05
980.70736, 0.2187141769, 6.862836499e-05
980.711456, 0.2188297775, 6.867870367e-05
981.026848, 0.2273253839, 7.244092581e-05
981.030944, 0.2274312188, 7.248869901e-05
981.235744, 0.2326051424, 7.485089025e-05
981.23984, 0.2327074498, 7.489825122e-05
981.719072, 0.2437241289, 8.009881498e-05
981.723168, 0.2438119165, 8.01411872e-05
982.214688, 0.2534741335, 8.487693847e-05
982.218784, 0.2535480764, 8.491371699e-05
982.710304, 0.261485511, 8.888219933e-05
982.7144, 0.2615442038, 8.891153162e-05
983.20592, 0.2677009462, 9.196309235e-05
983.210016, 0.2677458589, 9.198498786e-05
983.689248, 0.2719959767, 9.395908029e-05
983.693344, 0.272025335, 9.397168672e-05
983.803936, 0.2727563517, 9.427428157e-05
983.808032, 0.2727793212, 9.428284477e-05
984.16848, 0.274501228, 9.486165248e-05
984.172576, 0.27451725, 9.486595467e-05
984.610848, 0.2752527702, 9.470920476e-05
984.614944, 0.275256311, 9.4705547e-05
984.651808, 0.2752471125, 9.46456448e-05
984.655904, 0.275248052, 9.464029024e-05
984.950816, 0.2748096807, 9.393452408e-05
984.954912, 0.2748003247, 9.392256921e-05
985.237536, 0.2737459396, 9.284422577e-05
985.241632, 0.2737265252, 9.282591476e-05
985.511968, 0.2721370308, 9.143366449e-05
985.516064, 0.2721111765, 9.141148664e-05
985.810976, 0.2697356164, 8.950780624e-05
985.815072, 0.2696980984, 8.947859633e-05
986.056736, 0.2672562436, 8.763156016e-05
986.060832, 0.267210382, 8.759759171e-05
986.097696, 0.2667981849, 8.729285853e-05
986.101792, 0.2667528748, 8.725934601e-05
986.396704, 0.2630833881, 8.463174503e-05
986.4008, 0.2630284433, 8.459309532e-05
986.695712, 0.2587093407, 8.163697898e-05
986.699808, 0.2586466993, 8.159473609e-05
986.998816, 0.2536177951, 7.829786595e-05
987.002912, 0.2535463409, 7.825173622e-05
987.310112, 0.2477110902, 7.458910882e-05
987.314208, 0.2476305397, 7.453939969e-05
987.592736, 0.2417648996, 7.100996322e-05
987.596832, 0.2416770109, 7.095790784e-05
988.198944, 0.2272132579, 6.2846841e-05
988.20304, 0.2271078997, 6.279002428e-05
988.522528, 0.218478262, 5.827460079e-05
988.526624, 0.2183650648, 5.821667939e-05
988.846112, 0.209104112, 5.362363774e-05
988.850208, 0.2089842403, 5.356554961e-05
989.464608, 0.1895052584, 4.469343399e-05
989.468704, 0.1893713691, 4.46352904e-05
989.992992, 0.1711475815, 3.714421583e-05
989.997088, 0.1710006497, 3.708634733e-05
990.545952, 0.1505012607, 2.946969199e-05
990.550048, 0.1503449592, 2.94141896e-05
990.808096, 0.1402540994, 2.592816968e-05
990.812192, 0.1400895517, 2.58725085e-05
991.1112, 0.1280654459, 2.193247308e-05
991.115296, 0.1278985027, 2.187906558e-05
991.754272, 0.1011490157, 1.385792535e-05
991.758368, 0.1009754478, 1.380828215e-05
992.262176, 0.07904423355, 7.82009681e-06
992.266272, 0.07886424633, 7.772504141e-06
992.888864, 0.05098627667, 7.595108582e-07
992.89296, 0.0508027064, 7.147215365e-07
993.994784, 0.000272948587, -1.090004416e-05
993.99888, 8.529119895e-05, -1.094244606e-05
994.773024, -0.03555950003, -1.890336694e-05
994.77712, -0.03574734659, -1.894597894e-05
995.518496, -0.06934957227, -2.665590927e-05
995.522592, -0.06953417454, -2.669983031e-05
995.833888, -0.0833582253, -3.002412618e-05
995.837984, -0.08354054396, -3.006888833e-05
996.218912, -0.100156621, -3.421871312e-05
996.223008, -0.100333417, -3.426408419e-05
996.870176, -0.1276047522, -4.154296051e-05
996.874272, -0.1277738698, -4.159056574e-05
997.492768, -0.1524608602, -4.885065933e-05
997.496864, -0.152619816, -4.890001637e-05
998.144032, -0.1767205918, -5.676115252e-05
998.148128, -0.176868507, -5.681229207e-05
998.717472, -0.1963817352, -6.384601118e-05
998.721568, -0.1965173455, -6.389734395e-05
999.3032, -0.2146298632, -7.10328909e-05
999.307296, -0.2147518834, -7.108319771e-05
999.696416, -0.2257545558, -7.572598325e-05
999.700512, -0.2258658199, -7.57741817e-05
999.819296, -0.2290350172, -7.715607207e-05
999.823392, -0.2291431749, -7.720361642e-05
1000.372256, -0.2425971337, -8.328670377e-05
1000.376352, -0.2426904428, -8.333008394e-05
1000.892448, -0.2534923187, -8.844796328e-05
1000.896544, -0.2535711934, -8.848596882e-05
1001.41264, -0.2624934136, -9.281933244e-05
1001.416736, -0.2625575447, -9.285062938e-05
1001.920544, -0.2693912205, -9.614986956e-05
1001.92464, -0.2694401846, -9.617311851e-05
1002.444832, -0.2745017945, -9.846115454e-05
1002.448928, -0.2745342314, -9.8474648e-05
1002.756128, -0.2765519998, -9.923422822e-05
1002.760224, -0.276574379, -9.924144772e-05
1002.952736, -0.2774670983, -9.948215768e-05
1002.956832, -0.2774833972, -9.948551203e-05
1003.456544, -0.2784550908, -9.92595403e-05
1003.46064, -0.278457008, -9.925364295e-05
1003.980832, -0.2774152461, -9.769588841e-05
1003.984928, -0.2773991709, -9.767837967e-05
1004.501024, -0.2743024187, -9.483182154e-05
1004.50512, -0.2742708717, -9.480478353e-05
1005.021216, -0.2691411852, -9.074888942e-05
1005.025312, -0.2690931951, -9.071240324e-05
1005.049888, -0.2687986502, -9.048958861e-05
1005.053984, -0.2687489167, -9.045207451e-05
1005.533216, -0.2620997938, -8.566736753e-05
1005.537312, -0.2620358277, -8.562270062e-05
1006.049312, -0.2530826405, -7.965143289e-05
1006.053408, -0.2530047386, -7.960098579e-05
1006.598176, -0.2414534216, -7.248185011e-05
1006.602272, -0.2413605209, -7.242646179e-05
1007.138848, -0.2280378991, -6.487216046e-05
1007.142944, -0.2279293718, -6.481282385e-05
1007.704096, -0.2120482809, -5.658667375e-05
1007.708192, -0.2119264412, -5.652609723e-05
