time, displacement, force
0.612384, 0, -5.714241919e-18
4.556832, 0, -5.714241919e-18
4.560928, 0, -5.714241919e-18
5.9208, 0, -5.714241919e-18
5.924896, 0, -5.714241919e-18
10.680352, 0, -5.714241919e-18
10.684448, 0, -5.714241919e-18
12.773408, 0, -5.714241919e-18
12.777504, -3.90625e-11, -4.523482357e-09
12.82256, -6.09765625e-08, -7.003980624e-06
12.826656, -7.28515625e-08, -8.373682835e-06
12.830752, -8.47265625e-08, -9.741975945e-06
12.834848, -9.66015625e-08, -1.110915062e-05
12.871712, -3.18125e-07, -3.651356431e-05
12.875808, -3.463671875e-07, -3.975577107e-05
12.908576, -6.699609375e-07, -7.675397901e-05
12.912672, -7.14609375e-07, -8.186133432e-05
12.94544, -1.178867188e-06, -0.0001347816945
12.949536, -1.243515625e-06, -0.0001421572354
