time, angle, torque
955.553824, -1.967678897e-05, 1.251248385e-06
956.127264, 0.02615170928, 4.837442136e-06
956.13136, 0.02633579002, 4.86268774e-06
956.54096, 0.04428261641, 7.308252386e-06
956.545056, 0.04446009326, 7.332469904e-06
956.835872, 0.05661371881, 8.982924332e-06
956.839968, 0.05678212192, 9.005814941e-06
957.15536, 0.06926263575, 1.069366008e-05
957.159456, 0.06941974193, 1.071491836e-05
957.478944, 0.08117325351, 1.229690072e-05
957.48304, 0.08131887808, 1.231650736e-05
957.745184, 0.09018382422, 1.350362679e-05
957.74928, 0.09031753451, 1.352152437e-05
958.044192, 0.09939729152, 1.472879585e-05
958.048288, 0.09951870901, 1.47449269e-05
958.269472, 0.1056349714, 1.555136062e-05
958.273568, 0.1057425448, 1.556549936e-05
958.277664, 0.1058494959, 1.557954853e-05
958.28176, 0.1059558281, 1.55935086e-05
958.56848, 0.1128981403, 1.64965636e-05
958.572576, 0.1129893047, 1.65083327e-05
958.81424, 0.11799485, 1.714767616e-05
958.818336, 0.1180718384, 1.715739216e-05
959.10096, 0.1228474127, 1.774901122e-05
959.105056, 0.122908909, 1.775647892e-05
959.359008, 0.1262051804, 1.814406331e-05
959.363104, 0.1262507087, 1.814921159e-05
959.61296, 0.128542393, 1.839268134e-05
959.617056, 0.1285735515, 1.839574238e-05
959.854624, 0.1298598539, 1.849798859e-05
959.85872, 0.1298748147, 1.849870228e-05
960.088096, 0.1302844046, 1.847717304e-05
960.092192, 0.1302858158, 1.847592932e-05
960.100384, 0.130284269, 1.847280687e-05
960.10448, 0.1302843039, 1.847136378e-05
960.387104, 0.1296132568, 1.827595272e-05
960.3912, 0.1295953047, 1.82719247e-05
960.686112, 0.1275812414, 1.788043806e-05
960.690208, 0.1275440109, 1.787365762e-05
960.976928, 0.1243134, 1.731290178e-05
960.981024, 0.1242580648, 1.730356562e-05
961.284128, 0.1195066916, 1.652403496e-05
961.288224, 0.1194358994, 1.651256147e-05
961.411104, 0.1171268916, 1.614281675e-05
961.4152, 0.1170451845, 1.612981448e-05
961.587232, 0.113463532, 1.556478312e-05
961.591328, 0.1133742618, 1.555076713e-05
961.890336, 0.1061847111, 1.443975217e-05
961.894432, 0.1060784882, 1.44234478e-05
962.226208, 0.09676501487, 1.301375042e-05
962.230304, 0.09664306854, 1.299538666e-05
962.512928, 0.08765558258, 1.165663046e-05
962.517024, 0.08751946222, 1.163642812e-05
962.783264, 0.07828490138, 1.027791102e-05
962.78736, 0.07813866147, 1.02564548e-05
963.020832, 0.06944152431, 8.989932029e-06
963.024928, 0.06928459651, 8.967129489e-06
963.270688, 0.05964311877, 7.575814012e-06
963.274784, 0.05947830155, 7.552075652e-06
963.618848, 0.04518539807, 5.512119637e-06
963.622944, 0.04501147683, 5.487344034e-06
964.26192, 0.01674758716, 1.520406272e-06
964.266016, 0.01656282031, 1.49451591e-06
964.622368, 0.0001923755713, -7.833042898e-07
964.626464, 4.01890867e-06, -8.095079501e-07
965.564448, -0.04296568747, -6.696076247e-06
965.568544, -0.04314893754, -6.721243298e-06
965.974048, -0.06089515498, -9.144693242e-06
965.978144, -0.06107136759, -9.168800038e-06
966.260768, -0.07287302507, -1.077669712e-05
966.264864, -0.07304268235, -1.079984931e-05
966.584352, -0.08567905367, -1.251559743e-05
966.588448, -0.08583642428, -1.253698748e-05
966.907936, -0.09757236329, -1.412405541e-05
966.912032, -0.09771817895, -1.414379014e-05
967.198752, -0.1073541153, -1.544031857e-05
967.202848, -0.1074864831, -1.54581233e-05
967.346208, -0.1119695339, -1.605905523e-05
967.350304, -0.1120923182, -1.607547933e-05
967.469088, -0.1156457916, -1.65503152e-05
967.473184, -0.1157666069, -1.656645607e-05
967.706656, -0.1222034507, -1.742000053e-05
967.710752, -0.1223111664, -1.743424647e-05
967.981088, -0.1288742518, -1.829357702e-05
967.985184, -0.1289659583, -1.830549673e-05
968.243232, -0.1343137311, -1.89926599e-05
968.247328, -0.1343908722, -1.900245449e-05
968.513568, -0.138904535, -1.956508031e-05
968.517664, -0.1389658682, -1.957256144e-05
968.763424, -0.1422084178, -1.995693783e-05
968.76752, -0.1422550229, -1.99622597e-05
969.017376, -0.144626912, -2.021775163e-05
969.021472, -0.1446583725, -2.022085124e-05
969.144352, -0.1454703794, -2.029459226e-05
969.148448, -0.1454928773, -2.029638052e-05
969.271328, -0.1460689332, -2.03355995e-05
969.275424, -0.1460841184, -2.0336317e-05
969.508896, -0.1465245143, -2.031555628e-05
969.512992, -0.1465246686, -2.031407791e-05
969.529376, -0.1465227146, -2.030779208e-05
969.533472, -0.1465219691, -2.030618319e-05
969.742368, -0.146130172, -2.017326269e-05
969.746464, -0.1461160061, -2.016970359e-05
969.959456, -0.1450186459, -1.993322538e-05
969.963552, -0.1449914168, -1.992778092e-05
970.168352, -0.1432711024, -1.960471641e-05
970.172448, -0.1432309823, -1.959741962e-05
970.389536, -0.1407076478, -1.915521402e-05
970.393632, -0.140654714, -1.914609565e-05
970.614816, -0.137367432, -1.859439514e-05
970.618912, -0.1372997689, -1.858319608e-05
970.85648, -0.1329664771, -1.787861274e-05
970.860576, -0.1328869411, -1.7865777e-05
970.926112, -0.1315572839, -1.765247833e-05
970.930208, -0.131470739, -1.763865177e-05
971.28656, -0.1231722342, -1.633686115e-05
971.290656, -0.1230677882, -1.632061825e-05
971.61424, -0.1140931994, -1.494521567e-05
971.618336, -0.1139729595, -1.492688838e-05
971.905056, -0.1049965429, -1.357424354e-05
971.909152, -0.1048612748, -1.355395174e-05
972.257312, -0.09274739311, -1.175823641e-05
972.261408, -0.09259903765, -1.173633187e-05
972.580896, -0.08045489857, -9.961600289e-06
972.584992, -0.08029461346, -9.938247658e-06
972.892192, -0.06783000091, -8.138523276e-06
972.896288, -0.06765908789, -8.113908137e-06
973.31408, -0.04971516722, -5.557935657e-06
973.318176, -0.04953453357, -5.532269602e-06
974.39952, -0.0001958080329, 1.313252111e-06
974.403616, -4.410421965e-06, 1.339771049e-06
