time, angle, torque
1012.918304, -4.885092978e-05, 8.012826865e-06
1014.020128, 0.0508058097, 1.756948269e-05
1014.024224, 0.05099231852, 1.760494562e-05
1014.564896, 0.07531097635, 2.228500334e-05
1014.568992, 0.07549371075, 2.232072902e-05
1015.003168, 0.0945564913, 2.61076036e-05
1015.007264, 0.09473222006, 2.614252771e-05
1015.117856, 0.09951331048, 2.711083689e-05
1015.121952, 0.09969230337, 2.714774763e-05
1015.703584, 0.1241943439, 3.231355755e-05
1015.70768, 0.1243630794, 3.234975729e-05
1016.313888, 0.1486024677, 3.780328313e-05
1016.317984, 0.148762154, 3.783998981e-05
1016.809504, 0.1672771256, 4.227338446e-05
1016.8136, 0.1674271111, 4.2309757e-05
1017.317408, 0.1851983789, 4.683112248e-05
1017.321504, 0.1853404497, 4.686818002e-05
1017.89904, 0.2040653724, 5.195525564e-05
1017.903136, 0.2041920716, 5.19898305e-05
1018.525728, 0.2222019382, 5.720605699e-05
1018.529824, 0.2223147598, 5.723889046e-05
1019.12784, 0.237318877, 6.181089595e-05
1019.131936, 0.2374143162, 6.183935214e-05
1019.49648, 0.2454017726, 6.43129367e-05
1019.500576, 0.2454865967, 6.433853816e-05
1019.672608, 0.2489397116, 6.540376728e-05
1019.676704, 0.2490209672, 6.542884693e-05
1020.23376, 0.2587713915, 6.855448255e-05
1020.237856, 0.2588363434, 6.857409792e-05
1020.794912, 0.2663221016, 7.090293519e-05
1020.799008, 0.2663694475, 7.091577535e-05
1021.327392, 0.2713619713, 7.230804978e-05
1021.331488, 0.2713927898, 7.23141697e-05
1021.4216, 0.2720254183, 7.243553318e-05
1021.425696, 0.2720533548, 7.244058752e-05
1021.876256, 0.2743183793, 7.280004384e-05
1021.880352, 0.274332569, 7.279937977e-05
1022.306336, 0.2750459215, 7.252904233e-05
1022.310432, 0.2750465406, 7.252255918e-05
1022.433312, 0.2749923468, 7.230903712e-05
1022.437408, 0.2749901643, 7.230171379e-05
1022.982176, 0.2733482504, 7.091308298e-05
1022.986272, 0.2733280004, 7.089775944e-05
1023.518752, 0.2695446776, 6.862490221e-05
1023.522848, 0.2695067079, 6.860209016e-05
1023.543328, 0.2693180107, 6.84895912e-05
1023.547424, 0.2692815592, 6.846792444e-05
1024.10448, 0.2629395801, 6.516785292e-05
1024.108576, 0.2628849563, 6.513906999e-05
1024.669728, 0.2541767978, 6.099507309e-05
1024.673824, 0.2541055977, 6.096086535e-05
1025.202208, 0.2438681303, 5.643550059e-05
1025.206304, 0.2437810107, 5.639672228e-05
1025.74288, 0.2314031335, 5.130987115e-05
1025.746976, 0.2313000011, 5.126725247e-05
1026.074656, 0.2227958544, 4.793944451e-05
1026.078752, 0.2226862809, 4.789680276e-05
1026.422816, 0.2130488396, 4.43213166e-05
1026.426912, 0.2129292693, 4.427704151e-05
1027.01264, 0.1948571699, 3.808857228e-05
1027.016736, 0.1947253503, 3.804408705e-05
1027.631136, 0.1737153537, 3.146720443e-05
1027.635232, 0.1735692289, 3.142217647e-05
1028.286496, 0.1492696151, 2.45232674e-05
1028.290592, 0.1491120574, 2.447954687e-05
1028.859936, 0.1263694244, 1.857744483e-05
1028.864032, 0.1261999843, 1.853396706e-05
1028.986912, 0.1211311165, 1.726310042e-05
1028.991008, 0.1209622997, 1.722113484e-05
1029.564448, 0.09662682878, 1.152688406e-05
1029.568544, 0.09645040221, 1.148642622e-05
1030.260768, 0.06587260971, 4.905197632e-06
1030.264864, 0.06569001155, 4.866781688e-06
1030.940704, 0.03494812322, -1.307433524e-06
1030.9448, 0.03476096404, -1.344468347e-06
1031.694368, 9.819705713e-05, -7.977677408e-06
1031.698464, -9.057745134e-05, -8.013481771e-06
1032.759328, -0.04901409958, -1.7212578e-05
1032.763424, -0.04920125445, -1.724828284e-05
1033.304096, -0.07363549484, -2.195718161e-05
1033.308192, -0.07381959925, -2.199330938e-05
1033.68912, -0.09066458087, -2.533052461e-05
1033.693216, -0.09084633932, -2.536742594e-05
1033.865248, -0.09835653142, -2.68892585e-05
1033.869344, -0.09853406642, -2.69253517e-05
1034.434592, -0.1225472244, -3.198264209e-05
1034.438688, -0.1227185928, -3.201957974e-05
1035.036704, -0.1469233812, -3.745368934e-05
1035.0408, -0.147085702, -3.74910496e-05
1035.528224, -0.1657358993, -4.194760511e-05
1035.53232, -0.1658882508, -4.198447382e-05
1036.040224, -0.1841441745, -4.662578684e-05
1036.04432, -0.184286338, -4.666228575e-05
1036.593184, -0.2025200695, -5.160816951e-05
1036.59728, -0.2026491977, -5.164314203e-05
1037.21168, -0.221026924, -5.696773072e-05
1037.215776, -0.2211416694, -5.700069967e-05
1037.821984, -0.237000852, -6.186111071e-05
1037.82608, -0.2371000131, -6.189084286e-05
1038.149664, -0.2445847141, -6.422512284e-05
1038.15376, -0.2446772491, -6.425402797e-05
1038.383136, -0.2495413872, -6.578327233e-05
1038.387232, -0.249625389, -6.580931607e-05
1038.44048, -0.2507090709, -6.614830191e-05
1038.444576, -0.2507923446, -6.617443659e-05
1038.981152, -0.2605353325, -6.935634917e-05
1038.985248, -0.2606025169, -6.937701099e-05
1039.554592, -0.2686663508, -7.196737565e-05
1039.558688, -0.2687170646, -7.198199421e-05
1040.091168, -0.2740927829, -7.355776846e-05
1040.095264, -0.2741263685, -7.35652786e-05
1040.267296, -0.275407527, -7.385101093e-05
1040.271392, -0.2754347627, -7.385583109e-05
1040.623648, -0.2773452731, -7.419241138e-05
1040.627744, -0.2773634317, -7.419383236e-05
1040.910368, -0.2782056041, -7.415929702e-05
1040.914464, -0.2782148634, -7.415696833e-05
1041.160224, -0.2784478858, -7.390954371e-05
1041.16432, -0.2784480859, -7.390311397e-05
1041.197088, -0.278442435, -7.384899686e-05
1041.201184, -0.278442028, -7.384244975e-05
1041.75824, -0.2770922865, -7.257104764e-05
1041.762336, -0.2770743677, -7.255669401e-05
1042.04496, -0.2754794613, -7.147264969e-05
1042.049056, -0.2754523179, -7.145447537e-05
1042.339872, -0.2731732445, -7.008380501e-05
1042.343968, -0.2731378188, -7.006252781e-05
1042.581536, -0.270803886, -6.875115584e-05
1042.585632, -0.2707602492, -6.8726566e-05
1042.614304, -0.2704450756, -6.85500309e-05
1042.6184, -0.2704011495, -6.852553619e-05
1042.913312, -0.2668333757, -6.665895326e-05
1042.917408, -0.2667804485, -6.663116473e-05
1043.486752, -0.2580884178, -6.247276192e-05
1043.490848, -0.258018433, -6.243894178e-05
1043.789856, -0.252514863, -5.990334151e-05
1043.793952, -0.2524364402, -5.986723415e-05
1044.097056, -0.2462125066, -5.712394207e-05
1044.101152, -0.24612446, -5.708509049e-05
1044.650016, -0.2332567489, -5.18109408e-05
1044.654112, -0.2331524589, -5.176804263e-05
1045.006368, -0.2238502673, -4.814235099e-05
1045.010464, -0.2237387929, -4.809920585e-05
1045.309472, -0.2152353797, -4.493401276e-05
1045.313568, -0.2151149854, -4.488934227e-05
1045.899296, -0.1969038252, -3.862510376e-05
1045.903392, -0.196770052, -3.857962568e-05
1046.546464, -0.1745952995, -3.162622011e-05
1046.55056, -0.1744479177, -3.158082507e-05
1047.197728, -0.1500983032, -2.466057147e-05
1047.201824, -0.1499391231, -2.461631488e-05
1047.681056, -0.1307554627, -1.95877866e-05
1047.685152, -0.1305890892, -1.954506082e-05
1047.857184, -0.1234992531, -1.775836973e-05
1047.86128, -0.1233303676, -1.771626227e-05
1048.438816, -0.09877960615, -1.194800768e-05
1048.442912, -0.09860225996, -1.190709515e-05
1049.13104, -0.0681646795, -5.332485978e-06
1049.135136, -0.06798070354, -5.293456614e-06
1050.613792, -9.75846433e-05, 7.912293658e-06
