time, displacement, force
0.612384, 0, -2.857120959e-17
4.556832, 0, 1.791216434e-15
4.560928, 0, 1.791216434e-15
5.9208, 0, 2.397812315e-15
5.924896, 0, 2.397812315e-15
10.680352, 0, 4.824195839e-15
10.684448, 0, 4.824195839e-15
12.773408, 0, 6.037387601e-15
12.777504, -3.90625e-11, -7.90410871e-09
12.82256, -6.09765625e-08, -1.209759002e-05
12.826656, -7.28515625e-08, -1.44774442e-05
12.830752, -8.47265625e-08, -1.685166837e-05
12.834848, -9.66015625e-08, -1.922116157e-05
12.871712, -3.18125e-07, -6.301757293e-05
12.875808, -3.463671875e-07, -6.860987214e-05
12.908576, -6.699609375e-07, -0.0001321727557
12.912672, -7.14609375e-07, -0.0001409555342
12.94544, -1.178867188e-06, -0.0002315695158
12.949536, -1.243515625e-06, -0.000244220524
