time, angle, torque
1050.617888, 9.395505355e-05, 2.537149515e-05
1051.580448, 0.04442947504, 3.2083404e-05
1051.584544, 0.04461878187, 3.211253795e-05
1052.125216, 0.06905851267, 3.566732695e-05
1052.129312, 0.06924320162, 3.56945181e-05
1052.686368, 0.09380496086, 3.914378421e-05
1052.690464, 0.09398319798, 3.916896745e-05
1052.846112, 0.1007019053, 4.010549645e-05
1052.850208, 0.100876448, 4.012960567e-05
1053.259808, 0.1182112537, 4.249347283e-05
1053.263904, 0.1183813415, 4.251657735e-05
1053.86192, 0.1426279393, 4.573616456e-05
1053.866016, 0.1427901001, 4.575775866e-05
1054.341152, 0.1610216406, 4.812690274e-05
1054.345248, 0.1611750204, 4.814674787e-05
1054.849056, 0.1793601524, 5.045014639e-05
1054.853152, 0.1795035461, 5.046808405e-05
1055.39792, 0.1977056162, 5.269298011e-05
1055.402016, 0.197837078, 5.270857905e-05
1056.008224, 0.2161224714, 5.481018446e-05
1056.01232, 0.2162392857, 5.482272131e-05
1056.581664, 0.231359274, 5.63681631e-05
1056.58576, 0.2314618925, 5.63776154e-05
1057.114144, 0.2436165372, 5.738962142e-05
1057.11824, 0.243704302, 5.739547417e-05
1057.20016, 0.2454125553, 5.749965584e-05
1057.204256, 0.245497009, 5.750457207e-05
1057.601568, 0.2531594943, 5.789971067e-05
1057.605664, 0.2532318364, 5.790145459e-05
1058.170912, 0.2621680337, 5.798891786e-05
1058.175008, 0.2622248208, 5.798665226e-05
1058.6952, 0.2683926631, 5.751213529e-05
1058.699296, 0.2684331522, 5.750529249e-05
1058.916384, 0.2704096785, 5.711706615e-05
1058.92048, 0.2704428796, 5.710813041e-05
1059.252256, 0.2727654707, 5.633708533e-05
1059.256352, 0.272789506, 5.632572727e-05
1059.55536, 0.2741666676, 5.542767709e-05
1059.559456, 0.2741819377, 5.541394055e-05
1059.86256, 0.2748742272, 5.430833376e-05
1059.866656, 0.274879101, 5.429158198e-05
1060.010016, 0.2749589897, 5.368916294e-05
1060.014112, 0.2749595912, 5.367128405e-05
1060.165664, 0.2748703633, 5.298792616e-05
1060.16976, 0.2748664127, 5.296885014e-05
1060.47696, 0.2741395632, 5.146057208e-05
1060.481056, 0.2741253521, 5.143864062e-05
1060.792352, 0.2726527378, 4.971675137e-05
1060.796448, 0.2726288363, 4.969229107e-05
1061.103648, 0.2704474842, 4.780600008e-05
1061.107744, 0.270414628, 4.777937952e-05
1061.414944, 0.2675125521, 4.57160767e-05
1061.41904, 0.2674706878, 4.568737276e-05
1061.472288, 0.2669009305, 4.530742064e-05
1061.476384, 0.2668554632, 4.527756703e-05
1061.701664, 0.264178393, 4.362732243e-05
1061.70576, 0.264127397, 4.359647881e-05
1062.250528, 0.2561267837, 3.937733552e-05
1062.254624, 0.2560573495, 3.934222273e-05
1062.574112, 0.2503636743, 3.663138892e-05
1062.578208, 0.2502866013, 3.659526518e-05
1062.897696, 0.2438677387, 3.376135843e-05
1062.901792, 0.243780354, 3.372333204e-05
1063.172128, 0.2377950894, 3.123495111e-05
1063.176224, 0.2377009552, 3.119619447e-05
1063.54896, 0.2286284239, 2.76807908e-05
1063.553056, 0.2285252988, 2.764126461e-05
1063.888928, 0.2195963494, 2.439373984e-05
1063.893024, 0.2194844783, 2.435342852e-05
1064.212512, 0.2103097962, 2.120198196e-05
1064.216608, 0.2101891653, 2.116089669e-05
1064.79824, 0.1919605503, 1.544688683e-05
1064.802336, 0.1918257149, 1.540515307e-05
1065.424928, 0.1702750284, 9.286444594e-06
1065.429024, 0.1701286113, 9.245469494e-06
1066.076192, 0.1457153714, 2.972827422e-06
1066.080288, 0.1455566467, 2.932617184e-06
1066.407968, 0.1325022236, -2.382312559e-07
1066.412064, 0.1323352575, -2.78641401e-07
1066.690592, 0.1209201214, -2.93246002e-06
1066.694688, 0.1207505295, -2.971680031e-06
1067.264032, 0.09659572588, -8.161642173e-06
1067.268128, 0.0964190347, -8.199274033e-06
1067.960352, 0.06585673906, -1.417847694e-05
1067.964448, 0.06567366545, -1.421397715e-05
1068.644384, 0.03475657237, -1.976079965e-05
1068.64848, 0.03456915279, -1.97942394e-05
1069.393952, 0.0001120712753, -2.548169874e-05
1069.398048, -7.840186328e-05, -2.551321867e-05
1070.458912, -0.04898355276, -3.284653385e-05
1070.463008, -0.04917151005, -3.287504114e-05
1071.421472, -0.09207248792, -3.892162958e-05
1071.425568, -0.09225202721, -3.894718269e-05
1071.982624, -0.1161590511, -4.223277615e-05
1071.98672, -0.1163330611, -4.225704377e-05
1072.441376, -0.1351027533, -4.478799162e-05
1072.445472, -0.1352675779, -4.48100255e-05
1072.90832, -0.1535679711, -4.723297377e-05
1072.912416, -0.1537254636, -4.725360993e-05
1073.48176, -0.1749527363, -5.000205026e-05
1073.485856, -0.1751008842, -5.002112156e-05
1074.079776, -0.1955661726, -5.259314823e-05
1074.083872, -0.1957038138, -5.261054112e-05
1074.579488, -0.2112937303, -5.447242613e-05
1074.583584, -0.2114180803, -5.448688082e-05
1075.111968, -0.2264670358, -5.616503365e-05
1075.116064, -0.2265778086, -5.617651891e-05
1075.607584, -0.2389839349, -5.739077667e-05
1075.61168, -0.2390814223, -5.739917928e-05
1076.152352, -0.2508722683, -5.831326452e-05
1076.156448, -0.2509555142, -5.831829042e-05
1076.652064, -0.2599749663, -5.870813894e-05
1076.65616, -0.2600434621, -5.870928041e-05
1077.135392, -0.2670920885, -5.864864959e-05
1077.139488, -0.2671452385, -5.864548543e-05
1077.553184, -0.2718656579, -5.821296964e-05
1077.55728, -0.2719057217, -5.820609034e-05
1077.622816, -0.2725358742, -5.809558986e-05
1077.626912, -0.2725743779, -5.808835276e-05
1078.183968, -0.2766066177, -5.689110238e-05
1078.188064, -0.2766287705, -5.687929538e-05
1078.470688, -0.2777709459, -5.598245194e-05
1078.474784, -0.277784498, -5.596825028e-05
