time, angle, torque
975.21872, -5.049223178e-05, 2.499373503e-07
975.312928, 0.004272897754, 1.077635181e-06
975.317024, 0.004460188773, 1.113502353e-06
975.427616, 0.009561928587, 2.090721609e-06
975.431712, 0.009750607091, 2.126879839e-06
976.28368, 0.04878573157, 9.638782662e-06
976.287776, 0.04897503209, 9.675524896e-06
976.975904, 0.07979114017, 1.57022622e-05
976.98, 0.07997479967, 1.573858839e-05
977.692704, 0.1107507763, 2.188940582e-05
977.6968, 0.1109247128, 2.192468956e-05
978.348064, 0.1376634077, 2.740607874e-05
978.35216, 0.1378269711, 2.744012385e-05
978.995232, 0.1626119002, 3.265009126e-05
978.999328, 0.1627654517, 3.268287436e-05
979.585056, 0.1836964642, 3.718292403e-05
979.589152, 0.1838373293, 3.72136072e-05
980.158496, 0.2024792821, 4.129151128e-05
980.162592, 0.202607908, 4.131995542e-05
980.70736, 0.2187141769, 4.488362985e-05
980.711456, 0.2188297775, 4.490940555e-05
981.026848, 0.2273253839, 4.679963226e-05
981.030944, 0.2274312188, 4.682322628e-05
981.235744, 0.2326051424, 4.797506521e-05
981.23984, 0.2327074498, 4.799789262e-05
981.719072, 0.2437241289, 5.043691267e-05
981.723168, 0.2438119165, 5.045630768e-05
982.214688, 0.2534741335, 5.256728727e-05
982.218784, 0.2535480764, 5.258330987e-05
982.710304, 0.261485511, 5.427155134e-05
982.7144, 0.2615442038, 5.428377468e-05
983.20592, 0.2677009462, 5.552955323e-05
983.210016, 0.2677458589, 5.553832853e-05
983.689248, 0.2719959767, 5.631664515e-05
983.693344, 0.272025335, 5.632153392e-05
983.803936, 0.2727563517, 5.64383923e-05
983.808032, 0.2727793212, 5.64416743e-05
984.16848, 0.274501228, 5.666227831e-05
984.172576, 0.27451725, 5.666390622e-05
984.610848, 0.2752527702, 5.66037688e-05
984.614944, 0.275256311, 5.66023996e-05
984.651808, 0.2752471125, 5.657979205e-05
984.655904, 0.275248052, 5.657778203e-05
984.950816, 0.2748096807, 5.631401216e-05
984.954912, 0.2748003247, 5.630956672e-05
985.237536, 0.2737459396, 5.59092406e-05
985.241632, 0.2737265252, 5.590245261e-05
985.511968, 0.2721370308, 5.538707672e-05
985.516064, 0.2721111765, 5.537888654e-05
985.810976, 0.2697356164, 5.467408724e-05
985.815072, 0.2696980984, 5.466326197e-05
986.056736, 0.2672562436, 5.397747446e-05
986.060832, 0.267210382, 5.396483394e-05
986.097696, 0.2667981849, 5.385143357e-05
986.101792, 0.2667528748, 5.383896733e-05
986.396704, 0.2630833881, 5.285665617e-05
986.4008, 0.2630284433, 5.284215902e-05
986.695712, 0.2587093407, 5.172615132e-05
986.699808, 0.2586466993, 5.171013832e-05
986.998816, 0.2536177951, 5.044903471e-05
987.002912, 0.2535463409, 5.043129089e-05
987.310112, 0.2477110902, 4.900655729e-05
987.314208, 0.2476305397, 4.898707578e-05
987.592736, 0.2417648996, 4.7587533e-05
987.596832, 0.2416770109, 4.756672786e-05
988.198944, 0.2272132579, 4.422774987e-05
988.20304, 0.2271078997, 4.420382655e-05
988.522528, 0.218478262, 4.226694739e-05
988.526624, 0.2183650648, 4.224175352e-05
988.846112, 0.209104112, 4.020272467e-05
988.850208, 0.2089842403, 4.017654115e-05
989.464608, 0.1895052584, 3.600080423e-05
989.468704, 0.1893713691, 3.597250726e-05
989.992992, 0.1711475815, 3.217439683e-05
989.997088, 0.1710006497, 3.214411323e-05
990.545952, 0.1505012607, 2.797194597e-05
990.550048, 0.1503449592, 2.794045766e-05
990.808096, 0.1402540994, 2.591809681e-05
990.812192, 0.1400895517, 2.588526396e-05
991.1112, 0.1280654459, 2.34988947e-05
991.115296, 0.1278985027, 2.346591147e-05
991.754272, 0.1011490157, 1.82310461e-05
991.758368, 0.1009754478, 1.819732202e-05
992.262176, 0.07904423355, 1.395809804e-05
992.266272, 0.07886424633, 1.392343043e-05
992.888864, 0.05098627667, 8.572844002e-06
992.89296, 0.0508027064, 8.537655697e-06
993.994784, 0.000272948587, -1.157960628e-06
993.99888, 8.529119895e-05, -1.194230765e-06
994.773024, -0.03555950003, -8.131453315e-06
994.77712, -0.03574734659, -8.168434024e-06
995.518496, -0.06934957227, -1.485002398e-05
995.522592, -0.06953417454, -1.488730389e-05
995.833888, -0.0833582253, -1.769268559e-05
995.837984, -0.08354054396, -1.772996642e-05
996.218912, -0.100156621, -2.114817982e-05
996.223008, -0.100333417, -2.118490503e-05
996.870176, -0.1276047522, -2.690448546e-05
996.874272, -0.1277738698, -2.694056603e-05
997.492768, -0.1524608602, -3.224426971e-05
997.496864, -0.152619816, -3.227895942e-05
998.144032, -0.1767205918, -3.755838391e-05
