time, angle, torque
975.21872, -5.049223178e-05, 6.628973691e-06
975.312928, 0.004272897754, 7.378036797e-06
975.317024, 0.004460188773, 7.410474668e-06
975.427616, 0.009561928587, 8.285321975e-06
975.431712, 0.009750607091, 8.317684426e-06
976.28368, 0.04878573157, 1.44976623e-05
976.287776, 0.04897503209, 1.452800596e-05
976.975904, 0.07979114017, 1.914375164e-05
976.98, 0.07997479967, 1.917157363e-05
977.692704, 0.1107507763, 2.352767265e-05
977.6968, 0.1109247128, 2.355240921e-05
978.348064, 0.1376634077, 2.714231857e-05
978.35216, 0.1378269711, 2.716419407e-05
978.995232, 0.1626119002, 3.03095285e-05
978.999328, 0.1627654517, 3.032889909e-05
979.585056, 0.1836964642, 3.282900739e-05
979.589152, 0.1838373293, 3.284548926e-05
980.158496, 0.2024792821, 3.491862031e-05
980.162592, 0.202607908, 3.493248904e-05
980.70736, 0.2187141769, 3.656880493e-05
980.711456, 0.2188297775, 3.658000663e-05
981.026848, 0.2273253839, 3.736197961e-05
981.030944, 0.2274312188, 3.737116178e-05
981.235744, 0.2326051424, 3.78107481e-05
981.23984, 0.2327074498, 3.781932776e-05
981.719072, 0.2437241289, 3.865002332e-05
981.723168, 0.2438119165, 3.865570687e-05
982.214688, 0.2534741335, 3.92009017e-05
982.218784, 0.2535480764, 3.920394855e-05
982.710304, 0.261485511, 3.942950765e-05
982.7144, 0.2615442038, 3.942964385e-05
983.20592, 0.2677009462, 3.932961375e-05
983.210016, 0.2677458589, 3.932727766e-05
983.689248, 0.2719959767, 3.891308685e-05
983.693344, 0.272025335, 3.890788589e-05
983.803936, 0.2727563517, 3.875850571e-05
983.808032, 0.2727793212, 3.875197527e-05
984.16848, 0.274501228, 3.817120183e-05
984.172576, 0.27451725, 3.816377666e-05
984.610848, 0.2752527702, 3.723188965e-05
984.614944, 0.275256311, 3.722241308e-05
984.651808, 0.2752471125, 3.712778734e-05
984.655904, 0.275248052, 3.711777118e-05
984.950816, 0.2748096807, 3.632284113e-05
984.954912, 0.2748003247, 3.631104111e-05
985.237536, 0.2737459396, 3.544469978e-05
985.241632, 0.2737265252, 3.543118016e-05
985.511968, 0.2721370308, 3.450883075e-05
985.516064, 0.2721111765, 3.449446714e-05
985.810976, 0.2697356164, 3.339084365e-05
985.815072, 0.2696980984, 3.337447233e-05
986.056736, 0.2672562436, 3.239170032e-05
986.060832, 0.267210382, 3.237401473e-05
986.097696, 0.2667981849, 3.221590662e-05
986.101792, 0.2667528748, 3.219847451e-05
986.396704, 0.2630833881, 3.090371465e-05
986.4008, 0.2630284433, 3.088484384e-05
986.695712, 0.2587093407, 2.949904982e-05
986.699808, 0.2586466993, 2.947924236e-05
986.998816, 0.2536177951, 2.798772679e-05
987.002912, 0.2535463409, 2.796676809e-05
987.310112, 0.2477110902, 2.635016845e-05
987.314208, 0.2476305397, 2.632805826e-05
987.592736, 0.2417648996, 2.479049795e-05
987.596832, 0.2416770109, 2.476759444e-05
988.198944, 0.2272132579, 2.130649767e-05
988.20304, 0.2271078997, 2.128155089e-05
988.522528, 0.218478262, 1.93196024e-05
988.526624, 0.2183650648, 1.929398504e-05
988.846112, 0.209104112, 1.727695579e-05
988.850208, 0.2089842403, 1.72509585e-05
989.464608, 0.1895052584, 1.330347113e-05
989.468704, 0.1893713691, 1.327648637e-05
989.992992, 0.1711475815, 9.795885323e-06
989.997088, 0.1710006497, 9.767890272e-06
990.545952, 0.1505012607, 6.072443092e-06
990.550048, 0.1503449592, 6.044337323e-06
990.808096, 0.1402540994, 4.273373697e-06
990.812192, 0.1400895517, 4.244413871e-06
991.1112, 0.1280654459, 2.196944777e-06
991.115296, 0.1278985027, 2.168515175e-06
991.754272, 0.1011490157, -2.116876619e-06
991.758368, 0.1009754478, -2.144633234e-06
992.262176, 0.07904423355, -5.500891898e-06
992.266272, 0.07886424633, -5.528442142e-06
992.888864, 0.05098627667, -9.567266879e-06
992.89296, 0.0508027064, -9.593807698e-06
993.994784, 0.000272948587, -1.629358122e-05
993.99888, 8.529119895e-05, -1.631849053e-05
994.773024, -0.03555950003, -2.078447714e-05
994.77712, -0.03574734659, -2.080808874e-05
995.518496, -0.06934957227, -2.479868617e-05
995.522592, -0.06953417454, -2.48207261e-05
995.833888, -0.0833582253, -2.642250781e-05
995.837984, -0.08354054396, -2.644378888e-05
996.218912, -0.100156621, -2.831483538e-05
996.223008, -0.100333417, -2.833468184e-05
996.870176, -0.1276047522, -3.126835494e-05
996.874272, -0.1277738698, -3.128641959e-05
997.492768, -0.1524608602, -3.381207947e-05
997.496864, -0.152619816, -3.3828056e-05
998.144032, -0.1767205918, -3.615185302e-05
998.148128, -0.176868507, -3.616579678e-05
998.717472, -0.1963817352, -3.791462859e-05
998.721568, -0.1965173455, -3.792634973e-05
999.3032, -0.2146298632, -3.940476227e-05
999.307296, -0.2147518834, -3.941410385e-05
999.696416, -0.2257545558, -4.020845645e-05
999.700512, -0.2258658199, -4.021587467e-05
999.819296, -0.2290350172, -4.042223676e-05
999.823392, -0.2291431749, -4.04291315e-05
1000.372256, -0.2425971337, -4.121604263e-05
1000.376352, -0.2426904428, -4.122036741e-05
1000.892448, -0.2534923187, -4.16479829e-05
1000.896544, -0.2535711934, -4.164984058e-05
1001.41264, -0.2624934136, -4.176160272e-05
1001.416736, -0.2625575447, -4.176096457e-05
1001.920544, -0.2693912205, -4.155322204e-05
1001.92464, -0.2694401846, -4.155000054e-05
1002.444832, -0.2745017945, -4.100321384e-05
1002.448928, -0.2745342314, -4.099715421e-05
1002.756128, -0.2765519998, -4.049545967e-05
1002.760224, -0.276574379, -4.048770013e-05
1002.952736, -0.2774670983, -4.010625551e-05
1002.956832, -0.2774833972, -4.009751124e-05
1003.456544, -0.2784550908, -3.893080158e-05
1003.46064, -0.278457008, -3.891981504e-05
1003.980832, -0.2774152461, -3.737911943e-05
1003.984928, -0.2773991709, -3.736513235e-05
1004.501024, -0.2743024187, -3.551583737e-05
1004.50512, -0.2742708717, -3.549954673e-05
1005.021216, -0.2691411852, -3.334864377e-05
1005.025312, -0.2690931951, -3.332991697e-05
1005.049888, -0.2687986502, -3.321641319e-05
1005.053984, -0.2687489167, -3.319735849e-05
1005.533216, -0.2620997938, -3.093141892e-05
1005.537312, -0.2620358277, -3.091046235e-05
1006.049312, -0.2530826405, -2.825411163e-05
1006.053408, -0.2530047386, -2.82315196e-05
1006.598176, -0.2414534216, -2.516885535e-05
1006.602272, -0.2413605209, -2.514458914e-05
1007.138848, -0.2280378991, -2.19192588e-05
1007.142944, -0.2279293718, -2.189326065e-05
1007.704096, -0.2120482809, -1.83452845e-05
1007.708192, -0.2119264412, -1.831825814e-05
1008.257056, -0.1946016546, -1.470994675e-05
1008.261152, -0.1944662425, -1.468186827e-05
1008.86736, -0.1734450165, -1.059893895e-05
1008.871456, -0.1732989124, -1.057068242e-05
1009.448992, -0.1516280827, -6.615816333e-06
1009.453088, -0.1514707097, -6.587170465e-06
1009.944608, -0.1319152931, -3.194078159e-06
1009.948704, -0.1317495715, -3.16536281e-06
1010.133024, -0.1241827161, -1.876691167e-06
1010.13712, -0.1240146451, -1.848129172e-06
1010.784288, -0.09656708799, 2.543862477e-06
1010.788384, -0.09639033482, 2.572156456e-06
1011.480608, -0.0658112779, 7.168226849e-06
1011.484704, -0.06562850245, 7.195713981e-06
1012.295712, -0.02874366243, 1.236924345e-05
1012.299808, -0.02855566656, 1.239571316e-05
1012.914208, -0.0002396370412, 1.617647684e-05
