time, angle, torque
975.21872, -5.049223178e-05, 1.745953218e-06
975.312928, 0.004272897754, 2.600571153e-06
975.317024, 0.004460188773, 2.637415066e-06
975.427616, 0.009561928587, 3.56269735e-06
975.431712, 0.009750607091, 3.596791196e-06
976.28368, 0.04878573157, 8.646182058e-06
976.287776, 0.04897503209, 8.671204581e-06
976.975904, 0.07979114017, 1.211366968e-05
976.98, 0.07997479967, 1.213472655e-05
977.692704, 0.1107507763, 1.540816562e-05
977.6968, 0.1109247128, 1.542686257e-05
978.348064, 0.1376634077, 1.830878778e-05
978.35216, 0.1378269711, 1.832634469e-05
978.995232, 0.1626119002, 2.111765761e-05
978.999328, 0.1627654517, 2.113497182e-05
979.585056, 0.1836964642, 2.362033269e-05
979.589152, 0.1838373293, 2.363675872e-05
980.158496, 0.2024792821, 2.597396084e-05
980.162592, 0.202607908, 2.598971481e-05
980.70736, 0.2187141769, 2.810813687e-05
980.711456, 0.2188297775, 2.812284969e-05
981.026848, 0.2273253839, 2.925347251e-05
981.030944, 0.2274312188, 2.926694815e-05
981.235744, 0.2326051424, 2.996020529e-05
981.23984, 0.2327074498, 2.997387852e-05
981.719072, 0.2437241289, 3.152778431e-05
981.723168, 0.2438119165, 3.153919954e-05
982.214688, 0.2534741335, 3.290767545e-05
982.218784, 0.2535480764, 3.291700871e-05
982.710304, 0.261485511, 3.401265143e-05
982.7144, 0.2615442038, 3.401924729e-05
983.20592, 0.2677009462, 3.480340267e-05
983.210016, 0.2677458589, 3.480768095e-05
983.689248, 0.2719959767, 3.523998641e-05
983.693344, 0.272025335, 3.52411126e-05
983.803936, 0.2727563517, 3.52687345e-05
983.808032, 0.2727793212, 3.526822338e-05
984.16848, 0.274501228, 3.529232828e-05
984.172576, 0.27451725, 3.529127927e-05
984.610848, 0.2752527702, 3.506321974e-05
984.614944, 0.275256311, 3.50598298e-05
984.651808, 0.2752471125, 3.501593515e-05
984.655904, 0.275248052, 3.501184078e-05
984.950816, 0.2748096807, 3.465007592e-05
984.954912, 0.2748003247, 3.464382342e-05
985.237536, 0.2737459396, 3.417211418e-05
985.241632, 0.2737265252, 3.416372495e-05
985.511968, 0.2721370308, 3.359931337e-05
985.516064, 0.2721111765, 3.359012733e-05
985.810976, 0.2697356164, 3.285806085e-05
985.815072, 0.2696980984, 3.284623471e-05
986.056736, 0.2672562436, 3.214920097e-05
986.060832, 0.267210382, 3.213576763e-05
986.097696, 0.2667981849, 3.201742144e-05
986.101792, 0.2667528748, 3.20044934e-05
986.396704, 0.2630833881, 3.104543536e-05
986.4008, 0.2630284433, 3.103073269e-05
986.695712, 0.2587093407, 2.996336329e-05
986.699808, 0.2586466993, 2.994769098e-05
986.998816, 0.2536177951, 2.87661944e-05
987.002912, 0.2535463409, 2.874923881e-05
987.310112, 0.2477110902, 2.744265949e-05
987.314208, 0.2476305397, 2.74244528e-05
987.592736, 0.2417648996, 2.616324955e-05
987.596832, 0.2416770109, 2.614434252e-05
988.198944, 0.2272132579, 2.329855653e-05
988.20304, 0.2271078997, 2.327732524e-05
988.522528, 0.218478262, 2.163924407e-05
988.526624, 0.2183650648, 2.161772194e-05
988.846112, 0.209104112, 1.99482462e-05
988.850208, 0.2089842403, 1.992683828e-05
989.464608, 0.1895052584, 1.671937962e-05
989.468704, 0.1893713691, 1.669744941e-05
989.992992, 0.1711475815, 1.391637608e-05
989.997088, 0.1710006497, 1.38939015e-05
990.545952, 0.1505012607, 1.101621475e-05
990.550048, 0.1503449592, 1.099443967e-05
990.808096, 0.1402540994, 9.63884706e-06
990.812192, 0.1400895517, 9.616360809e-06
991.1112, 0.1280654459, 8.080878301e-06
991.115296, 0.1278985027, 8.059560183e-06
991.754272, 0.1011490157, 4.923768148e-06
991.758368, 0.1009754478, 4.9037475e-06
992.262176, 0.07904423355, 2.49982225e-06
992.266272, 0.07886424633, 2.48025228e-06
992.888864, 0.05098627667, -3.721795583e-07
992.89296, 0.0508027064, -3.905941424e-07
993.994784, 0.000272948587, -5.185133818e-06
993.99888, 8.529119895e-05, -5.202718136e-06
994.773024, -0.03555950003, -8.496473597e-06
994.77712, -0.03574734659, -8.513915906e-06
995.518496, -0.06934957227, -1.163973181e-05
995.522592, -0.06953417454, -1.165719791e-05
995.833888, -0.0833582253, -1.296372377e-05
995.837984, -0.08354054396, -1.298130652e-05
996.218912, -0.100156621, -1.459033052e-05
996.223008, -0.100333417, -1.460748367e-05
996.870176, -0.1276047522, -1.737775006e-05
996.874272, -0.1277738698, -1.73950298e-05
997.492768, -0.1524608602, -2.005622679e-05
997.496864, -0.152619816, -2.007330047e-05
998.144032, -0.1767205918, -2.285528248e-05
998.148128, -0.176868507, -2.287234044e-05
998.717472, -0.1963817352, -2.526651038e-05
998.721568, -0.1965173455, -2.528296535e-05
999.3032, -0.2146298632, -2.764142076e-05
999.307296, -0.2147518834, -2.765691326e-05
999.696416, -0.2257545558, -2.912964717e-05
999.700512, -0.2258658199, -2.914403894e-05
999.819296, -0.2290350172, -2.956311071e-05
999.823392, -0.2291431749, -2.95773196e-05
1000.372256, -0.2425971337, -3.14914885e-05
1000.376352, -0.2426904428, -3.15037687e-05
1000.892448, -0.2534923187, -3.305574832e-05
1000.896544, -0.2535711934, -3.306595206e-05
1001.41264, -0.2624934136, -3.433228274e-05
1001.416736, -0.2625575447, -3.434012839e-05
1001.920544, -0.2693912205, -3.525279401e-05
1001.92464, -0.2694401846, -3.525790111e-05
1002.444832, -0.2745017945, -3.583117075e-05
1002.448928, -0.2745342314, -3.583294899e-05
1002.756128, -0.2765519998, -3.594934482e-05
1002.760224, -0.276574379, -3.594920035e-05
1002.952736, -0.2774670983, -3.593938453e-05
1002.956832, -0.2774833972, -3.593816494e-05
1003.456544, -0.2784550908, -3.57228374e-05
1003.46064, -0.278457008, -3.571875258e-05
1003.980832, -0.2774152461, -3.506514864e-05
1003.984928, -0.2773991709, -3.505698342e-05
1004.501024, -0.2743024187, -3.398454218e-05
1004.50512, -0.2742708717, -3.397341355e-05
1005.021216, -0.2691411852, -3.25083164e-05
1005.025312, -0.2690931951, -3.249404672e-05
1005.049888, -0.2687986502, -3.240711082e-05
1005.053984, -0.2687489167, -3.239241721e-05
1005.533216, -0.2620997938, -3.069622934e-05
1005.537312, -0.2620358277, -3.067925898e-05
1006.049312, -0.2530826405, -2.858625793e-05
1006.053408, -0.2530047386, -2.856751004e-05
1006.598176, -0.2414534216, -2.607719783e-05
1006.602272, -0.2413605209, -2.605673525e-05
1007.138848, -0.2280378991, -2.339641531e-05
1007.142944, -0.2279293718, -2.337425822e-05
1007.704096, -0.2120482809, -2.045277587e-05
1007.708192, -0.2119264412, -2.043009724e-05
1008.257056, -0.1946016546, -1.749453892e-05
1008.261152, -0.1944662425, -1.747133016e-05
1008.86736, -0.1734450165, -1.4222428e-05
1008.871456, -0.1732989124, -1.419999611e-05
1009.448992, -0.1516280827, -1.113707964e-05
1009.453088, -0.1514707097, -1.11149981e-05
1009.944608, -0.1319152931, -8.559531351e-06
1009.948704, -0.1317495715, -8.538038226e-06
1010.133024, -0.1241827161, -7.582312064e-06
1010.13712, -0.1240146451, -7.561334313e-06
1010.784288, -0.09656708799, -4.386806992e-06
1010.788384, -0.09639033482, -4.366525768e-06
1011.480608, -0.0658112779, -1.115571264e-06
1011.484704, -0.06562850245, -1.096370598e-06
1012.295712, -0.02874366243, 2.532523682e-06
1012.299808, -0.02855566656, 2.550967656e-06
1012.914208, -0.0002396370412, 5.2161551e-06
