time, angle, torque
917.85424, -6.365538058e-05, -9.824708471e-09
918.669344, 0.03672803455, 4.86713402e-06
918.67344, 0.03690738202, 4.891050254e-06
919.275552, 0.06209773616, 7.896843553e-06
919.279648, 0.06226119378, 7.916342746e-06
919.566368, 0.0733134031, 9.157956288e-06
919.570464, 0.07346763676, 9.175244518e-06
919.848992, 0.08348128254, 1.022595163e-05
919.853088, 0.08362339684, 1.024068131e-05
919.975968, 0.08778714933, 1.065808764e-05
919.980064, 0.08792459473, 1.067182525e-05
920.111136, 0.09218851703, 1.108099653e-05
920.115232, 0.09231933934, 1.109342431e-05
920.377376, 0.1002453602, 1.178891381e-05
920.381472, 0.1003647714, 1.179911897e-05
920.63952, 0.1073485862, 1.23347219e-05
920.643616, 0.1074534805, 1.234227307e-05
920.901664, 0.1135693942, 1.272628292e-05
920.90576, 0.1136600594, 1.273132557e-05
921.159712, 0.1187853151, 1.295929477e-05
921.163808, 0.1188632715, 1.296219715e-05
921.405472, 0.122882222, 1.30403139e-05
921.409568, 0.1229446494, 1.30406764e-05
921.651232, 0.1261004913, 1.298458553e-05
921.655328, 0.1261470965, 1.298245577e-05
921.901088, 0.1284485411, 1.278998206e-05
921.905184, 0.1284805937, 1.278569568e-05
922.146848, 0.1298342245, 1.246606869e-05
922.150944, 0.1298509247, 1.245958719e-05
922.392608, 0.130295211, 1.201578519e-05
922.396704, 0.130296229, 1.200716095e-05
922.4008, 0.1302957657, 1.199828864e-05
922.683424, 0.1296424325, 1.133116211e-05
922.68752, 0.129624371, 1.132005119e-05
922.978336, 0.1276573953, 1.047743044e-05
922.982432, 0.1276218348, 1.046427585e-05
923.265056, 0.1244716067, 9.505303551e-06
923.269152, 0.1244174914, 9.490044346e-06
923.56816, 0.1197881366, 8.343992574e-06
923.572256, 0.1197167565, 8.327052748e-06
923.871264, 0.1137999995, 7.061147746e-06
923.87536, 0.1137112128, 7.042635348e-06
924.010528, 0.1106277476, 6.425629815e-06
924.014624, 0.1105307816, 6.406416454e-06
924.170272, 0.1066737446, 5.674050923e-06
924.174368, 0.1065687412, 5.654278341e-06
924.493856, 0.0976814269, 4.109071872e-06
924.497952, 0.09756013568, 4.088201672e-06
924.809248, 0.08772992521, 2.511591126e-06
924.813344, 0.08759332739, 2.489805435e-06
925.067296, 0.07879720046, 1.160289222e-06
925.071392, 0.07864981189, 1.138059271e-06
925.354016, 0.06811806308, -3.622358142e-07
925.358112, 0.06796209038, -3.844274929e-07
925.665312, 0.05574077089, -2.024767913e-06
925.669408, 0.05557366795, -2.047235666e-06
925.96432, 0.0432031689, -3.621339834e-06
925.968416, 0.04302849875, -3.643626817e-06
926.53776, 0.01784478104, -6.546474303e-06
926.541856, 0.01765978881, -6.56801838e-06
926.922784, 0.0002243484562, -8.464067364e-06
926.92688, 3.695869056e-05, -8.484533405e-06
927.844384, -0.04195605267, -1.240346616e-05
927.84848, -0.04213933749, -1.242064591e-05
928.19664, -0.05744827887, -1.37562169e-05
928.200736, -0.05762486572, -1.3771503e-05
928.548896, -0.07226098327, -1.494443468e-05
928.552992, -0.07243206617, -1.495822181e-05
928.860192, -0.08462481607, -1.584590105e-05
928.864288, -0.08478453869, -1.585739055e-05
929.1592, -0.0957250474, -1.656578512e-05
929.163296, -0.09587273001, -1.657500475e-05
929.413152, -0.1044744098, -1.705858391e-05
929.417248, -0.1046092812, -1.706551674e-05
929.462304, -0.1060919294, -1.714158416e-05
929.4664, -0.1062262199, -1.714842963e-05
929.744928, -0.1148566983, -1.752790897e-05
929.749024, -0.114980477, -1.753303727e-05
930.01936, -0.122465524, -1.776067016e-05
930.023456, -0.1225723137, -1.776300632e-05
930.2856, -0.1289335137, -1.784774744e-05
930.289696, -0.1290269474, -1.784806488e-05
930.539552, -0.1342181111, -1.780091564e-05
930.543648, -0.1342960953, -1.779890711e-05
930.801696, -0.1387246072, -1.761902657e-05
930.805792, -0.1387884258, -1.761505142e-05
931.047456, -0.1420447493, -1.732388868e-05
931.051552, -0.142095114, -1.73181341e-05
931.313696, -0.1446296225, -1.687273683e-05
931.317792, -0.1446622676, -1.686457107e-05
931.522592, -0.1459069428, -1.641914056e-05
931.526688, -0.1459234346, -1.640875286e-05
931.559456, -0.1460617412, -1.632778463e-05
931.563552, -0.1460784879, -1.631758828e-05
931.805216, -0.1465671439, -1.567651041e-05
931.809312, -0.1465702482, -1.566478095e-05
931.8216, -0.1465697788, -1.562795358e-05
931.825696, -0.1465694841, -1.561567268e-05
932.10832, -0.1459147063, -1.472960638e-05
932.112416, -0.1458971134, -1.471540211e-05
932.403232, -0.1439303186, -1.366458965e-05
932.407328, -0.1438936051, -1.364829961e-05
932.694048, -0.1406893099, -1.248461847e-05
932.698144, -0.1406347581, -1.246658286e-05
932.993056, -0.1360594109, -1.115333878e-05
932.997152, -0.1359876432, -1.113382593e-05
933.189664, -0.1323199874, -1.020981571e-05
933.19376, -0.1322364339, -1.018932572e-05
933.287968, -0.1302490269, -9.717646374e-06
933.292064, -0.13016179, -9.697065373e-06
933.607456, -0.1226254824, -8.09301853e-06
933.611552, -0.1225196712, -8.071037511e-06
933.918752, -0.1139495818, -6.432314633e-06
933.922848, -0.1138280043, -6.409436776e-06
934.23824, -0.1038608542, -4.671206084e-06
934.242336, -0.1037250067, -4.647761748e-06
934.500384, -0.09476989238, -3.189208642e-06
934.50448, -0.09462340478, -3.165487738e-06
934.787104, -0.08407215254, -1.555856291e-06
934.7912, -0.083916303, -1.532175846e-06
935.086112, -0.07217551945, 1.499329646e-07
935.090208, -0.07201183013, 1.733079044e-07
935.38512, -0.0596485419, 1.844211298e-06
935.389216, -0.05947415089, 1.867784431e-06
935.946272, -0.03485488673, 4.872739321e-06
935.950368, -0.03466985958, 4.895471345e-06
936.699936, -0.0002233027445, 8.598505412e-06
