time, angle, torque
1012.918304, -4.885092978e-05, 4.840906912e-06
1014.020128, 0.0508058097, 1.392287958e-05
1014.024224, 0.05099231852, 1.395734988e-05
1014.564896, 0.07531097635, 1.854020042e-05
1014.568992, 0.07549371075, 1.857573746e-05
1015.003168, 0.0945564913, 2.236797e-05
1015.007264, 0.09473222006, 2.240399082e-05
1015.117856, 0.09951331048, 2.33919001e-05
1015.121952, 0.09969230337, 2.342924786e-05
1015.703584, 0.1241943439, 2.874115395e-05
1015.70768, 0.1243630794, 2.87795543e-05
1016.313888, 0.1486024677, 3.455890408e-05
1016.317984, 0.148762154, 3.459910862e-05
1016.809504, 0.1672771256, 3.944761807e-05
1016.8136, 0.1674271111, 3.948867913e-05
1017.317408, 0.1851983789, 4.455474161e-05
1017.321504, 0.1853404497, 4.459714558e-05
1017.89904, 0.2040653724, 5.043046202e-05
1017.903136, 0.2041920716, 5.047185644e-05
1018.525728, 0.2222019382, 5.661517974e-05
1018.529824, 0.2223147598, 5.665550707e-05
1019.12784, 0.237318877, 6.2201748e-05
1019.131936, 0.2374143162, 6.223832577e-05
1019.49648, 0.2454017726, 6.53520537e-05
1019.500576, 0.2454865967, 6.538570288e-05
1019.672608, 0.2489397116, 6.676510335e-05
1019.676704, 0.2490209672, 6.679786224e-05
1020.23376, 0.2587713915, 7.07880666e-05
1020.237856, 0.2588363434, 7.08150828e-05
1020.794912, 0.2663221016, 7.393029513e-05
1020.799008, 0.2663694475, 7.39499357e-05
1021.327392, 0.2713619713, 7.597739146e-05
1021.331488, 0.2713927898, 7.598936397e-05
1021.4216, 0.2720254183, 7.623067264e-05
1021.425696, 0.2720533548, 7.624125097e-05
1021.876256, 0.2743183793, 7.701155571e-05
1021.880352, 0.274332569, 7.701531914e-05
1022.306336, 0.2750459215, 7.702608128e-05
1022.310432, 0.2750465406, 7.702295848e-05
1022.433312, 0.2749923468, 7.689268206e-05
1022.437408, 0.2749901643, 7.688814866e-05
1022.982176, 0.2733482504, 7.561222816e-05
1022.986272, 0.2733280004, 7.559860429e-05
1023.518752, 0.2695446776, 7.328200054e-05
1023.522848, 0.2695067079, 7.325986822e-05
1023.543328, 0.2693180107, 7.314989306e-05
1023.547424, 0.2692815592, 7.312856033e-05
1024.10448, 0.2629395801, 6.961668656e-05
1024.108576, 0.2628849563, 6.958737673e-05
1024.669728, 0.2541767978, 6.511002043e-05
1024.673824, 0.2541055977, 6.507450691e-05
1025.202208, 0.2438681303, 6.016763243e-05
1025.206304, 0.2437810107, 6.012717466e-05
1025.74288, 0.2314031335, 5.461748769e-05
1025.746976, 0.2313000011, 5.457320314e-05
1026.074656, 0.2227958544, 5.101939654e-05
1026.078752, 0.2226862809, 5.097466013e-05
1026.422816, 0.2130488396, 4.715854133e-05
1026.426912, 0.2129292693, 4.711242514e-05
1027.01264, 0.1948571699, 4.051145749e-05
1027.016736, 0.1947253503, 4.046552528e-05
1027.631136, 0.1737153537, 3.357620506e-05
1027.635232, 0.1735692289, 3.353074601e-05
1028.286496, 0.1492696151, 2.645485298e-05
1028.290592, 0.1491120574, 2.641150914e-05
1028.859936, 0.1263694244, 2.05051921e-05
1028.864032, 0.1261999843, 2.046327208e-05
1028.986912, 0.1211311165, 1.922458882e-05
1028.991008, 0.1209622997, 1.918376362e-05
1029.564448, 0.09662682878, 1.361001217e-05
1029.568544, 0.09645040221, 1.35713331e-05
1030.260768, 0.06587260971, 7.242817388e-06
1030.264864, 0.06569001155, 7.206595676e-06
1030.940704, 0.03494812322, 1.365530033e-06
1030.9448, 0.03476096404, 1.330896219e-06
1031.694368, 9.819705713e-05, -4.90519689e-06
1031.698464, -9.057745134e-05, -4.938900429e-06
1032.759328, -0.04901409958, -1.366488375e-05
1032.763424, -0.04920125445, -1.369935851e-05
1033.304096, -0.07363549484, -1.828565639e-05
1033.308192, -0.07381959925, -1.832130416e-05
1033.68912, -0.09066458087, -2.164616786e-05
1033.693216, -0.09084633932, -2.168304739e-05
1033.865248, -0.09835653142, -2.322183178e-05
1033.869344, -0.09853406642, -2.325868488e-05
1034.434592, -0.1225472244, -2.843801039e-05
1034.438688, -0.1227185928, -2.847677771e-05
1035.036704, -0.1469233812, -3.420881431e-05
1035.0408, -0.147085702, -3.42494002e-05
1035.528224, -0.1657358993, -3.909939859e-05
1035.53232, -0.1658882508, -3.914082153e-05
1036.040224, -0.1841441745, -4.431593067e-05
1036.04432, -0.184286338, -4.435810299e-05
1036.593184, -0.2025200695, -5.00075669e-05
1036.59728, -0.2026491977, -5.004944324e-05
1037.21168, -0.221026924, -5.628566941e-05
1037.215776, -0.2211416694, -5.632644376e-05
1037.821984, -0.237000852, -6.2182703e-05
1037.82608, -0.2371000131, -6.222075047e-05
1038.149664, -0.2445847141, -6.514254963e-05
1038.15376, -0.2446772491, -6.517939598e-05
1038.383136, -0.2495413872, -6.713107376e-05
1038.387232, -0.249625389, -6.716514728e-05
1038.44048, -0.2507090709, -6.760587269e-05
1038.444576, -0.2507923446, -6.763985449e-05
1038.981152, -0.2605353325, -7.168241026e-05
1038.985248, -0.2606025169, -7.17107412e-05
1039.554592, -0.2686663508, -7.513122163e-05
1039.558688, -0.2687170646, -7.515279622e-05
1040.091168, -0.2740927829, -7.739880189e-05
1040.095264, -0.2741263685, -7.741238005e-05
1040.267296, -0.275407527, -7.791974483e-05
1040.271392, -0.2754347627, -7.79301829e-05
1040.623648, -0.2773452731, -7.861601224e-05
1040.627744, -0.2773634317, -7.862192101e-05
1040.910368, -0.2782056041, -7.882018264e-05
1040.914464, -0.2782148634, -7.882152061e-05
1041.160224, -0.2784478858, -7.873606e-05
1041.16432, -0.2784480859, -7.873269374e-05
1041.197088, -0.278442435, -7.870201928e-05
