time, angle, torque
975.21872, -5.049223178e-05, 2.673426297e-06
975.312928, 0.004272897754, 3.111756449e-06
975.317024, 0.004460188773, 3.130756623e-06
975.427616, 0.009561928587, 3.645958032e-06
975.431712, 0.009750607091, 3.66503066e-06
976.28368, 0.04878573157, 7.46795122e-06
976.287776, 0.04897503209, 7.486644777e-06
976.975904, 0.07979114017, 1.043335704e-05
976.98, 0.07997479967, 1.04511412e-05
977.692704, 0.1107507763, 1.332297328e-05
977.6968, 0.1109247128, 1.333936151e-05
978.348064, 0.1376634077, 1.576410165e-05
978.35216, 0.1378269711, 1.577898455e-05
978.995232, 0.1626119002, 1.793766455e-05
978.999328, 0.1627654517, 1.795102998e-05
979.585056, 0.1836964642, 1.968085189e-05
979.589152, 0.1838373293, 1.969235758e-05
980.158496, 0.2024792821, 2.112725361e-05
980.162592, 0.202607908, 2.113694192e-05
980.70736, 0.2187141769, 2.226266366e-05
980.711456, 0.2188297775, 2.227045587e-05
981.026848, 0.2273253839, 2.28087821e-05
981.030944, 0.2274312188, 2.281520481e-05
981.235744, 0.2326051424, 2.31177716e-05
981.23984, 0.2327074498, 2.312367473e-05
981.719072, 0.2437241289, 2.367885581e-05
981.723168, 0.2438119165, 2.368278055e-05
982.214688, 0.2534741335, 2.403701547e-05
982.218784, 0.2535480764, 2.40391187e-05
982.710304, 0.261485511, 2.417664232e-05
982.7144, 0.2615442038, 2.417683333e-05
983.20592, 0.2677009462, 2.410192753e-05
983.210016, 0.2677458589, 2.410049862e-05
983.689248, 0.2719959767, 2.382981058e-05
983.693344, 0.272025335, 2.382663954e-05
983.803936, 0.2727563517, 2.373487604e-05
983.808032, 0.2727793212, 2.373096896e-05
984.16848, 0.274501228, 2.336910167e-05
984.172576, 0.27451725, 2.336457726e-05
984.610848, 0.2752527702, 2.279276786e-05
984.614944, 0.275256311, 2.278706366e-05
984.651808, 0.2752471125, 2.273093097e-05
984.655904, 0.275248052, 2.272494345e-05
984.950816, 0.2748096807, 2.224960611e-05
984.954912, 0.2748003247, 2.22426514e-05
985.237536, 0.2737459396, 2.173077644e-05
985.241632, 0.2737265252, 2.172291043e-05
985.511968, 0.2721370308, 2.118384015e-05
985.516064, 0.2721111765, 2.117551231e-05
985.810976, 0.2697356164, 2.053634394e-05
985.815072, 0.2696980984, 2.052699438e-05
986.056736, 0.2672562436, 1.996365e-05
986.060832, 0.267210382, 1.995363403e-05
986.097696, 0.2667981849, 1.986392835e-05
986.101792, 0.2667528748, 1.98540314e-05
986.396704, 0.2630833881, 1.91173147e-05
986.4008, 0.2630284433, 1.910669444e-05
986.695712, 0.2587093407, 1.832414684e-05
986.699808, 0.2586466993, 1.831305032e-05
986.998816, 0.2536177951, 1.747605317e-05
987.002912, 0.2535463409, 1.746437638e-05
987.310112, 0.2477110902, 1.656165701e-05
987.314208, 0.2476305397, 1.654939571e-05
987.592736, 0.2417648996, 1.569444258e-05
987.596832, 0.2416770109, 1.568176422e-05
988.198944, 0.2272132579, 1.374931671e-05
988.20304, 0.2271078997, 1.373555904e-05
988.522528, 0.218478262, 1.264628127e-05
988.526624, 0.2183650648, 1.263211621e-05
988.846112, 0.209104112, 1.150877763e-05
988.850208, 0.2089842403, 1.149432186e-05
989.464608, 0.1895052584, 9.265052001e-06
989.468704, 0.1893713691, 9.249862295e-06
989.992992, 0.1711475815, 7.259296188e-06
989.997088, 0.1710006497, 7.243321718e-06
990.545952, 0.1505012607, 5.087594692e-06
990.550048, 0.1503449592, 5.071177751e-06
990.808096, 0.1402540994, 4.026135357e-06
990.812192, 0.1400895517, 4.00909026e-06
991.1112, 0.1280654459, 2.782214769e-06
991.115296, 0.1278985027, 2.76515816e-06
991.754272, 0.1011490157, 1.112088864e-07
991.758368, 0.1009754478, 9.388431145e-08
992.262176, 0.07904423355, -2.051204639e-06
992.266272, 0.07886424633, -2.068935555e-06
992.888864, 0.05098627667, -4.750918879e-06
992.89296, 0.0508027064, -4.768765504e-06
993.994784, 0.000272948587, -9.486526832e-06
993.99888, 8.529119895e-05, -9.504445368e-06
994.773024, -0.03555950003, -1.280353623e-05
994.77712, -0.03574734659, -1.282121287e-05
995.518496, -0.06934957227, -1.586876551e-05
995.522592, -0.06953417454, -1.588575598e-05
995.833888, -0.0833582253, -1.713216631e-05
995.837984, -0.08354054396, -1.714872558e-05
996.218912, -0.100156621, -1.861677607e-05
996.223008, -0.100333417, -1.863244712e-05
996.870176, -0.1276047522, -2.093840768e-05
996.874272, -0.1277738698, -2.095271708e-05
997.492768, -0.1524608602, -2.292637663e-05
997.496864, -0.152619816, -2.293895966e-05
998.144032, -0.1767205918, -2.4716141e-05
998.148128, -0.176868507, -2.472683769e-05
998.717472, -0.1963817352, -2.602230106e-05
998.721568, -0.1965173455, -2.603099975e-05
999.3032, -0.2146298632, -2.7070911e-05
999.307296, -0.2147518834, -2.707748048e-05
999.696416, -0.2257545558, -2.760887172e-05
999.700512, -0.2258658199, -2.761383246e-05
999.819296, -0.2290350172, -2.774902622e-05
999.823392, -0.2291431749, -2.775353089e-05
1000.372256, -0.2425971337, -2.820774369e-05
1000.376352, -0.2426904428, -2.821014338e-05
1000.892448, -0.2534923187, -2.839006738e-05
1000.896544, -0.2535711934, -2.839055054e-05
1001.41264, -0.2624934136, -2.833502547e-05
1001.416736, -0.2625575447, -2.833368414e-05
1001.920544, -0.2693912205, -2.805989267e-05
1001.92464, -0.2694401846, -2.805680456e-05
1002.444832, -0.2745017945, -2.755870721e-05
1002.448928, -0.2745342314, -2.755384782e-05
1002.756128, -0.2765519998, -2.715532681e-05
1002.760224, -0.276574379, -2.714946074e-05
1002.952736, -0.2774670983, -2.686190208e-05
1002.956832, -0.2774833972, -2.685546725e-05
1003.456544, -0.2784550908, -2.600334345e-05
1003.46064, -0.278457008, -2.599567705e-05
1003.980832, -0.2774152461, -2.493671687e-05
1003.984928, -0.2773991709, -2.492751207e-05
1004.501024, -0.2743024187, -2.371770402e-05
1004.50512, -0.2742708717, -2.370738867e-05
1005.021216, -0.2691411852, -2.235491791e-05
1005.025312, -0.2690931951, -2.234347129e-05
1005.049888, -0.2687986502, -2.227421607e-05
1005.053984, -0.2687489167, -2.226261061e-05
1005.533216, -0.2620997938, -2.088441353e-05
1005.537312, -0.2620358277, -2.087196072e-05
1006.049312, -0.2530826405, -1.929400238e-05
1006.053408, -0.2530047386, -1.928083993e-05
1006.598176, -0.2414534216, -1.749576093e-05
1006.602272, -0.2413605209, -1.748185362e-05
1007.138848, -0.2280378991, -1.562740243e-05
1007.142944, -0.2279293718, -1.561268078e-05
1007.704096, -0.2120482809, -1.358571083e-05
1007.708192, -0.2119264412, -1.357045158e-05
1008.257056, -0.1946016546, -1.150965364e-05
1008.261152, -0.1944662425, -1.149377104e-05
