time, angle, torque
1050.617888, 9.395505355e-05, 1.495099559e-05
1051.580448, 0.04442947504, 2.120445719e-05
1051.584544, 0.04461878187, 2.123130236e-05
1052.125216, 0.06905851267, 2.451433467e-05
1052.129312, 0.06924320162, 2.453907845e-05
1052.686368, 0.09380496086, 2.768004808e-05
1052.690464, 0.09398319798, 2.770243617e-05
1052.846112, 0.1007019053, 2.853465103e-05
1052.850208, 0.100876448, 2.855586777e-05
1053.259808, 0.1182112537, 3.063973067e-05
1053.263904, 0.1183813415, 3.06595921e-05
1053.86192, 0.1426279393, 3.342319528e-05
1053.866016, 0.1427901001, 3.344096401e-05
1054.341152, 0.1610216406, 3.538463176e-05
1054.345248, 0.1611750204, 3.540027834e-05
1054.849056, 0.1793601524, 3.721220443e-05
1054.853152, 0.1795035461, 3.722565023e-05
1055.39792, 0.1977056162, 3.889206046e-05
1055.402016, 0.197837078, 3.890305757e-05
1056.008224, 0.2161224714, 4.039011358e-05
1056.01232, 0.2162392857, 4.039828496e-05
1056.581664, 0.231359274, 4.142042021e-05
1056.58576, 0.2314618925, 4.142610387e-05
1057.114144, 0.2436165372, 4.20506906e-05
1057.11824, 0.243704302, 4.205381785e-05
1057.20016, 0.2454125553, 4.210871881e-05
1057.204256, 0.245497009, 4.211122741e-05
1057.601568, 0.2531594943, 4.232898822e-05
1057.605664, 0.2532318364, 4.232948444e-05
1058.170912, 0.2621680337, 4.235971629e-05
1058.175008, 0.2622248208, 4.235789481e-05
1058.6952, 0.2683926631, 4.206452725e-05
1058.699296, 0.2684331522, 4.206018229e-05
1058.916384, 0.2704096785, 4.182580882e-05
1058.92048, 0.2704428796, 4.182036883e-05
1059.252256, 0.2727654707, 4.137664849e-05
1059.256352, 0.272789506, 4.137004158e-05
1059.55536, 0.2741666676, 4.08654266e-05
1059.559456, 0.2741819377, 4.085766024e-05
1059.86256, 0.2748742272, 4.024755017e-05
1059.866656, 0.274879101, 4.023822726e-05
1060.010016, 0.2749589897, 3.990650239e-05
1060.014112, 0.2749595912, 3.989663751e-05
1060.165664, 0.2748703633, 3.952295743e-05
1060.16976, 0.2748664127, 3.951250893e-05
1060.47696, 0.2741395632, 3.869824343e-05
1060.481056, 0.2741253521, 3.868630784e-05
1060.792352, 0.2726527378, 3.776038324e-05
1060.796448, 0.2726288363, 3.774711726e-05
1061.103648, 0.2704474842, 3.673271439e-05
1061.107744, 0.270414628, 3.67182906e-05
1061.414944, 0.2675125521, 3.560499989e-05
1061.41904, 0.2674706878, 3.558940088e-05
1061.472288, 0.2669009305, 3.538270088e-05
1061.476384, 0.2668554632, 3.536641109e-05
1061.701664, 0.264178393, 3.446867946e-05
1061.70576, 0.264127397, 3.445180236e-05
1062.250528, 0.2561267837, 3.21394856e-05
1062.254624, 0.2560573495, 3.211980888e-05
1062.574112, 0.2503636743, 3.059958188e-05
1062.578208, 0.2502866013, 3.057907481e-05
1062.897696, 0.2438677387, 2.896224014e-05
1062.901792, 0.243780354, 2.894022807e-05
1063.172128, 0.2377950894, 2.749378258e-05
1063.176224, 0.2377009552, 2.747098184e-05
1063.54896, 0.2286284239, 2.538435904e-05
1063.553056, 0.2285252988, 2.536051286e-05
1063.888928, 0.2195963494, 2.338103784e-05
1063.893024, 0.2194844783, 2.33560808e-05
1064.212512, 0.2103097962, 2.138331526e-05
1064.216608, 0.2101891653, 2.135718655e-05
1064.79824, 0.1919605503, 1.764942254e-05
1064.802336, 0.1918257149, 1.762149472e-05
1065.424928, 0.1702750284, 1.34336157e-05
1065.429024, 0.1701286113, 1.340466317e-05
1066.076192, 0.1457153714, 8.858309754e-06
1066.080288, 0.1455566467, 8.828212132e-06
1066.407968, 0.1325022236, 6.424991203e-06
1066.412064, 0.1323352575, 6.39382593e-06
1066.690592, 0.1209201214, 4.330653961e-06
1066.694688, 0.1207505295, 4.299765617e-06
1067.264032, 0.09659572588, 1.301511481e-07
1067.268128, 0.0964190347, 9.920062727e-08
1067.960352, 0.06585673906, -4.934966005e-06
1067.964448, 0.06567366545, -4.965521297e-06
1068.644384, 0.03475657237, -9.840038688e-06
1068.64848, 0.03456915279, -9.869835998e-06
1069.393952, 0.0001120712753, -1.50374179e-05
1069.398048, -7.840186328e-05, -1.506621314e-05
1070.458912, -0.04898355276, -2.189764245e-05
1070.463008, -0.04917151005, -2.192379379e-05
1071.421472, -0.09207248792, -2.750285646e-05
1071.425568, -0.09225202721, -2.752556145e-05
1071.982624, -0.1161590511, -3.044312412e-05
1071.98672, -0.1163330611, -3.046404811e-05
1072.441376, -0.1351027533, -3.263833088e-05
1072.445472, -0.1352675779, -3.265664253e-05
1072.90832, -0.1535679711, -3.466938841e-05
1072.912416, -0.1537254636, -3.468588075e-05
1073.48176, -0.1749527363, -3.687754346e-05
1073.485856, -0.1751008842, -3.689198357e-05
1074.079776, -0.1955661726, -3.8831414e-05
1074.083872, -0.1957038138, -3.884380812e-05
1074.579488, -0.2112937303, -4.016121731e-05
1074.583584, -0.2114180803, -4.017085537e-05
1075.111968, -0.2264670358, -4.12944624e-05
1075.116064, -0.2265778086, -4.130155109e-05
1075.607584, -0.2389839349, -4.206254083e-05
1075.61168, -0.2390814223, -4.20672943e-05
1076.152352, -0.2508722683, -4.260259943e-05
1076.156448, -0.2509555142, -4.260506195e-05
1076.652064, -0.2599749663, -4.280072701e-05
1076.65616, -0.2600434621, -4.280079185e-05
1077.135392, -0.2670920885, -4.272907311e-05
1077.139488, -0.2671452385, -4.272665342e-05
1077.553184, -0.2718656579, -4.245012416e-05
1077.55728, -0.2719057217, -4.244570975e-05
1077.622816, -0.2725358742, -4.23760362e-05
1077.626912, -0.2725743779, -4.237147858e-05
1078.183968, -0.2766066177, -4.168719716e-05
1078.188064, -0.2766287705, -4.168032932e-05
1078.470688, -0.2777709459, -4.11746576e-05
1078.474784, -0.277784498, -4.11666287e-05
1078.761504, -0.2783132523, -4.056642915e-05
1078.7656, -0.2783163768, -4.055678898e-05
1078.851616, -0.2783497158, -4.03526155e-05
1078.855712, -0.2783500168, -4.034259627e-05
1079.044128, -0.2782197354, -3.987554917e-05
1079.048224, -0.27821508, -3.986498169e-05
1079.334944, -0.2774948758, -3.909428822e-05
1079.33904, -0.2774809121, -3.908241114e-05
1079.904288, -0.2742174713, -3.736310531e-05
1079.908384, -0.2741856763, -3.734868188e-05
1080.207392, -0.2714761878, -3.627332958e-05
1080.211488, -0.2714351571, -3.625766085e-05
1080.256544, -0.2709693782, -3.608348792e-05
1080.26064, -0.2709268308, -3.606762127e-05
1080.490016, -0.2683030971, -3.516316915e-05
1080.494112, -0.268253666, -3.514640242e-05
1081.03888, -0.2604669182, -3.285243932e-05
1081.042976, -0.2604001751, -3.28331734e-05
1081.350176, -0.2550624156, -3.138376619e-05
1081.354272, -0.2549872868, -3.136345783e-05
1081.649184, -0.249225233, -2.988572362e-05
1081.65328, -0.2491420228, -2.986439546e-05
1082.222624, -0.2363227686, -2.684819863e-05
1082.22672, -0.2362229434, -2.682453302e-05
1082.796064, -0.2212705782, -2.352969199e-05
1082.80016, -0.221155709, -2.35040413e-05
1083.418656, -0.2026420846, -1.96521833e-05
1083.422752, -0.202512488, -1.962473487e-05
1083.770912, -0.1911195679, -1.730194799e-05
1083.775008, -0.1909843099, -1.727419997e-05
1084.123168, -0.1789370548, -1.488229333e-05
1084.127264, -0.1787934073, -1.485354434e-05
1084.803104, -0.1537159545, -1.014481657e-05
1084.8072, -0.1535574932, -1.011434895e-05
1085.556768, -0.1234611728, -4.730738048e-06
1085.560864, -0.1232925901, -4.699981784e-06
1085.823008, -0.1122725713, -2.733625933e-06
1085.827104, -0.1120991632, -2.702495492e-06
1086.273568, -0.09286867071, 6.038358747e-07
1086.277664, -0.09269182721, 6.343938899e-07
1087.105056, -0.05575256145, 6.610775818e-06
1087.109152, -0.05556729456, 6.641191142e-06
1088.313376, -0.0001166828484, 1.495761505e-05
1088.317472, 7.616716537e-05, 1.498726127e-05
