time, angle, torque
1050.617888, 9.395505355e-05, 6.753688103e-07
1051.580448, 0.04442947504, 1.911409021e-06
1051.584544, 0.04461878187, 1.916852941e-06
1052.125216, 0.06905851267, 2.627453071e-06
1052.129312, 0.06924320162, 2.632941512e-06
1052.686368, 0.09380496086, 3.371825113e-06
1052.690464, 0.09398319798, 3.377318838e-06
1052.846112, 0.1007019053, 3.585125687e-06
1052.850208, 0.100876448, 3.590560034e-06
1053.259808, 0.1182112537, 4.135143369e-06
1053.263904, 0.1183813415, 4.140584256e-06
1053.86192, 0.1426279393, 4.923919766e-06
1053.866016, 0.1427901001, 4.929295648e-06
1054.341152, 0.1610216406, 5.535998621e-06
1054.345248, 0.1611750204, 5.541198285e-06
1054.849056, 0.1793601524, 6.157390004e-06
1054.853152, 0.1795035461, 6.162329361e-06
1055.39792, 0.1977056162, 6.784823061e-06
1055.402016, 0.197837078, 6.789374532e-06
1056.008224, 0.2161224714, 7.411096231e-06
1056.01232, 0.2162392857, 7.415083419e-06
1056.581664, 0.231359274, 7.915882881e-06
1056.58576, 0.2314618925, 7.919258047e-06
1057.114144, 0.2436165372, 8.301195865e-06
1057.11824, 0.243704302, 8.303885892e-06
1057.20016, 0.2454125553, 8.355407469e-06
1057.204256, 0.245497009, 8.357941824e-06
1057.601568, 0.2531594943, 8.576965589e-06
1057.605664, 0.2532318364, 8.578920949e-06
1058.170912, 0.2621680337, 8.796886334e-06
1058.175008, 0.2622248208, 8.798092592e-06
1058.6952, 0.2683926631, 8.902091113e-06
1058.699296, 0.2684331522, 8.902528601e-06
1058.916384, 0.2704096785, 8.918082743e-06
1058.92048, 0.2704428796, 8.918183778e-06
1059.252256, 0.2727654707, 8.91064291e-06
1059.256352, 0.272789506, 8.91033792e-06
1059.55536, 0.2741666676, 8.872087548e-06
1059.559456, 0.2741819377, 8.871398867e-06
1059.86256, 0.2748742272, 8.80290572e-06
1059.866656, 0.274879101, 8.801781462e-06
1060.010016, 0.2749589897, 8.758978533e-06
1060.014112, 0.2749595912, 8.757684134e-06
1060.165664, 0.2748703633, 8.705571832e-06
1060.16976, 0.2748664127, 8.704100378e-06
1060.47696, 0.2741395632, 8.578277491e-06
1060.481056, 0.2741253521, 8.576414231e-06
1060.792352, 0.2726527378, 8.422074802e-06
1060.796448, 0.2726288363, 8.419864885e-06
1061.103648, 0.2704474842, 8.242473027e-06
1061.107744, 0.270414628, 8.239971151e-06
1061.414944, 0.2675125521, 8.039347466e-06
1061.41904, 0.2674706878, 8.03657009e-06
1061.472288, 0.2669009305, 7.999570713e-06
1061.476384, 0.2668554632, 7.996662035e-06
1061.701664, 0.264178393, 7.832755266e-06
1061.70576, 0.264127397, 7.829706741e-06
1062.250528, 0.2561267837, 7.395464521e-06
1062.254624, 0.2560573495, 7.391903109e-06
1062.574112, 0.2503636743, 7.111116467e-06
1062.578208, 0.2502866013, 7.107410119e-06
1062.897696, 0.2438677387, 6.810774511e-06
1062.901792, 0.243780354, 6.806834911e-06
1063.172128, 0.2377950894, 6.544641075e-06
1063.176224, 0.2377009552, 6.540591972e-06
1063.54896, 0.2286284239, 6.164997827e-06
1063.553056, 0.2285252988, 6.160820693e-06
1063.888928, 0.2195963494, 5.810732878e-06
1063.893024, 0.2194844783, 5.806428064e-06
1064.212512, 0.2103097962, 5.46343742e-06
1064.216608, 0.2101891653, 5.459004821e-06
1064.79824, 0.1919605503, 4.819218619e-06
1064.802336, 0.1918257149, 4.814621038e-06
1065.424928, 0.1702750284, 4.110214483e-06
1065.429024, 0.1701286113, 4.105555053e-06
1066.076192, 0.1457153714, 3.357214373e-06
1066.080288, 0.1455566467, 3.352460534e-06
1066.407968, 0.1325022236, 2.967720335e-06
1066.412064, 0.1323352575, 2.96285019e-06
1066.690592, 0.1209201214, 2.63375302e-06
1066.694688, 0.1207505295, 2.628899914e-06
1067.264032, 0.09659572588, 1.951341637e-06
1067.268128, 0.0964190347, 1.946437154e-06
1067.960352, 0.06585673906, 1.111758283e-06
1067.964448, 0.06567366545, 1.106782681e-06
1068.644384, 0.03475657237, 2.724267232e-07
1068.64848, 0.03456915279, 2.673498736e-07
1069.393952, 0.0001120712753, -6.673845804e-07
1069.398048, -7.840186328e-05, -6.726234793e-07
1070.458912, -0.04898355276, -2.03719841e-06
1070.463008, -0.04917151005, -2.042628084e-06
1071.421472, -0.09207248792, -3.307391262e-06
1071.425568, -0.09225202721, -3.312902366e-06
1071.982624, -0.1161590511, -4.05557947e-06
1071.98672, -0.1163330611, -4.061125253e-06
1072.441376, -0.1351027533, -4.663940672e-06
1072.445472, -0.1352675779, -4.669338649e-06
1072.90832, -0.1535679711, -5.272544186e-06
1072.912416, -0.1537254636, -5.277832816e-06
1073.48176, -0.1749527363, -5.992739444e-06
1073.485856, -0.1751008842, -5.997832894e-06
1074.079776, -0.1955661726, -6.697737024e-06
1074.083872, -0.1957038138, -6.702532664e-06
1074.579488, -0.2112937303, -7.237343079e-06
1074.583584, -0.2114180803, -7.241644222e-06
1075.111968, -0.2264670358, -7.750353311e-06
1075.116064, -0.2265778086, -7.754092932e-06
1075.607584, -0.2389839349, -8.159398323e-06
