time, angle, torque
1050.617888, 9.395505355e-05, 2.654834048e-05
1051.580448, 0.04442947504, 3.677074663e-05
1051.584544, 0.04461878187, 3.681556587e-05
1052.125216, 0.06905851267, 4.248589747e-05
1052.129312, 0.06924320162, 4.252988721e-05
1052.686368, 0.09380496086, 4.835066371e-05
1052.690464, 0.09398319798, 4.83942194e-05
1052.846112, 0.1007019053, 5.003676043e-05
1052.850208, 0.100876448, 5.007959387e-05
1053.259808, 0.1182112537, 5.44002923e-05
1053.263904, 0.1183813415, 5.444368767e-05
1053.86192, 0.1426279393, 6.079081283e-05
1053.866016, 0.1427901001, 6.083513163e-05
1054.341152, 0.1610216406, 6.592405621e-05
1054.345248, 0.1611750204, 6.596833736e-05
1054.849056, 0.1793601524, 7.136020636e-05
1054.853152, 0.1795035461, 7.140419101e-05
1055.39792, 0.1977056162, 7.715637785e-05
1055.402016, 0.197837078, 7.719925286e-05
1056.008224, 0.2161224714, 8.334810728e-05
1056.01232, 0.2162392857, 8.338834123e-05
1056.581664, 0.231359274, 8.871131237e-05
1056.58576, 0.2314618925, 8.874789511e-05
1057.114144, 0.2436165372, 9.310638218e-05
1057.11824, 0.243704302, 9.313750909e-05
1057.20016, 0.2454125553, 9.373637793e-05
1057.204256, 0.245497009, 9.376591042e-05
1057.601568, 0.2531594943, 9.64481618e-05
1057.605664, 0.2532318364, 9.647209695e-05
1058.170912, 0.2621680337, 9.936974698e-05
1058.175008, 0.2622248208, 9.938587546e-05
1058.6952, 0.2683926631, 0.0001009310613
1058.699296, 0.2684331522, 0.0001009376654
1058.916384, 0.2704096785, 0.000101205415
1058.92048, 0.2704428796, 0.0001012074947
1059.252256, 0.2727654707, 0.0001012003903
1059.256352, 0.272789506, 0.0001011968664
1059.55536, 0.2741666676, 0.0001007332976
1059.559456, 0.2741819377, 0.0001007242261
1059.86256, 0.2748742272, 9.980164453e-05
1059.866656, 0.274879101, 9.978572511e-05
1060.010016, 0.2749589897, 9.917841658e-05
1060.014112, 0.2749595912, 9.915977641e-05
1060.165664, 0.2748703633, 9.840669324e-05
1060.16976, 0.2748664127, 9.838516472e-05
1060.47696, 0.2741395632, 9.653357258e-05
1060.481056, 0.2741253521, 9.650541621e-05
1060.792352, 0.2726527378, 9.416847085e-05
1060.796448, 0.2726288363, 9.413431401e-05
1061.103648, 0.2704474842, 9.138574847e-05
1061.107744, 0.270414628, 9.134636681e-05
1061.414944, 0.2675125521, 8.818086267e-05
1061.41904, 0.2674706878, 8.813649851e-05
1061.472288, 0.2669009305, 8.754451184e-05
1061.476384, 0.2668554632, 8.749781284e-05
1061.701664, 0.264178393, 8.486911306e-05
1061.70576, 0.264127397, 8.48198522e-05
1062.250528, 0.2561267837, 7.781816116e-05
1062.254624, 0.2560573495, 7.775972776e-05
1062.574112, 0.2503636743, 7.318013514e-05
1062.578208, 0.2502866013, 7.311927725e-05
1062.897696, 0.2438677387, 6.827923134e-05
1062.901792, 0.243780354, 6.821458046e-05
1063.172128, 0.2377950894, 6.394519771e-05
1063.176224, 0.2377009552, 6.387906728e-05
1063.54896, 0.2286284239, 5.781828739e-05
1063.553056, 0.2285252988, 5.775080467e-05
1063.888928, 0.2195963494, 5.216621251e-05
1063.893024, 0.2194844783, 5.209759126e-05
1064.212512, 0.2103097962, 4.670620647e-05
1064.216608, 0.2101891653, 4.663667408e-05
1064.79824, 0.1919605503, 3.691166683e-05
1064.802336, 0.1918257149, 3.6842238e-05
1065.424928, 0.1702750284, 2.663818671e-05
1065.429024, 0.1701286113, 2.657158776e-05
1066.076192, 0.1457153714, 1.638835516e-05
1066.080288, 0.1455566467, 1.632485873e-05
1066.407968, 0.1325022236, 1.132495555e-05
1066.412064, 0.1323352575, 1.126219442e-05
1066.690592, 0.1209201214, 7.137933565e-06
1066.694688, 0.1207505295, 7.07768772e-06
1067.264032, 0.09659572588, -8.87718675e-07
1067.268128, 0.0964190347, -9.44201581e-07
1067.960352, 0.06585673906, -9.927028014e-06
1067.964448, 0.06567366545, -9.979197568e-06
1068.644384, 0.03475657237, -1.817682569e-05
1068.64848, 0.03456915279, -1.822554267e-05
