time, angle, torque
1012.918304, -4.885092978e-05, 3.657094824e-06
1014.020128, 0.0508058097, 1.218811136e-05
1014.024224, 0.05099231852, 1.221958308e-05
1014.564896, 0.07531097635, 1.634823833e-05
1014.568992, 0.07549371075, 1.637950892e-05
1015.003168, 0.0945564913, 1.966847276e-05
1015.007264, 0.09473222006, 1.969877342e-05
1015.117856, 0.09951331048, 2.05317216e-05
1015.121952, 0.09969230337, 2.05632143e-05
1015.703584, 0.1241943439, 2.492265129e-05
1015.70768, 0.1243630794, 2.495292158e-05
1016.313888, 0.1486024677, 2.941440941e-05
1016.317984, 0.148762154, 2.944410531e-05
1016.809504, 0.1672771256, 3.296555426e-05
1016.8136, 0.1674271111, 3.299423364e-05
1017.317408, 0.1851983789, 3.648585875e-05
1017.321504, 0.1853404497, 3.651413234e-05
1017.89904, 0.2040653724, 4.032657912e-05
1017.903136, 0.2041920716, 4.035236045e-05
1018.525728, 0.2222019382, 4.414875531e-05
1018.529824, 0.2223147598, 4.417252047e-05
1019.12784, 0.237318877, 4.742134622e-05
1019.131936, 0.2374143162, 4.744163982e-05
1019.49648, 0.2454017726, 4.91812166e-05
1019.500576, 0.2454865967, 4.919933613e-05
1019.672608, 0.2489397116, 4.994748135e-05
1019.676704, 0.2490209672, 4.996507603e-05
1020.23376, 0.2587713915, 5.212698671e-05
1020.237856, 0.2588363434, 5.214077981e-05
1020.794912, 0.2663221016, 5.376130372e-05
1020.799008, 0.2663694475, 5.377064625e-05
1021.327392, 0.2713619713, 5.477460298e-05
1021.331488, 0.2713927898, 5.477963931e-05
1021.4216, 0.2720254183, 5.488116723e-05
1021.425696, 0.2720533548, 5.488550901e-05
1021.876256, 0.2743183793, 5.521610471e-05
1021.880352, 0.274332569, 5.521682811e-05
1022.306336, 0.2750459215, 5.514635551e-05
1022.310432, 0.2750465406, 5.51434352e-05
1022.433312, 0.2749923468, 5.504202144e-05
1022.437408, 0.2749901643, 5.50385196e-05
1022.982176, 0.2733482504, 5.428647305e-05
1022.986272, 0.2733280004, 5.427799181e-05
1023.518752, 0.2695446776, 5.296428857e-05
1023.522848, 0.2695067079, 5.295107126e-05
1023.543328, 0.2693180107, 5.288579407e-05
1023.547424, 0.2692815592, 5.287321689e-05
1024.10448, 0.2629395801, 5.089874436e-05
1024.108576, 0.2628849563, 5.088153508e-05
1024.669728, 0.2541767978, 4.833896154e-05
1024.673824, 0.2541055977, 4.831797315e-05
1025.202208, 0.2438681303, 4.547645343e-05
1025.206304, 0.2437810107, 4.545208871e-05
1025.74288, 0.2314031335, 4.217891063e-05
1025.746976, 0.2313000011, 4.215145592e-05
1026.074656, 0.2227958544, 3.997134414e-05
1026.078752, 0.2226862809, 3.994331995e-05
1026.422816, 0.2130488396, 3.755602063e-05
1026.426912, 0.2129292693, 3.752639032e-05
1027.01264, 0.1948571699, 3.327068908e-05
1027.016736, 0.1947253503, 3.323986541e-05
1027.631136, 0.1737153537, 2.855442736e-05
1027.635232, 0.1735692289, 2.852208659e-05
1028.286496, 0.1492696151, 2.340741892e-05
1028.290592, 0.1491120574, 2.337465028e-05
1028.859936, 0.1263694244, 1.882887171e-05
1028.864032, 0.1261999843, 1.879517593e-05
1028.986912, 0.1211311165, 1.780098057e-05
1028.991008, 0.1209622997, 1.776802795e-05
1029.564448, 0.09662682878, 1.3179101e-05
1029.568544, 0.09645040221, 1.314617823e-05
1030.260768, 0.06587260971, 7.637197524e-06
1030.264864, 0.06569001155, 7.604682807e-06
1030.940704, 0.03494812322, 2.265935355e-06
1030.9448, 0.03476096404, 2.233673958e-06
1031.694368, 9.819705713e-05, -3.636324936e-06
1031.698464, -9.057745134e-05, -3.668150898e-06
1032.759328, -0.04901409958, -1.187814289e-05
1032.763424, -0.04920125445, -1.190978341e-05
1033.304096, -0.07363549484, -1.606145436e-05
1033.308192, -0.07381959925, -1.609302643e-05
1033.68912, -0.09066458087, -1.899545286e-05
1033.693216, -0.09084633932, -1.902717741e-05
1033.865248, -0.09835653142, -2.033620533e-05
1033.869344, -0.09853406642, -2.036719464e-05
1034.434592, -0.1225472244, -2.463749355e-05
1034.438688, -0.1227185928, -2.46683248e-05
1035.036704, -0.1469233812, -2.911882349e-05
1035.0408, -0.147085702, -2.914904046e-05
1035.528224, -0.1657358993, -3.269278431e-05
1035.53232, -0.1658882508, -3.272188773e-05
1036.040224, -0.1841441745, -3.630805723e-05
1036.04432, -0.184286338, -3.633607638e-05
1036.593184, -0.2025200695, -4.004602755e-05
1036.59728, -0.2026491977, -4.007218827e-05
1037.21168, -0.221026924, -4.394849285e-05
1037.215776, -0.2211416694, -4.397246919e-05
1037.821984, -0.237000852, -4.742008706e-05
1037.82608, -0.2371000131, -4.74412485e-05
1038.149664, -0.2445847141, -4.907904717e-05
1038.15376, -0.2446772491, -4.909927763e-05
1038.383136, -0.2495413872, -5.016645938e-05
1038.387232, -0.249625389, -5.018469211e-05
1038.44048, -0.2507090709, -5.042128751e-05
1038.444576, -0.2507923446, -5.043950046e-05
1038.981152, -0.2605353325, -5.262479704e-05
1038.985248, -0.2606025169, -5.263922021e-05
1039.554592, -0.2686663508, -5.442036885e-05
1039.558688, -0.2687170646, -5.443075978e-05
1040.091168, -0.2740927829, -5.554502532e-05
1040.095264, -0.2741263685, -5.555088778e-05
1040.267296, -0.275407527, -5.577453147e-05
1040.271392, -0.2754347627, -5.577870161e-05
