time, angle, torque
955.553824, -1.967678897e-05, 9.443527432e-08
956.127264, 0.02615170928, 4.522024721e-06
956.13136, 0.02633579002, 4.553376582e-06
956.54096, 0.04428261641, 7.634116085e-06
956.545056, 0.04446009326, 7.664884468e-06
956.835872, 0.05661371881, 9.788822398e-06
956.839968, 0.05678212192, 9.818519779e-06
957.15536, 0.06926263575, 1.204198447e-05
957.159456, 0.06941974193, 1.207029048e-05
957.478944, 0.08117325351, 1.421211577e-05
957.48304, 0.08131887808, 1.423898129e-05
957.745184, 0.09018382422, 1.589022967e-05
957.74928, 0.09031753451, 1.591539103e-05
958.044192, 0.09939729152, 1.764239881e-05
958.048288, 0.09951870901, 1.766575398e-05
958.269472, 0.1056349714, 1.885125786e-05
958.273568, 0.1057425448, 1.88722754e-05
958.277664, 0.1058494959, 1.889317668e-05
958.28176, 0.1059558281, 1.891396213e-05
958.56848, 0.1128981403, 2.028310209e-05
958.572576, 0.1129893047, 2.030124703e-05
958.81424, 0.11799485, 2.130395924e-05
958.818336, 0.1180718384, 2.131948187e-05
959.10096, 0.1228474127, 2.228787111e-05
959.105056, 0.122908909, 2.230041415e-05
959.359008, 0.1262051804, 2.29746185e-05
959.363104, 0.1262507087, 2.298395488e-05
959.61296, 0.128542393, 2.34537253e-05
959.617056, 0.1285735515, 2.346010717e-05
959.854624, 0.1298598539, 2.372129059e-05
959.85872, 0.1298748147, 2.372428499e-05
960.088096, 0.1302844046, 2.380145514e-05
960.092192, 0.1302858158, 2.380158751e-05
960.100384, 0.130284269, 2.380092965e-05
960.10448, 0.1302843039, 2.380077142e-05
960.387104, 0.1296132568, 2.364796739e-05
960.3912, 0.1295953047, 2.364402173e-05
960.686112, 0.1275812414, 2.320970028e-05
960.690208, 0.1275440109, 2.320175069e-05
960.976928, 0.1243134, 2.251851934e-05
960.981024, 0.1242580648, 2.250690713e-05
961.284128, 0.1195066916, 2.151949394e-05
961.288224, 0.1194358994, 2.150490476e-05
961.411104, 0.1171268916, 2.103121601e-05
961.4152, 0.1170451845, 2.101452218e-05
961.587232, 0.113463532, 2.028713894e-05
961.591328, 0.1133742618, 2.02691126e-05
961.890336, 0.1061847111, 1.883391532e-05
961.894432, 0.1060784882, 1.881293556e-05
962.226208, 0.09676501487, 1.69981718e-05
962.230304, 0.09664306854, 1.697470787e-05
962.512928, 0.08765558258, 1.52659515e-05
962.517024, 0.08751946222, 1.524035873e-05
962.783264, 0.07828490138, 1.352332494e-05
962.78736, 0.07813866147, 1.349641477e-05
963.020832, 0.06944152431, 1.191111981e-05
963.024928, 0.06928459651, 1.188276666e-05
963.270688, 0.05964311877, 1.01568857e-05
963.274784, 0.05947830155, 1.012763441e-05
963.618848, 0.04518539807, 7.620032616e-06
963.622944, 0.04501147683, 7.589827628e-06
964.26192, 0.01674758716, 2.755024392e-06
964.266016, 0.01656282031, 2.723750647e-06
964.622368, 0.0001923755713, -3.869002551e-08
964.626464, 4.01890867e-06, -7.043370323e-08
965.564448, -0.04296568747, -7.369098106e-06
965.568544, -0.04314893754, -7.400780205e-06
965.974048, -0.06089515498, -1.050553157e-05
965.978144, -0.06107136759, -1.053678668e-05
966.260768, -0.07287302507, -1.265179428e-05
966.264864, -0.07304268235, -1.268254421e-05
966.584352, -0.08567905367, -1.50025238e-05
966.588448, -0.08583642428, -1.503182059e-05
966.907936, -0.09757236329, -1.724650613e-05
966.912032, -0.09771817895, -1.727442427e-05
967.198752, -0.1073541153, -1.914195082e-05
967.202848, -0.1074864831, -1.916793753e-05
967.346208, -0.1119695339, -2.005340101e-05
967.350304, -0.1120923182, -2.007780416e-05
967.469088, -0.1156457916, -2.078764572e-05
967.473184, -0.1157666069, -2.081190575e-05
967.706656, -0.1222034507, -2.211604788e-05
967.710752, -0.1223111664, -2.213807825e-05
967.981088, -0.1288742518, -2.349291541e-05
967.985184, -0.1289659583, -2.351202961e-05
968.243232, -0.1343137311, -2.463516651e-05
968.247328, -0.1343908722, -2.465149295e-05
968.513568, -0.138904535, -2.561248456e-05
968.517664, -0.1389658682, -2.562562019e-05
968.763424, -0.1422084178, -2.63223974e-05
968.76752, -0.1422550229, -2.633244214e-05
969.017376, -0.144626912, -2.684375312e-05
969.021472, -0.1446583725, -2.685052753e-05
