time, angle, torque
917.85424, -6.365538058e-05, -3.540522163e-09
918.669344, 0.03672803455, 1.965108299e-06
918.67344, 0.03690738202, 1.974771281e-06
919.275552, 0.06209773616, 3.297725434e-06
919.279648, 0.06226119378, 3.306366123e-06
919.566368, 0.0733134031, 3.883224353e-06
919.570464, 0.07346763676, 3.891301095e-06
919.848992, 0.08348128254, 4.408518478e-06
919.853088, 0.08362339684, 4.415870098e-06
919.975968, 0.08778714933, 4.629812538e-06
919.980064, 0.08792459473, 4.636883824e-06
920.111136, 0.09218851703, 4.854455537e-06
920.115232, 0.09231933934, 4.861131401e-06
920.377376, 0.1002453602, 5.259068452e-06
920.381472, 0.1003647714, 5.265059935e-06
920.63952, 0.1073485862, 5.607994864e-06
920.643616, 0.1074534805, 5.613112746e-06
920.901664, 0.1135693942, 5.903932283e-06
920.90576, 0.1136600594, 5.908186931e-06
921.159712, 0.1187853151, 6.140369022e-06
921.163808, 0.1188632715, 6.143846963e-06
921.405472, 0.122882222, 6.312588899e-06
921.409568, 0.1229446494, 6.315113738e-06
921.651232, 0.1261004913, 6.43105655e-06
921.655328, 0.1261470965, 6.432606412e-06
921.901088, 0.1284485411, 6.49486297e-06
921.905184, 0.1284805937, 6.495515515e-06
922.146848, 0.1298342245, 6.501044594e-06
922.150944, 0.1298509247, 6.500753556e-06
922.392608, 0.130295211, 6.450870118e-06
922.396704, 0.130296229, 6.449620602e-06
922.4008, 0.1302957657, 6.448279401e-06
922.683424, 0.1296424325, 6.319334528e-06
922.68752, 0.129624371, 6.316933255e-06
922.978336, 0.1276573953, 6.107456547e-06
922.982432, 0.1276218348, 6.104023812e-06
923.265056, 0.1244716067, 5.828518511e-06
923.269152, 0.1244174914, 5.824009358e-06
923.56816, 0.1197881366, 5.459692545e-06
923.572256, 0.1197167565, 5.454224636e-06
923.871264, 0.1137999995, 5.020066571e-06
923.87536, 0.1137112128, 5.013665822e-06
924.010528, 0.1106277476, 4.795030786e-06
924.014624, 0.1105307816, 4.788199959e-06
924.170272, 0.1066737446, 4.521027035e-06
924.174368, 0.1065687412, 4.513798877e-06
924.493856, 0.0976814269, 3.920639253e-06
924.497952, 0.09756013568, 3.912626412e-06
924.809248, 0.08772992521, 3.280419146e-06
924.813344, 0.08759332739, 3.27170596e-06
925.067296, 0.07879720046, 2.721615535e-06
925.071392, 0.07864981189, 2.712449401e-06
925.354016, 0.06811806308, 2.070952528e-06
925.358112, 0.06796209038, 2.061493886e-06
925.665312, 0.05574077089, 1.336355733e-06
925.669408, 0.05557366795, 1.326479585e-06
925.96432, 0.0432031689, 6.094077659e-07
925.968416, 0.04302849875, 5.993101307e-07
926.53776, 0.01784478104, -8.072790561e-07
926.541856, 0.01765978881, -8.175932592e-07
926.922784, 0.0002243484562, -1.769793595e-06
926.92688, 3.695869056e-05, -1.78003031e-06
927.844384, -0.04195605267, -3.976162209e-06
927.84848, -0.04213933749, -3.985814026e-06
928.19664, -0.05744827887, -4.779841736e-06
928.200736, -0.05762486572, -4.789030316e-06
928.548896, -0.07226098327, -5.539079025e-06
928.552992, -0.07243206617, -5.547898419e-06
928.860192, -0.08462481607, -6.165697223e-06
928.864288, -0.08478453869, -6.173821265e-06
929.1592, -0.0957250474, -6.720743602e-06
929.163296, -0.09587273001, -6.728136419e-06
929.413152, -0.1044744098, -7.151739777e-06
929.417248, -0.1046092812, -7.158353435e-06
929.462304, -0.1060919294, -7.230971885e-06
929.4664, -0.1062262199, -7.237550039e-06
929.744928, -0.1148566983, -7.651435072e-06
929.749024, -0.114980477, -7.657372043e-06
930.01936, -0.122465524, -8.004738219e-06
930.023456, -0.1225723137, -8.009624847e-06
930.2856, -0.1289335137, -8.291199539e-06
930.289696, -0.1290269474, -8.295252756e-06
930.539552, -0.1342181111, -8.509355517e-06
930.543648, -0.1342960953, -8.512434462e-06
930.801696, -0.1387246072, -8.674869061e-06
930.805792, -0.1387884258, -8.677048626e-06
931.047456, -0.1420447493, -8.77280097e-06
931.051552, -0.142095114, -8.774122671e-06
931.313696, -0.1446296225, -8.814608136e-06
931.317792, -0.1446622676, -8.814799451e-06
931.522592, -0.1459069428, -8.799654527e-06
931.526688, -0.1459234346, -8.798808987e-06
931.559456, -0.1460617412, -8.792473792e-06
931.563552, -0.1460784879, -8.791648189e-06
931.805216, -0.1465671439, -8.711890858e-06
931.809312, -0.1465702482, -8.710203425e-06
931.8216, -0.1465697788, -8.704509695e-06
931.825696, -0.1465694841, -8.702603335e-06
932.10832, -0.1459147063, -8.53288008e-06
932.112416, -0.1458971134, -8.529896206e-06
932.403232, -0.1439303186, -8.275939683e-06
932.407328, -0.1438936051, -8.271785957e-06
932.694048, -0.1406893099, -7.94564428e-06
932.698144, -0.1406347581, -7.940428675e-06
932.993056, -0.1360594109, -7.531004819e-06
932.997152, -0.1359876432, -7.524808418e-06
933.189664, -0.1323199874, -7.218658033e-06
933.19376, -0.1322364339, -7.211808531e-06
933.287968, -0.1302490269, -7.051119514e-06
933.292064, -0.13016179, -7.044089222e-06
933.607456, -0.1226254824, -6.463498151e-06
933.611552, -0.1225196712, -6.455493979e-06
933.918752, -0.1139495818, -5.828942352e-06
933.922848, -0.1138280043, -5.820175758e-06
934.23824, -0.1038608542, -5.123274961e-06
934.242336, -0.1037250067, -5.113879623e-06
934.500384, -0.09476989238, -4.50885285e-06
934.50448, -0.09462340478, -4.499028046e-06
934.787104, -0.08407215254, -3.808136865e-06
934.7912, -0.083916303, -3.797994272e-06
935.086112, -0.07217551945, -3.052021424e-06
935.090208, -0.07201183013, -3.041669975e-06
935.38512, -0.0596485419, -2.277532285e-06
935.389216, -0.05947415089, -2.266803058e-06
935.946272, -0.03485488673, -8.080587313e-07
935.950368, -0.03466985958, -7.971524671e-07
936.699936, -0.0002233027445, 1.146056512e-06
