time, angle, torque
917.85424, -6.365538058e-05, -1.31613596e-08
918.669344, 0.03672803455, 7.593669894e-06
918.67344, 0.03690738202, 7.630793804e-06
919.275552, 0.06209773616, 1.285111737e-05
919.279648, 0.06226119378, 1.28850527e-05
919.566368, 0.0733134031, 1.518149771e-05
919.570464, 0.07346763676, 1.521357852e-05
919.848992, 0.08348128254, 1.729810757e-05
919.853088, 0.08362339684, 1.732772279e-05
919.975968, 0.08778714933, 1.819572317e-05
919.980064, 0.08792459473, 1.822438999e-05
920.111136, 0.09218851703, 1.911403748e-05
920.115232, 0.09231933934, 1.914134667e-05
920.377376, 0.1002453602, 2.079704898e-05
920.381472, 0.1003647714, 2.082201732e-05
920.63952, 0.1073485862, 2.22830613e-05
920.643616, 0.1074534805, 2.230502287e-05
920.901664, 0.1135693942, 2.358596026e-05
920.90576, 0.1136600594, 2.360496042e-05
921.159712, 0.1187853151, 2.467910101e-05
921.163808, 0.1188632715, 2.469544588e-05
921.405472, 0.122882222, 2.553765718e-05
921.409568, 0.1229446494, 2.555073841e-05
921.651232, 0.1261004913, 2.621128785e-05
921.655328, 0.1261470965, 2.622103285e-05
921.901088, 0.1284485411, 2.670113798e-05
921.905184, 0.1284805937, 2.670780656e-05
922.146848, 0.1298342245, 2.698757252e-05
922.150944, 0.1298509247, 2.699099377e-05
922.392608, 0.130295211, 2.707828401e-05
922.396704, 0.130296229, 2.707838468e-05
922.4008, 0.1302957657, 2.707817168e-05
922.683424, 0.1296424325, 2.693208029e-05
922.68752, 0.129624371, 2.692814614e-05
922.978336, 0.1276573953, 2.650432293e-05
922.982432, 0.1276218348, 2.649669562e-05
923.265056, 0.1244716067, 2.58239548e-05
923.269152, 0.1244174914, 2.581242646e-05
923.56816, 0.1197881366, 2.482888313e-05
923.572256, 0.1197167565, 2.481374547e-05
923.871264, 0.1137999995, 2.3561834e-05
923.87536, 0.1137112128, 2.35430786e-05
924.010528, 0.1106277476, 2.289235129e-05
924.014624, 0.1105307816, 2.287190317e-05
924.170272, 0.1066737446, 2.205938195e-05
924.174368, 0.1065687412, 2.203728038e-05
924.493856, 0.0976814269, 2.017050174e-05
924.497952, 0.09756013568, 2.014506623e-05
924.809248, 0.08772992521, 1.808752683e-05
924.813344, 0.08759332739, 1.805898004e-05
925.067296, 0.07879720046, 1.622337441e-05
925.071392, 0.07864981189, 1.619265373e-05
925.354016, 0.06811806308, 1.40007321e-05
925.358112, 0.06796209038, 1.39683092e-05
925.665312, 0.05574077089, 1.143144926e-05
925.669408, 0.05557366795, 1.139680198e-05
925.96432, 0.0432031689, 8.834845148e-06
925.968416, 0.04302849875, 8.798702516e-06
926.53776, 0.01784478104, 3.595954369e-06
926.541856, 0.01765978881, 3.557771978e-06
926.922784, 0.0002243484562, -3.932223871e-08
926.92688, 3.695869056e-05, -7.797912142e-08
927.844384, -0.04195605267, -8.745657339e-06
927.84848, -0.04213933749, -8.783561826e-06
928.19664, -0.05744827887, -1.195250076e-05
928.200736, -0.05762486572, -1.198909978e-05
928.548896, -0.07226098327, -1.502611813e-05
928.552992, -0.07243206617, -1.506167235e-05
