time, angle, torque
975.21872, -5.049223178e-05, 1.326982694e-06
975.312928, 0.004272897754, 1.879833405e-06
975.317024, 0.004460188773, 1.903783402e-06
975.427616, 0.009561928587, 2.554968476e-06
975.431712, 0.009750607091, 2.579062675e-06
976.28368, 0.04878573157, 7.537994791e-06
976.287776, 0.04897503209, 7.562542789e-06
976.975904, 0.07979114017, 1.160612042e-05
976.98, 0.07997479967, 1.163096923e-05
977.692704, 0.1107507763, 1.590003357e-05
977.6968, 0.1109247128, 1.592518677e-05
978.348064, 0.1376634077, 1.99162628e-05
978.35216, 0.1378269711, 1.994176457e-05
978.995232, 0.1626119002, 2.394894681e-05
978.999328, 0.1627654517, 2.397494566e-05
979.585056, 0.1836964642, 2.764135137e-05
979.589152, 0.1838373293, 2.766706977e-05
980.158496, 0.2024792821, 3.118376313e-05
980.162592, 0.202607908, 3.120897794e-05
980.70736, 0.2187141769, 3.445808076e-05
980.711456, 0.2188297775, 3.448219954e-05
981.026848, 0.2273253839, 3.628010311e-05
981.030944, 0.2274312188, 3.630287258e-05
981.235744, 0.2326051424, 3.742661114e-05
981.23984, 0.2327074498, 3.744909354e-05
981.719072, 0.2437241289, 3.991023739e-05
981.723168, 0.2438119165, 3.993023278e-05
982.214688, 0.2534741335, 4.215902908e-05
982.218784, 0.2535480764, 4.217631138e-05
982.710304, 0.261485511, 4.403882478e-05
982.7144, 0.2615442038, 4.405260637e-05
983.20592, 0.2677009462, 4.548718112e-05
983.210016, 0.2677458589, 4.549751401e-05
983.689248, 0.2719959767, 4.64358517e-05
983.693344, 0.272025335, 4.6441941e-05
983.803936, 0.2727563517, 4.658907022e-05
983.808032, 0.2727793212, 4.659333017e-05
984.16848, 0.274501228, 4.688677141e-05
984.172576, 0.27451725, 4.688908205e-05
984.610848, 0.2752527702, 4.685526693e-05
984.614944, 0.275256311, 4.685396694e-05
984.651808, 0.2752471125, 4.683014588e-05
984.655904, 0.275248052, 4.682807744e-05
984.950816, 0.2748096807, 4.653377342e-05
984.954912, 0.2748003247, 4.652872458e-05
985.237536, 0.2737459396, 4.606425053e-05
985.241632, 0.2737265252, 4.605631313e-05
985.511968, 0.2721370308, 4.544782587e-05
985.516064, 0.2721111765, 4.54381154e-05
985.810976, 0.2697356164, 4.459818562e-05
985.815072, 0.2696980984, 4.458526532e-05
986.056736, 0.2672562436, 4.37650925e-05
986.060832, 0.267210382, 4.374998068e-05
