time, angle, torque
955.553824, -1.967678897e-05, 3.803787627e-06
956.127264, 0.02615170928, 8.268050822e-06
956.13136, 0.02633579002, 8.299848915e-06
956.54096, 0.04428261641, 1.136467649e-05
956.545056, 0.04446009326, 1.139530912e-05
956.835872, 0.05661371881, 1.347084642e-05
956.839968, 0.05678212192, 1.349979812e-05
957.15536, 0.06926263575, 1.561778913e-05
957.159456, 0.06941974193, 1.564456896e-05
957.478944, 0.08117325351, 1.761663707e-05
957.48304, 0.08131887808, 1.764112447e-05
957.745184, 0.09018382422, 1.910461277e-05
957.74928, 0.09031753451, 1.912664418e-05
958.044192, 0.09939729152, 2.058659508e-05
958.048288, 0.09951870901, 2.060602525e-05
958.269472, 0.1056349714, 2.1556483e-05
958.273568, 0.1057425448, 2.157295828e-05
958.277664, 0.1058494959, 2.158930151e-05
958.28176, 0.1059558281, 2.160551325e-05
958.56848, 0.1128981403, 2.26252664e-05
958.572576, 0.1129893047, 2.26381922e-05
958.81424, 0.11799485, 2.331684766e-05
958.818336, 0.1180718384, 2.332670174e-05
959.10096, 0.1228474127, 2.388947943e-05
959.105056, 0.122908909, 2.389599847e-05
959.359008, 0.1262051804, 2.419111993e-05
959.363104, 0.1262507087, 2.419424976e-05
959.61296, 0.128542393, 2.428650628e-05
959.617056, 0.1285735515, 2.4286657e-05
959.854624, 0.1298598539, 2.419241804e-05
959.85872, 0.1298748147, 2.418927297e-05
960.088096, 0.1302844046, 2.393316844e-05
960.092192, 0.1302858158, 2.392737636e-05
960.100384, 0.130284269, 2.391488204e-05
960.10448, 0.1302843039, 2.390881243e-05
960.387104, 0.1296132568, 2.337009167e-05
960.3912, 0.1295953047, 2.336062117e-05
960.686112, 0.1275812414, 2.25584866e-05
960.690208, 0.1275440109, 2.254552777e-05
960.976928, 0.1243134, 2.15439425e-05
960.981024, 0.1242580648, 2.152789235e-05
961.284128, 0.1195066916, 2.025036327e-05
961.288224, 0.1194358994, 2.023195623e-05
961.411104, 0.1171268916, 1.965042004e-05
961.4152, 0.1170451845, 1.963018083e-05
961.587232, 0.113463532, 1.876614428e-05
961.591328, 0.1133742618, 1.874491419e-05
961.890336, 0.1061847111, 1.71120781e-05
961.894432, 0.1060784882, 1.708844467e-05
962.226208, 0.09676501487, 1.509944659e-05
962.230304, 0.09664306854, 1.507383693e-05
