time, angle, torque
917.85424, -6.365538058e-05, -1.046403596e-08
918.669344, 0.03672803455, 5.780128002e-06
918.67344, 0.03690738202, 5.808436684e-06
919.275552, 0.06209773616, 9.670377954e-06
919.279648, 0.06226119378, 9.695483075e-06
919.566368, 0.0733134031, 1.136761707e-05
919.570464, 0.07346763676, 1.139096242e-05
919.848992, 0.08348128254, 1.288225881e-05
919.853088, 0.08362339684, 1.290338249e-05
919.975968, 0.08778714933, 1.35173557e-05
919.980064, 0.08792459473, 1.353761738e-05
920.111136, 0.09218851703, 1.416018264e-05
920.115232, 0.09231933934, 1.417924856e-05
920.377376, 0.1002453602, 1.531333964e-05
920.381472, 0.1003647714, 1.533034415e-05
920.63952, 0.1073485862, 1.630179108e-05
920.643616, 0.1074534805, 1.631621744e-05
920.901664, 0.1135693942, 1.713530669e-05
920.90576, 0.1136600594, 1.7147223e-05
921.159712, 0.1187853151, 1.779792138e-05
921.163808, 0.1188632715, 1.780761682e-05
921.405472, 0.122882222, 1.827899525e-05
921.409568, 0.1229446494, 1.82860059e-05
921.651232, 0.1261004913, 1.861029986e-05
921.655328, 0.1261470965, 1.861460481e-05
921.901088, 0.1284485411, 1.879161609e-05
921.905184, 0.1284805937, 1.879347465e-05
922.146848, 0.1298342245, 1.88165094e-05
922.150944, 0.1298509247, 1.881582165e-05
922.392608, 0.130295211, 1.869024006e-05
922.396704, 0.130296229, 1.868699012e-05
922.4008, 0.1302957657, 1.868348531e-05
922.683424, 0.1296424325, 1.834951114e-05
922.68752, 0.129624371, 1.834320074e-05
922.978336, 0.1276573953, 1.779658601e-05
922.982432, 0.1276218348, 1.778755482e-05
923.265056, 0.1244716067, 1.706639131e-05
923.269152, 0.1244174914, 1.705452081e-05
923.56816, 0.1197881366, 1.609900899e-05
923.572256, 0.1197167565, 1.608460543e-05
923.871264, 0.1137999995, 1.494282512e-05
923.87536, 0.1137112128, 1.492592596e-05
924.010528, 0.1106277476, 1.434879699e-05
924.014624, 0.1105307816, 1.433074229e-05
924.170272, 0.1066737446, 1.362447922e-05
924.174368, 0.1065687412, 1.360533867e-05
924.493856, 0.0976814269, 1.203348448e-05
924.497952, 0.09756013568, 1.201216766e-05
924.809248, 0.08772992521, 1.032746171e-05
924.813344, 0.08759332739, 1.030414978e-05
925.067296, 0.07879720046, 8.830026049e-06
925.071392, 0.07864981189, 8.805383247e-06
925.354016, 0.06811806308, 7.076828225e-06
925.358112, 0.06796209038, 7.051269263e-06
925.665312, 0.05574077089, 5.08503848e-06
925.669408, 0.05557366795, 5.058170369e-06
925.96432, 0.0432031689, 3.101441589e-06
925.968416, 0.04302849875, 3.07380902e-06
926.53776, 0.01784478104, -7.978857585e-07
926.541856, 0.01765978881, -8.264005185e-07
926.922784, 0.0002243484562, -3.46636162e-06
926.92688, 3.695869056e-05, -3.494787714e-06
927.844384, -0.04195605267, -9.621171254e-06
927.84848, -0.04213933749, -9.648044349e-06
928.19664, -0.05744827887, -1.185588774e-05
928.200736, -0.05762486572, -1.188136126e-05
928.548896, -0.07226098327, -1.39564784e-05
928.552992, -0.07243206617, -1.398080103e-05
928.860192, -0.08462481607, -1.567766859e-05
928.864288, -0.08478453869, -1.569988047e-05
929.1592, -0.0957250474, -1.718928798e-05
929.163296, -0.09587273001, -1.720929602e-05
929.413152, -0.1044744098, -1.835185914e-05
929.417248, -0.1046092812, -1.836955718e-05
929.462304, -0.1060919294, -1.856391559e-05
