time, angle, torque
936.704032, -3.250044948e-05, 6.722847867e-07
937.277472, 0.02613798099, 2.736089438e-06
937.281568, 0.02632131472, 2.750625019e-06
937.687072, 0.04408931591, 4.154713426e-06
937.691168, 0.04426820283, 4.16895329e-06
937.98608, 0.05659755559, 5.148464168e-06
937.990176, 0.05676682794, 5.16199587e-06
938.305568, 0.06924720142, 6.1582919e-06
938.309664, 0.06940397424, 6.170886026e-06
938.387488, 0.07233950628, 6.406607747e-06
938.391584, 0.07249091778, 6.418776903e-06
938.625056, 0.08101655676, 7.10418204e-06
938.629152, 0.08116336016, 7.116045999e-06
938.895392, 0.09017561003, 7.842424841e-06
938.899488, 0.09030870196, 7.853197099e-06
939.1944, 0.09939491565, 8.586377662e-06
939.198496, 0.09951572503, 8.596164577e-06
939.436064, 0.1060579985, 9.12300174e-06
939.44016, 0.1061638952, 9.131520475e-06
939.718688, 0.1128983536, 9.669215599e-06
939.722784, 0.1129894693, 9.6764538e-06
939.964448, 0.1180005473, 1.007039289e-05
939.968544, 0.1180784881, 1.007646067e-05
940.255264, 0.1229196744, 1.044464175e-05
940.25936, 0.1229814359, 1.044924134e-05
940.513312, 0.1262600003, 1.068328293e-05
940.517408, 0.1263056494, 1.068639584e-05
940.5256, 0.1263948237, 1.069242354e-05
940.529696, 0.1264399572, 1.06954888e-05
940.754976, 0.1284928507, 1.082408485e-05
940.759072, 0.128523881, 1.082583855e-05
940.99664, 0.1298435554, 1.088297295e-05
941.000736, 0.1298591489, 1.088328824e-05
941.2424, 0.130302027, 1.085798082e-05
941.246496, 0.1303021019, 1.085685587e-05
941.541408, 0.1296137347, 1.071311949e-05
941.545504, 0.1295960887, 1.071037325e-05
941.828128, 0.1276751911, 1.045843041e-05
941.832224, 0.1276390963, 1.04540187e-05
942.12304, 0.124389718, 1.00824976e-05
942.127136, 0.1243356673, 1.007652492e-05
942.364704, 0.120742739, 9.692445868e-06
942.3688, 0.1206725261, 9.685098993e-06
942.426144, 0.1196733299, 9.58107257e-06
942.43024, 0.1196021127, 9.573666214e-06
942.712864, 0.1140250315, 9.010453218e-06
942.71696, 0.1139362423, 9.0016269e-06
943.036448, 0.1063118915, 8.262838656e-06
943.040544, 0.106206798, 8.252792917e-06
943.368224, 0.09703140987, 7.396236581e-06
943.37232, 0.09691052396, 7.385084663e-06
943.65904, 0.08781367431, 6.561846086e-06
943.663136, 0.0876779184, 6.549680874e-06
943.937568, 0.07816143553, 5.710571245e-06
943.941664, 0.07801501322, 5.697768227e-06
944.17104, 0.06946470552, 4.959701759e-06
944.175136, 0.0693091247, 4.946356601e-06
944.424992, 0.05950001079, 4.115570988e-06
944.429088, 0.05933445333, 4.101636946e-06
944.773152, 0.04503205908, 2.916292056e-06
944.777248, 0.04485699796, 2.901879765e-06
945.412128, 0.01676907495, 6.415417773e-07
945.416224, 0.01658472009, 6.267882633e-07
945.772576, 0.0002120191704, -6.721239569e-07
945.776672, 2.294147224e-05, -6.871256741e-07
946.714656, -0.04294524466, -4.054729153e-06
946.718752, -0.0431285335, -4.069290075e-06
947.124256, -0.06087486394, -5.478312867e-06
947.128352, -0.06105267901, -5.492570452e-06
947.415072, -0.07302666898, -6.452462948e-06
947.419168, -0.07319509166, -6.46606587e-06
947.738656, -0.08582101391, -7.486176792e-06
947.742752, -0.08597787917, -7.498952034e-06
948.058144, -0.09756110221, -8.442510871e-06
948.06224, -0.09770651786, -8.454446947e-06
948.308, -0.1060123196, -9.135193643e-06
948.312096, -0.1061463211, -9.146232057e-06
948.34896, -0.107345072, -9.244973078e-06
948.353056, -0.1074775866, -9.255895651e-06
948.619296, -0.1156375375, -9.926672124e-06
948.623392, -0.1157592781, -9.936730452e-06
948.869152, -0.1225145643, -1.049104722e-05
948.873248, -0.1226208783, -1.04997705e-05
949.131296, -0.1288711252, -1.100862245e-05
949.135392, -0.128962376, -1.101600724e-05
949.39344, -0.1343135316, -1.144435655e-05
949.397536, -0.1343913514, -1.14505205e-05
949.663776, -0.1389073299, -1.179989761e-05
949.667872, -0.1389688648, -1.180453906e-05
949.909536, -0.142163425, -1.203671841e-05
949.913632, -0.1422111245, -1.204004654e-05
950.17168, -0.1446661903, -1.219692136e-05
950.175776, -0.1446979507, -1.219872043e-05
950.302752, -0.1455252087, -1.223936924e-05
950.306848, -0.1455481327, -1.22403206e-05
950.41744, -0.1460616819, -1.225582143e-05
950.421536, -0.1460784345, -1.225617851e-05
950.6632, -0.146534193, -1.222642231e-05
950.667296, -0.1465347012, -1.222521913e-05
950.675488, -0.1465328283, -1.222253383e-05
950.679584, -0.1465333986, -1.222133805e-05
950.962208, -0.145864852, -1.207253924e-05
950.966304, -0.1458467735, -1.206957863e-05
951.253024, -0.1439052995, -1.180070324e-05
951.25712, -0.1438684594, -1.179600115e-05
951.547936, -0.1406140615, -1.140651896e-05
951.552032, -0.1405602907, -1.140030563e-05
951.85104, -0.1359179886, -1.088654478e-05
951.855136, -0.1358467799, -1.087883651e-05
952.07632, -0.1315754198, -1.042796912e-05
952.080416, -0.1314890446, -1.041899005e-05
952.150048, -0.1299973469, -1.026478626e-05
952.154144, -0.1299091061, -1.025568649e-05
952.436768, -0.1231906499, -9.580340014e-06
952.440864, -0.1230866236, -9.570024057e-06
952.764448, -0.1141118331, -8.702225182e-06
952.768544, -0.1139921089, -8.690801214e-06
953.063456, -0.1047448057, -7.826892315e-06
953.067552, -0.1046083247, -7.814298678e-06
953.575456, -0.08649942571, -6.195063783e-06
953.579552, -0.08634408618, -6.181412138e-06
953.882656, -0.07441515781, -5.150777057e-06
953.886752, -0.07425061059, -5.136687054e-06
954.18576, -0.06180869456, -4.087509005e-06
954.189856, -0.06163356798, -4.072854826e-06
954.742816, -0.03729305078, -2.083663451e-06
954.746912, -0.03710802472, -2.068680392e-06
955.549728, -0.0002103343466, 8.497165171e-07
