time, angle, torque
1050.617888, 9.395505355e-05, 1.9269643e-05
1051.580448, 0.04442947504, 3.034546069e-05
1051.584544, 0.04461878187, 3.039317044e-05
1052.125216, 0.06905851267, 3.631094465e-05
1052.129312, 0.06924320162, 3.635576464e-05
1052.686368, 0.09380496086, 4.208998607e-05
1052.690464, 0.09398319798, 4.213138044e-05
1052.846112, 0.1007019053, 4.36731969e-05
1052.850208, 0.100876448, 4.371292467e-05
1053.259808, 0.1182112537, 4.758399438e-05
1053.263904, 0.1183813415, 4.762152268e-05
1053.86192, 0.1426279393, 5.280430451e-05
1053.866016, 0.1427901001, 5.283839019e-05
1054.341152, 0.1610216406, 5.655479927e-05
1054.345248, 0.1611750204, 5.658543895e-05
1054.849056, 0.1793601524, 6.010877202e-05
1054.853152, 0.1795035461, 6.013576142e-05
1055.39792, 0.1977056162, 6.344907638e-05
1055.402016, 0.197837078, 6.347197539e-05
1056.008224, 0.2161224714, 6.653150311e-05
1056.01232, 0.2162392857, 6.654966463e-05
1056.581664, 0.231359274, 6.879316426e-05
1056.58576, 0.2314618925, 6.8807038e-05
1057.114144, 0.2436165372, 7.033799112e-05
1057.11824, 0.243704302, 7.034749923e-05
1057.20016, 0.2454125553, 7.05239956e-05
1057.204256, 0.245497009, 7.053248528e-05
1057.601568, 0.2531594943, 7.125787953e-05
1057.605664, 0.2532318364, 7.126292195e-05
1058.170912, 0.2621680337, 7.178607372e-05
1058.175008, 0.2622248208, 7.178701283e-05
1058.6952, 0.2683926631, 7.171778459e-05
1058.699296, 0.2684331522, 7.171438293e-05
1058.916384, 0.2704096785, 7.150929855e-05
1058.92048, 0.2704428796, 7.150399202e-05
1059.252256, 0.2727654707, 7.102776703e-05
1059.256352, 0.272789506, 7.102030293e-05
1059.55536, 0.2741666676, 7.041007961e-05
1059.559456, 0.2741819377, 7.04005276e-05
1059.86256, 0.2748742272, 6.96094917e-05
1059.866656, 0.274879101, 6.959729794e-05
1060.010016, 0.2749589897, 6.915499141e-05
1060.014112, 0.2749595912, 6.914181603e-05
1060.165664, 0.2748703633, 6.863339321e-05
1060.16976, 0.2748664127, 6.861917141e-05
1060.47696, 0.2741395632, 6.747558074e-05
1060.481056, 0.2741253521, 6.745884802e-05
1060.792352, 0.2726527378, 6.612658093e-05
1060.796448, 0.2726288363, 6.610757417e-05
1061.103648, 0.2704474842, 6.462179733e-05
1061.107744, 0.270414628, 6.460078705e-05
1061.414944, 0.2675125521, 6.294779537e-05
1061.41904, 0.2674706878, 6.292477333e-05
1061.472288, 0.2669009305, 6.261892218e-05
1061.476384, 0.2668554632, 6.259485718e-05
1061.701664, 0.264178393, 6.125096713e-05
1061.70576, 0.264127397, 6.122582116e-05
1062.250528, 0.2561267837, 5.768976021e-05
1062.254624, 0.2560573495, 5.766017152e-05
1062.574112, 0.2503636743, 5.533660699e-05
