time, angle, torque
975.21872, -5.049223178e-05, 1.077093078e-05
975.312928, 0.004272897754, 1.228208987e-05
975.317024, 0.004460188773, 1.234753328e-05
975.427616, 0.009561928587, 1.411576475e-05
975.431712, 0.009750607091, 1.418117514e-05
976.28368, 0.04878573157, 2.688533801e-05
976.287776, 0.04897503209, 2.694773576e-05
976.975904, 0.07979114017, 3.661452019e-05
976.98, 0.07997479967, 3.667292681e-05
977.692704, 0.1107507763, 4.602825909e-05
977.6968, 0.1109247128, 4.608172627e-05
978.348064, 0.1376634077, 5.402928443e-05
978.35216, 0.1378269711, 5.407820413e-05
978.995232, 0.1626119002, 6.129995558e-05
978.999328, 0.1627654517, 6.134499292e-05
979.585056, 0.1836964642, 6.733078854e-05
979.589152, 0.1838373293, 6.737096607e-05
980.158496, 0.2024792821, 7.258289382e-05
980.162592, 0.202607908, 7.261857812e-05
980.70736, 0.2187141769, 7.69849779e-05
980.711456, 0.2188297775, 7.701582047e-05
981.026848, 0.2273253839, 7.923489992e-05
981.030944, 0.2274312188, 7.926184673e-05
981.235744, 0.2326051424, 8.057168263e-05
981.23984, 0.2327074498, 8.059752554e-05
981.719072, 0.2437241289, 8.326626195e-05
981.723168, 0.2438119165, 8.328627638e-05
982.214688, 0.2534741335, 8.539033006e-05
982.218784, 0.2535480764, 8.540483455e-05
982.710304, 0.261485511, 8.682260308e-05
982.7144, 0.2615442038, 8.683079733e-05
983.20592, 0.2677009462, 8.752391934e-05
983.210016, 0.2677458589, 8.752652463e-05
983.689248, 0.2719959767, 8.747618722e-05
983.693344, 0.272025335, 8.747219259e-05
983.803936, 0.2727563517, 8.734169141e-05
983.808032, 0.2727793212, 8.733470394e-05
984.16848, 0.274501228, 8.66688338e-05
984.172576, 0.27451725, 8.665945712e-05
984.610848, 0.2752527702, 8.529924244e-05
984.614944, 0.275256311, 8.528483118e-05
984.651808, 0.2752471125, 8.513446766e-05
984.655904, 0.275248052, 8.511882618e-05
984.950816, 0.2748096807, 8.380292323e-05
984.954912, 0.2748003247, 8.378296984e-05
985.237536, 0.2737459396, 8.22644959e-05
985.241632, 0.2737265252, 8.224035524e-05
985.511968, 0.2721370308, 8.055598249e-05
985.516064, 0.2721111765, 8.05295955e-05
985.810976, 0.2697356164, 7.844684242e-05
985.815072, 0.2696980984, 7.841562805e-05
986.056736, 0.2672562436, 7.651595146e-05
986.060832, 0.267210382, 7.648150824e-05
986.097696, 0.2667981849, 7.61733137e-05
986.101792, 0.2667528748, 7.613935588e-05
986.396704, 0.2630833881, 7.357721589e-05
986.4008, 0.2630284433, 7.353970082e-05
986.695712, 0.2587093407, 7.074951967e-05
986.699808, 0.2586466993, 7.070956129e-05
986.998816, 0.2536177951, 6.766397752e-05
987.002912, 0.2535463409, 6.762114066e-05
987.310112, 0.2477110902, 6.428171642e-05
987.314208, 0.2476305397, 6.423603361e-05
987.592736, 0.2417648996, 6.10327892e-05
987.596832, 0.2416770109, 6.098510553e-05
988.198944, 0.2272132579, 5.367674496e-05
988.20304, 0.2271078997, 5.36242124e-05
988.522528, 0.218478262, 4.946803061e-05
988.526624, 0.2183650648, 4.941387846e-05
988.846112, 0.209104112, 4.512809499e-05
988.850208, 0.2089842403, 4.507299483e-05
989.464608, 0.1895052584, 3.664019011e-05
989.468704, 0.1893713691, 3.658289134e-05
989.992992, 0.1711475815, 2.915439596e-05
989.997088, 0.1710006497, 2.909500628e-05
990.545952, 0.1505012607, 2.121883794e-05
990.550048, 0.1503449592, 2.115932396e-05
990.808096, 0.1402540994, 1.740284537e-05
990.812192, 0.1400895517, 1.734165089e-05
991.1112, 0.1280654459, 1.300251161e-05
991.115296, 0.1278985027, 1.294248725e-05
991.754272, 0.1011490157, 3.850967273e-06
991.758368, 0.1009754478, 3.792500728e-06
992.262176, 0.07904423355, -3.302629234e-06
992.266272, 0.07886424633, -3.360564282e-06
992.888864, 0.05098627667, -1.190382617e-05
992.89296, 0.0508027064, -1.19596977e-05
993.994784, 0.000272948587, -2.625294025e-05
993.99888, 8.529119895e-05, -2.630584554e-05
994.773024, -0.03555950003, -3.592850226e-05
994.77712, -0.03574734659, -3.597940013e-05
995.518496, -0.06934957227, -4.474860942e-05
995.522592, -0.06953417454, -4.479721408e-05
995.833888, -0.0833582253, -4.837038311e-05
995.837984, -0.08354054396, -4.841791044e-05
996.218912, -0.100156621, -5.266087493e-05
996.223008, -0.100333417, -5.270613203e-05
996.870176, -0.1276047522, -5.955917566e-05
996.874272, -0.1277738698, -5.96018957e-05
