time, angle, torque
955.553824, -1.967678897e-05, 2.670807406e-06
956.127264, 0.02615170928, 5.576112932e-06
956.13136, 0.02633579002, 5.596928902e-06
956.54096, 0.04428261641, 7.609337919e-06
956.545056, 0.04446009326, 7.629563931e-06
956.835872, 0.05661371881, 9.003001806e-06
956.839968, 0.05678212192, 9.022241439e-06
957.15536, 0.06926263575, 1.043281327e-05
957.159456, 0.06941974193, 1.045072912e-05
957.478944, 0.08117325351, 1.177235231e-05
957.48304, 0.08131887808, 1.178883385e-05
957.745184, 0.09018382422, 1.277452407e-05
957.74928, 0.09031753451, 1.278940911e-05
958.044192, 0.09939729152, 1.377572102e-05
958.048288, 0.09951870901, 1.378888734e-05
958.269472, 0.1056349714, 1.44319801e-05
958.273568, 0.1057425448, 1.444313653e-05
958.277664, 0.1058494959, 1.445420225e-05
958.28176, 0.1059558281, 1.446517714e-05
958.56848, 0.1128981403, 1.515393174e-05
958.572576, 0.1129893047, 1.516265048e-05
958.81424, 0.11799485, 1.561866913e-05
958.818336, 0.1180718384, 1.562525812e-05
959.10096, 0.1228474127, 1.599797766e-05
959.105056, 0.122908909, 1.600223928e-05
959.359008, 0.1262051804, 1.619002892e-05
959.363104, 0.1262507087, 1.619191514e-05
959.61296, 0.128542393, 1.623793323e-05
959.617056, 0.1285735515, 1.623773161e-05
959.854624, 0.1298598539, 1.615412937e-05
959.85872, 0.1298748147, 1.615162058e-05
960.088096, 0.1302844046, 1.595571417e-05
960.092192, 0.1302858158, 1.595136376e-05
960.100384, 0.130284269, 1.59420243e-05
960.10448, 0.1302843039, 1.593748009e-05
960.387104, 0.1296132568, 1.55415803e-05
960.3912, 0.1295953047, 1.553468716e-05
960.686112, 0.1275812414, 1.495704144e-05
960.690208, 0.1275440109, 1.494776881e-05
960.976928, 0.1243134, 1.423634412e-05
960.981024, 0.1242580648, 1.422500037e-05
961.284128, 0.1195066916, 1.332815867e-05
961.288224, 0.1194358994, 1.331529337e-05
961.411104, 0.1171268916, 1.291005229e-05
961.4152, 0.1170451845, 1.289597846e-05
961.587232, 0.113463532, 1.229722312e-05
961.591328, 0.1133742618, 1.22825501e-05
961.890336, 0.1061847111, 1.116097855e-05
961.894432, 0.1060784882, 1.114481998e-05
962.226208, 0.09676501487, 9.793795574e-06
962.230304, 0.09664306854, 9.776488321e-06
962.512928, 0.08765558258, 8.546231754e-06
962.517024, 0.08751946222, 8.527898692e-06
962.783264, 0.07828490138, 7.319869344e-06
962.78736, 0.07813866147, 7.300978676e-06
963.020832, 0.06944152431, 6.203515153e-06
963.024928, 0.06928459651, 6.183904171e-06
963.270688, 0.05964311877, 5.004146218e-06
963.274784, 0.05947830155, 4.984141348e-06
963.618848, 0.04518539807, 3.292988699e-06
963.622944, 0.04501147683, 3.272557658e-06
964.26192, 0.01674758716, 6.785642926e-08
964.266016, 0.01656282031, 4.691632703e-08
964.622368, 0.0001923755713, -1.784970081e-06
964.626464, 4.01890867e-06, -1.806159322e-06
965.564448, -0.04296568747, -6.540242125e-06
965.568544, -0.04314893754, -6.561071084e-06
965.974048, -0.06089515498, -8.565157705e-06
965.978144, -0.06107136759, -8.585396674e-06
966.260768, -0.07287302507, -9.932061815e-06
966.264864, -0.07304268235, -9.951666986e-06
966.584352, -0.08567905367, -1.139632551e-05
966.588448, -0.08583642428, -1.141450642e-05
966.907936, -0.09757236329, -1.27522496e-05
966.912032, -0.09771817895, -1.276900411e-05
967.198752, -0.1073541153, -1.385532949e-05
967.202848, -0.1074864831, -1.387027769e-05
967.346208, -0.1119695339, -1.437026565e-05
967.350304, -0.1120923182, -1.438385989e-05
967.469088, -0.1156457916, -1.477587464e-05
967.473184, -0.1157666069, -1.478919879e-05
967.706656, -0.1222034507, -1.547842743e-05
967.710752, -0.1223111664, -1.5489835e-05
967.981088, -0.1288742518, -1.615652921e-05
967.985184, -0.1289659583, -1.616553624e-05
968.243232, -0.1343137311, -1.666505531e-05
968.247328, -0.1343908722, -1.66718473e-05
968.513568, -0.138904535, -1.703591167e-05
968.517664, -0.1389658682, -1.70402935e-05
968.763424, -0.1422084178, -1.72374701e-05
968.76752, -0.1422550229, -1.723962519e-05
969.017376, -0.144626912, -1.730279941e-05
969.021472, -0.1446583725, -1.730270528e-05
969.144352, -0.1454703794, -1.728120726e-05
969.148448, -0.1454928773, -1.727979529e-05
969.271328, -0.1460689332, -1.722432385e-05
969.275424, -0.1460841184, -1.722187032e-05
969.508896, -0.1465245143, -1.702615642e-05
969.512992, -0.1465246686, -1.70215994e-05
969.529376, -0.1465227146, -1.700303698e-05
969.533472, -0.1465219691, -1.699836316e-05
969.742368, -0.146130172, -1.671591473e-05
969.746464, -0.1461160061, -1.670944494e-05
969.959456, -0.1450186459, -1.633057408e-05
969.963552, -0.1449914168, -1.632243479e-05
970.168352, -0.1432711024, -1.58749993e-05
970.172448, -0.1432309823, -1.586528563e-05
970.389536, -0.1407076478, -1.530853682e-05
970.393632, -0.140654714, -1.529736093e-05
970.614816, -0.137367432, -1.465059698e-05
970.618912, -0.1372997689, -1.463777627e-05
970.85648, -0.1329664771, -1.385960844e-05
970.860576, -0.1328869411, -1.384567252e-05
970.926112, -0.1315572839, -1.361664133e-05
970.930208, -0.131470739, -1.360190226e-05
971.28656, -0.1231722342, -1.227058767e-05
971.290656, -0.1230677882, -1.225433493e-05
971.61424, -0.1140931994, -1.092290883e-05
971.618336, -0.1139729595, -1.090545776e-05
971.905056, -0.1049965429, -9.650007847e-06
971.909152, -0.1048612748, -9.631423801e-06
972.257312, -0.09274739311, -8.029547392e-06
972.261408, -0.09259903765, -8.010260257e-06
972.580896, -0.08045489857, -6.479592796e-06
972.584992, -0.08029461346, -6.459641962e-06
972.892192, -0.06783000091, -4.947165179e-06
972.896288, -0.06765908789, -4.926614642e-06
973.31408, -0.04971516722, -2.829244999e-06
973.318176, -0.04953453357, -2.808268558e-06
974.39952, -0.0001958080329, 2.653411499e-06
974.403616, -4.410421965e-06, 2.674923991e-06
