time, angle, torque
936.704032, -3.250044948e-05, 2.18056978e-06
937.277472, 0.02613798099, 4.666137657e-06
937.281568, 0.02632131472, 4.683549816e-06
937.687072, 0.04408931591, 6.333518593e-06
937.691168, 0.04426820283, 6.350156601e-06
937.98608, 0.05659755559, 7.471921672e-06
937.990176, 0.05676682794, 7.487301893e-06
938.305568, 0.06924720142, 8.595846404e-06
938.309664, 0.06940397424, 8.609659665e-06
938.387488, 0.07233950628, 8.866535266e-06
938.391584, 0.07249091778, 8.879706239e-06
938.625056, 0.08101655676, 9.613553682e-06
938.629152, 0.08116336016, 9.626123644e-06
938.895392, 0.09017561003, 1.037864503e-05
938.899488, 0.09030870196, 1.038959757e-05
939.1944, 0.09939491565, 1.111971084e-05
939.198496, 0.09951572503, 1.112924495e-05
939.436064, 0.1060579985, 1.163001735e-05
939.44016, 0.1061638952, 1.163786861e-05
939.718688, 0.1128983536, 1.212249364e-05
939.722784, 0.1129894693, 1.212872312e-05
939.964448, 0.1180005473, 1.245964623e-05
939.968544, 0.1180784881, 1.246446491e-05
940.255264, 0.1229196744, 1.274147361e-05
940.25936, 0.1229814359, 1.274459993e-05
940.513312, 0.1262600003, 1.288551188e-05
940.517408, 0.1263056494, 1.28869763e-05
940.5256, 0.1263948237, 1.288967529e-05
940.529696, 0.1264399572, 1.289109055e-05
940.754976, 0.1284928507, 1.292925699e-05
940.759072, 0.128523881, 1.292925524e-05
940.99664, 0.1298435554, 1.288596085e-05
941.000736, 0.1298591489, 1.288442473e-05
941.2424, 0.130302027, 1.275279184e-05
941.246496, 0.1303021019, 1.274974572e-05
941.541408, 0.1296137347, 1.247312384e-05
941.545504, 0.1295960887, 1.246840576e-05
941.828128, 0.1276751911, 1.208444403e-05
941.832224, 0.1276390963, 1.207799359e-05
942.12304, 0.124389718, 1.156590975e-05
942.127136, 0.1243356673, 1.155781037e-05
942.364704, 0.120742739, 1.105309562e-05
942.3688, 0.1206725261, 1.104350828e-05
942.426144, 0.1196733299, 1.090847912e-05
942.43024, 0.1196021127, 1.089886234e-05
942.712864, 0.1140250315, 1.018479602e-05
942.71696, 0.1139362423, 1.017360581e-05
943.036448, 0.1063118915, 9.253175389e-06
943.040544, 0.106206798, 9.240605372e-06
943.368224, 0.09703140987, 8.181753221e-06
943.37232, 0.09691052396, 8.167871632e-06
943.65904, 0.08781367431, 7.150564899e-06
943.663136, 0.0876779184, 7.135421745e-06
943.937568, 0.07816143553, 6.09640104e-06
943.941664, 0.07801501322, 6.080429916e-06
944.17104, 0.06946470552, 5.162835318e-06
