time, angle, torque
917.85424, -6.365538058e-05, -8.443565438e-09
918.669344, 0.03672803455, 4.485089948e-06
918.67344, 0.03690738202, 4.506974316e-06
919.275552, 0.06209773616, 7.393465553e-06
919.279648, 0.06226119378, 7.412082127e-06
919.566368, 0.0733134031, 8.629192949e-06
919.570464, 0.07346763676, 8.646103967e-06
919.848992, 0.08348128254, 9.704745436e-06
919.853088, 0.08362339684, 9.719634879e-06
919.975968, 0.08778714933, 1.014809066e-05
919.980064, 0.08792459473, 1.016219211e-05
920.111136, 0.09218851703, 1.059036691e-05
920.115232, 0.09231933934, 1.060342211e-05
920.377376, 0.1002453602, 1.136184085e-05
920.381472, 0.1003647714, 1.137310168e-05
920.63952, 0.1073485862, 1.199708283e-05
920.643616, 0.1074534805, 1.200618991e-05
920.901664, 0.1135693942, 1.250447306e-05
920.90576, 0.1136600594, 1.251152191e-05
921.159712, 0.1187853151, 1.287653124e-05
921.163808, 0.1188632715, 1.288178636e-05
921.405472, 0.122882222, 1.311212675e-05
921.409568, 0.1229446494, 1.31152646e-05
921.651232, 0.1261004913, 1.323105114e-05
921.655328, 0.1261470965, 1.323208721e-05
921.901088, 0.1284485411, 1.323256944e-05
921.905184, 0.1284805937, 1.32317316e-05
922.146848, 0.1298342245, 1.311770479e-05
922.150944, 0.1298509247, 1.311493503e-05
922.392608, 0.130295211, 1.288949474e-05
922.396704, 0.130296229, 1.288480173e-05
922.4008, 0.1302957657, 1.287991267e-05
922.683424, 0.1296424325, 1.247800794e-05
922.68752, 0.129624371, 1.24710345e-05
922.978336, 0.1276573953, 1.190856377e-05
922.982432, 0.1276218348, 1.189959664e-05
923.265056, 0.1244716067, 1.121453992e-05
923.269152, 0.1244174914, 1.120348713e-05
923.56816, 0.1197881366, 1.034022866e-05
923.572256, 0.1197167565, 1.032734873e-05
923.871264, 0.1137999995, 9.33094465e-06
923.87536, 0.1137112128, 9.31627413e-06
924.010528, 0.1106277476, 8.820083707e-06
924.014624, 0.1105307816, 8.804587135e-06
924.170272, 0.1066737446, 8.204270308e-06
924.174368, 0.1065687412, 8.188016389e-06
924.493856, 0.0976814269, 6.877575904e-06
924.497952, 0.09756013568, 6.859809463e-06
924.809248, 0.08772992521, 5.478287542e-06
924.813344, 0.08759332739, 5.459156224e-06
925.067296, 0.07879720046, 4.264210484e-06
925.071392, 0.07864981189, 4.244213456e-06
925.354016, 0.06811806308, 2.860079431e-06
925.358112, 0.06796209038, 2.839584235e-06
925.665312, 0.05574077089, 1.285080673e-06
925.669408, 0.05557366795, 1.263806806e-06
925.96432, 0.0432031689, -2.646560493e-07
925.968416, 0.04302849875, -2.862629187e-07
926.53776, 0.01784478104, -3.236195504e-06
926.541856, 0.01765978881, -3.25794023e-06
926.922784, 0.0002243484562, -5.234885912e-06
926.92688, 3.695869056e-05, -5.256143288e-06
927.844384, -0.04195605267, -9.637558337e-06
927.84848, -0.04213933749, -9.656601888e-06
928.19664, -0.05744827887, -1.118965187e-05
928.200736, -0.05762486572, -1.120722785e-05
928.548896, -0.07226098327, -1.260743886e-05
928.552992, -0.07243206617, -1.262377617e-05
928.860192, -0.08462481607, -1.373376936e-05
928.864288, -0.08478453869, -1.374819304e-05
929.1592, -0.0957250474, -1.468880733e-05
929.163296, -0.09587273001, -1.470129903e-05
929.413152, -0.1044744098, -1.539538768e-05
929.417248, -0.1046092812, -1.540593536e-05
929.462304, -0.1060919294, -1.55214781e-05
929.4664, -0.1062262199, -1.553191292e-05
929.744928, -0.1148566983, -1.616253868e-05
929.749024, -0.114980477, -1.617138979e-05
930.01936, -0.122465524, -1.665638783e-05
930.023456, -0.1225723137, -1.666283752e-05
930.2856, -0.1289335137, -1.700947909e-05
930.289696, -0.1290269474, -1.701408634e-05
930.539552, -0.1342181111, -1.722783765e-05
930.543648, -0.1342960953, -1.723037514e-05
930.801696, -0.1387246072, -1.733005317e-05
930.805792, -0.1387884258, -1.733075507e-05
931.047456, -0.1420447493, -1.731127629e-05
931.051552, -0.142095114, -1.731029449e-05
931.313696, -0.1446296225, -1.716709478e-05
931.317792, -0.1446622676, -1.716392081e-05
931.522592, -0.1459069428, -1.69626684e-05
931.526688, -0.1459234346, -1.695751019e-05
931.559456, -0.1460617412, -1.69174062e-05
931.563552, -0.1460784879, -1.691232581e-05
931.805216, -0.1465671439, -1.656194822e-05
931.809312, -0.1465702482, -1.655531954e-05
931.8216, -0.1465697788, -1.65341531e-05
931.825696, -0.1465694841, -1.652708488e-05
932.10832, -0.1459147063, -1.598093515e-05
932.112416, -0.1458971134, -1.597193897e-05
932.403232, -0.1439303186, -1.526935369e-05
932.407328, -0.1438936051, -1.525826118e-05
932.694048, -0.1406893099, -1.443207207e-05
932.698144, -0.1406347581, -1.441910696e-05
932.993056, -0.1360594109, -1.34400342e-05
932.997152, -0.1359876432, -1.342535296e-05
933.189664, -0.1323199874, -1.271478141e-05
933.19376, -0.1322364339, -1.269894088e-05
933.287968, -0.1302490269, -1.233053741e-05
933.292064, -0.13016179, -1.231442367e-05
933.607456, -0.1226254824, -1.101777175e-05
933.611552, -0.1225196712, -1.099989549e-05
933.918752, -0.1139495818, -9.627913592e-06
933.922848, -0.1138280043, -9.608668611e-06
934.23824, -0.1038608542, -8.104244154e-06
934.242336, -0.1037250067, -8.083875172e-06
934.500384, -0.09476989238, -6.787733739e-06
934.50448, -0.09462340478, -6.766600183e-06
934.787104, -0.08407215254, -5.297677774e-06
934.7912, -0.083916303, -5.276015128e-06
935.086112, -0.07217551945, -3.699932137e-06
935.090208, -0.07201183013, -3.677972121e-06
