time, angle, torque
936.704032, -3.250044948e-05, 9.82160388e-06
937.277472, 0.02613798099, 1.671711775e-05
937.281568, 0.02632131472, 1.676543816e-05
937.687072, 0.04408931591, 2.129536321e-05
937.691168, 0.04426820283, 2.134118587e-05
937.98608, 0.05659755559, 2.439825893e-05
937.990176, 0.05676682794, 2.444023474e-05
938.305568, 0.06924720142, 2.743628829e-05
938.309664, 0.06940397424, 2.747353896e-05
938.387488, 0.07233950628, 2.816413618e-05
938.391584, 0.07249091778, 2.819943357e-05
938.625056, 0.08101655676, 3.016168153e-05
938.629152, 0.08116336016, 3.01952751e-05
938.895392, 0.09017561003, 3.21831736e-05
938.899488, 0.09030870196, 3.221192057e-05
939.1944, 0.09939491565, 3.410890285e-05
939.198496, 0.09951572503, 3.413346335e-05
939.436064, 0.1060579985, 3.540161192e-05
939.44016, 0.1061638952, 3.542107727e-05
939.718688, 0.1128983536, 3.660236594e-05
939.722784, 0.1129894693, 3.661695624e-05
939.964448, 0.1180005473, 3.737276214e-05
939.968544, 0.1180784881, 3.738309547e-05
940.255264, 0.1229196744, 3.793125599e-05
940.25936, 0.1229814359, 3.793645888e-05
940.513312, 0.1262600003, 3.810416444e-05
940.517408, 0.1263056494, 3.81042849e-05
940.5256, 0.1263948237, 3.810380001e-05
940.529696, 0.1264399572, 3.810377589e-05
940.754976, 0.1284928507, 3.798756319e-05
940.759072, 0.128523881, 3.798320411e-05
940.99664, 0.1298435554, 3.760689845e-05
941.000736, 0.1298591489, 3.759785314e-05
941.2424, 0.130302027, 3.694927759e-05
941.246496, 0.1303021019, 3.693564715e-05
941.541408, 0.1296137347, 3.57968423e-05
941.545504, 0.1295960887, 3.577819057e-05
941.828128, 0.1276751911, 3.433089026e-05
941.832224, 0.1276390963, 3.430705346e-05
942.12304, 0.124389718, 3.247389351e-05
942.127136, 0.1243356673, 3.244525106e-05
942.364704, 0.120742739, 3.069535825e-05
942.3688, 0.1206725261, 3.06623903e-05
942.426144, 0.1196733299, 3.019970467e-05
942.43024, 0.1196021127, 3.016676458e-05
942.712864, 0.1140250315, 2.776925322e-05
942.71696, 0.1139362423, 2.773189017e-05
943.036448, 0.1063118915, 2.471692252e-05
943.040544, 0.106206798, 2.467593129e-05
943.368224, 0.09703140987, 2.128520833e-05
943.37232, 0.09691052396, 2.124092076e-05
943.65904, 0.08781367431, 1.804358133e-05
943.663136, 0.0876779184, 1.799612677e-05
943.937568, 0.07816143553, 1.478380527e-05
943.941664, 0.07801501322, 1.473455176e-05
944.17104, 0.06946470552, 1.193507835e-05
944.175136, 0.0693091247, 1.188424669e-05
944.424992, 0.05950001079, 8.766206485e-06
944.429088, 0.05933445333, 8.713617526e-06
944.773152, 0.04503205908, 4.328591819e-06
944.777248, 0.04485699796, 4.274889663e-06
945.412128, 0.01676907495, -3.855815068e-06
945.416224, 0.01658472009, -3.90933918e-06
945.772576, 0.0002120191704, -8.526423318e-06
945.776672, 2.294147224e-05, -8.579898579e-06
946.714656, -0.04294524466, -1.991567529e-05
946.718752, -0.0431285335, -1.996430947e-05
947.124256, -0.06087486394, -2.452707366e-05
947.128352, -0.06105267901, -2.457301017e-05
947.415072, -0.07302666898, -2.75783709e-05
947.419168, -0.07319509166, -2.762062528e-05
947.738656, -0.08582101391, -3.069662103e-05
947.742752, -0.08597787917, -3.073454009e-05
948.058144, -0.09756110221, -3.345588484e-05
948.06224, -0.09770651786, -3.348966829e-05
948.308, -0.1060123196, -3.536139988e-05
948.312096, -0.1061463211, -3.539116183e-05
948.34896, -0.107345072, -3.565640634e-05
948.353056, -0.1074775866, -3.568565288e-05
948.619296, -0.1156375375, -3.742798197e-05
948.623392, -0.1157592781, -3.745356807e-05
948.869152, -0.1225145643, -3.880058254e-05
948.873248, -0.1226208783, -3.882084952e-05
949.131296, -0.1288711252, -3.995641845e-05
949.135392, -0.128962376, -3.997160518e-05
949.39344, -0.1343135316, -4.081345851e-05
949.397536, -0.1343913514, -4.082426901e-05
949.663776, -0.1389073299, -4.136825283e-05
949.667872, -0.1389688648, -4.137374108e-05
949.909536, -0.142163425, -4.157730038e-05
949.913632, -0.1422111245, -4.157841253e-05
950.17168, -0.1446661903, -4.149792721e-05
950.175776, -0.1446979507, -4.149402559e-05
950.302752, -0.1455252087, -4.132916226e-05
950.306848, -0.1455481327, -4.132248243e-05
950.41744, -0.1460616819, -4.111469902e-05
950.421536, -0.1460784345, -4.110620078e-05
950.6632, -0.146534193, -4.046537537e-05
950.667296, -0.1465347012, -4.045190293e-05
950.675488, -0.1465328283, -4.042395652e-05
950.679584, -0.1465333986, -4.041056713e-05
950.962208, -0.145864852, -3.931134551e-05
950.966304, -0.1458467735, -3.929240616e-05
951.253024, -0.1439052995, -3.781424322e-05
951.25712, -0.1438684594, -3.778989779e-05
951.547936, -0.1406140615, -3.593384518e-05
951.552032, -0.1405602907, -3.590495659e-05
951.85104, -0.1359179886, -3.365392075e-05
951.855136, -0.1358467799, -3.362051099e-05
952.07632, -0.1315754198, -3.173108142e-05
952.080416, -0.1314890446, -3.16936428e-05
952.150048, -0.1299973469, -3.105590791e-05
952.154144, -0.1299091061, -3.101828503e-05
952.436768, -0.1231906499, -2.83123914e-05
952.440864, -0.1230866236, -2.827103407e-05
952.764448, -0.1141118331, -2.489011407e-05
952.768544, -0.1139921089, -2.484543197e-05
953.063456, -0.1047448057, -2.153889619e-05
953.067552, -0.1046083247, -2.149042701e-05
953.575456, -0.08649942571, -1.544882714e-05
953.579552, -0.08634408618, -1.539729034e-05
953.882656, -0.07441515781, -1.157172692e-05
953.886752, -0.07425061059, -1.151908662e-05
954.18576, -0.06180869456, -7.66026362e-06
954.189856, -0.06163356798, -7.605971586e-06
954.742816, -0.03729305078, -4.514614588e-07
954.746912, -0.03710802472, -3.9699904e-07
955.549728, -0.0002103343466, 9.751036713e-06
