time, angle, torque
955.553824, -1.967678897e-05, 5.851027889e-06
956.127264, 0.02615170928, 9.182224529e-06
956.13136, 0.02633579002, 9.205691612e-06
956.54096, 0.04428261641, 1.140531334e-05
956.545056, 0.04446009326, 1.142708575e-05
956.835872, 0.05661371881, 1.286926075e-05
956.839968, 0.05678212192, 1.288920265e-05
957.15536, 0.06926263575, 1.43122713e-05
957.159456, 0.06941974193, 1.433004238e-05
957.478944, 0.08117325351, 1.560478009e-05
957.48304, 0.08131887808, 1.562038779e-05
957.745184, 0.09018382422, 1.652903315e-05
957.74928, 0.09031753451, 1.654251596e-05
958.044192, 0.09939729152, 1.740732899e-05
958.048288, 0.09951870901, 1.741863622e-05
958.269472, 0.1056349714, 1.795128236e-05
958.273568, 0.1057425448, 1.796027256e-05
958.277664, 0.1058494959, 1.796916322e-05
958.28176, 0.1059558281, 1.797795487e-05
958.56848, 0.1128981403, 1.850385286e-05
958.572576, 0.1129893047, 1.851012621e-05
958.81424, 0.11799485, 1.881711196e-05
958.818336, 0.1180718384, 1.882109355e-05
959.10096, 0.1228474127, 1.901018319e-05
959.105056, 0.122908909, 1.901172155e-05
959.359008, 0.1262051804, 1.902896891e-05
959.363104, 0.1262507087, 1.90280571e-05
959.61296, 0.128542393, 1.890289796e-05
959.617056, 0.1285735515, 1.889984903e-05
959.854624, 0.1298598539, 1.865088413e-05
959.85872, 0.1298748147, 1.864547631e-05
960.088096, 0.1302844046, 1.828729033e-05
960.092192, 0.1302858158, 1.827998933e-05
960.100384, 0.130284269, 1.826472428e-05
960.10448, 0.1302843039, 1.825722226e-05
960.387104, 0.1296132568, 1.765711494e-05
960.3912, 0.1295953047, 1.764716642e-05
960.686112, 0.1275812414, 1.684871784e-05
960.690208, 0.1275440109, 1.683623112e-05
960.976928, 0.1243134, 1.589890039e-05
960.981024, 0.1242580648, 1.588414011e-05
961.284128, 0.1195066916, 1.473296905e-05
961.288224, 0.1194358994, 1.471645847e-05
961.411104, 0.1171268916, 1.420035349e-05
961.4152, 0.1170451845, 1.418245538e-05
961.587232, 0.113463532, 1.34232224e-05
961.591328, 0.1133742618, 1.340457749e-05
961.890336, 0.1061847111, 1.198989954e-05
961.894432, 0.1060784882, 1.196941461e-05
962.226208, 0.09676501487, 1.026631468e-05
962.230304, 0.09664306854, 1.024431231e-05
962.512928, 0.08765558258, 8.688150487e-06
962.517024, 0.08751946222, 8.664779615e-06
962.783264, 0.07828490138, 7.131415349e-06
962.78736, 0.07813866147, 7.107255343e-06
963.020832, 0.06944152431, 5.710327238e-06
963.024928, 0.06928459651, 5.685215102e-06
963.270688, 0.05964311877, 4.182593081e-06
963.274784, 0.05947830155, 4.156972314e-06
963.618848, 0.04518539807, 2.011621012e-06
963.622944, 0.04501147683, 1.985550588e-06
964.26192, 0.01674758716, -2.006549354e-06
964.266016, 0.01656282031, -2.032688034e-06
964.622368, 0.0001923755713, -4.277553301e-06
964.626464, 4.01890867e-06, -4.30341782e-06
965.564448, -0.04296568747, -9.754143185e-06
965.568544, -0.04314893754, -9.777458709e-06
965.974048, -0.06089515498, -1.195079431e-05
965.978144, -0.06107136759, -1.197236903e-05
966.260768, -0.07287302507, -1.337323785e-05
966.264864, -0.07304268235, -1.339338332e-05
966.584352, -0.08567905367, -1.483470395e-05
966.588448, -0.08583642428, -1.485252756e-05
966.907936, -0.09757236329, -1.612572046e-05
966.912032, -0.09771817895, -1.614137362e-05
967.198752, -0.1073541153, -1.712529309e-05
967.202848, -0.1074864831, -1.71385618e-05
967.346208, -0.1119695339, -1.757453902e-05
967.350304, -0.1120923182, -1.758618283e-05
967.469088, -0.1156457916, -1.791946218e-05
967.473184, -0.1157666069, -1.793069447e-05
967.706656, -0.1222034507, -1.849042802e-05
967.710752, -0.1223111664, -1.84994483e-05
967.981088, -0.1288742518, -1.899929097e-05
967.985184, -0.1289659583, -1.900566489e-05
968.243232, -0.1343137311, -1.933444331e-05
968.247328, -0.1343908722, -1.933845448e-05
968.513568, -0.138904535, -1.95191521e-05
968.517664, -0.1389658682, -1.952066455e-05
968.763424, -0.1422084178, -1.954511505e-05
968.76752, -0.1422550229, -1.954435993e-05
969.017376, -0.144626912, -1.943052219e-05
969.021472, -0.1446583725, -1.942749594e-05
969.144352, -0.1454703794, -1.931831368e-05
969.148448, -0.1454928773, -1.931396611e-05
969.271328, -0.1460689332, -1.917064073e-05
969.275424, -0.1460841184, -1.916524247e-05
969.508896, -0.1465245143, -1.880280324e-05
969.512992, -0.1465246686, -1.879527601e-05
969.529376, -0.1465227146, -1.876483393e-05
969.533472, -0.1465219691, -1.875718842e-05
969.742368, -0.146130172, -1.832401713e-05
969.746464, -0.1461160061, -1.831453255e-05
969.959456, -0.1450186459, -1.777973009e-05
969.963552, -0.1449914168, -1.77685174e-05
970.168352, -0.1432711024, -1.716759334e-05
970.172448, -0.1432309823, -1.715471778e-05
970.389536, -0.1407076478, -1.643023863e-05
970.393632, -0.140654714, -1.641578076e-05
970.614816, -0.137367432, -1.559106719e-05
970.618912, -0.1372997689, -1.557479241e-05
970.85648, -0.1329664771, -1.459569648e-05
970.860576, -0.1328869411, -1.457812553e-05
970.926112, -0.1315572839, -1.42904864e-05
970.930208, -0.131470739, -1.427200406e-05
971.28656, -0.1231722342, -1.261486407e-05
971.290656, -0.1230677882, -1.259451663e-05
971.61424, -0.1140931994, -1.093776699e-05
971.618336, -0.1139729595, -1.091586627e-05
971.905056, -0.1049965429, -9.347874069e-06
971.909152, -0.1048612748, -9.324482472e-06
972.257312, -0.09274739311, -7.31847743e-06
972.261408, -0.09259903765, -7.294072663e-06
972.580896, -0.08045489857, -5.368955346e-06
