time, angle, torque
955.553824, -1.967678897e-05, 2.338313292e-06
956.127264, 0.02615170928, 3.946989836e-06
956.13136, 0.02633579002, 3.958517423e-06
956.54096, 0.04428261641, 5.058166947e-06
956.545056, 0.04446009326, 5.069220939e-06
956.835872, 0.05661371881, 5.811438083e-06
956.839968, 0.05678212192, 5.821827486e-06
957.15536, 0.06926263575, 6.574154408e-06
957.159456, 0.06941974193, 6.583684581e-06
957.478944, 0.08117325351, 7.277460642e-06
957.48304, 0.08131887808, 7.286080977e-06
957.745184, 0.09018382422, 7.794564351e-06
957.74928, 0.09031753451, 7.802204763e-06
958.044192, 0.09939729152, 8.299893309e-06
958.048288, 0.09951870901, 8.306493264e-06
958.269472, 0.1056349714, 8.622278301e-06
958.273568, 0.1057425448, 8.627684756e-06
958.277664, 0.1058494959, 8.633037839e-06
958.28176, 0.1059558281, 8.638337351e-06
958.56848, 0.1128981403, 8.962370261e-06
958.572576, 0.1129893047, 8.966343127e-06
958.81424, 0.11799485, 9.166903884e-06
958.818336, 0.1180718384, 9.169636213e-06
959.10096, 0.1228474127, 9.311409262e-06
959.105056, 0.122908909, 9.312798403e-06
959.359008, 0.1262051804, 9.355666088e-06
959.363104, 0.1262507087, 9.355690251e-06
959.61296, 0.128542393, 9.318639299e-06
959.617056, 0.1285735515, 9.317474521e-06
959.854624, 0.1298598539, 9.209842354e-06
959.85872, 0.1298748147, 9.207365971e-06
960.088096, 0.1302844046, 9.038298534e-06
960.092192, 0.1302858158, 9.034782812e-06
960.100384, 0.130284269, 9.02737894e-06
960.10448, 0.1302843039, 9.023751827e-06
960.387104, 0.1296132568, 8.729018904e-06
960.3912, 0.1295953047, 8.724076626e-06
960.686112, 0.1275812414, 8.324920961e-06
960.690208, 0.1275440109, 8.318647909e-06
960.976928, 0.1243134, 7.847817963e-06
960.981024, 0.1242580648, 7.8404038e-06
961.284128, 0.1195066916, 7.263962427e-06
961.288224, 0.1194358994, 7.255740855e-06
961.411104, 0.1171268916, 6.998818845e-06
961.4152, 0.1170451845, 6.989926257e-06
961.587232, 0.113463532, 6.614024533e-06
961.591328, 0.1133742618, 6.604834216e-06
961.890336, 0.1061847111, 5.910849416e-06
961.894432, 0.1060784882, 5.900883765e-06
962.226208, 0.09676501487, 5.077274308e-06
962.230304, 0.09664306854, 5.066745361e-06
962.512928, 0.08765558258, 4.325420412e-06
962.517024, 0.08751946222, 4.314387367e-06
962.783264, 0.07828490138, 3.593304978e-06
962.78736, 0.07813866147, 3.582036303e-06
963.020832, 0.06944152431, 2.93203872e-06
963.024928, 0.06928459651, 2.920428718e-06
963.270688, 0.05964311877, 2.226879993e-06
963.274784, 0.05947830155, 2.215121615e-06
963.618848, 0.04518539807, 1.230653544e-06
963.622944, 0.04501147683, 1.218757292e-06
964.26192, 0.01674758716, -6.151502607e-07
964.266016, 0.01656282031, -6.271499036e-07
964.622368, 0.0001923755713, -1.666898597e-06
964.626464, 4.01890867e-06, -1.678935567e-06
965.564448, -0.04296568747, -4.300562323e-06
965.568544, -0.04314893754, -4.312116146e-06
965.974048, -0.06089515498, -5.410223158e-06
965.978144, -0.06107136759, -5.421315887e-06
966.260768, -0.07287302507, -6.152217856e-06
966.264864, -0.07304268235, -6.162863923e-06
966.584352, -0.08567905367, -6.937720613e-06
966.588448, -0.08583642428, -6.947455226e-06
966.907936, -0.09757236329, -7.654792354e-06
966.912032, -0.09771817895, -7.663629045e-06
967.198752, -0.1073541153, -8.228463661e-06
967.202848, -0.1074864831, -8.236198368e-06
967.346208, -0.1119695339, -8.492720437e-06
967.350304, -0.1120923182, -8.499642541e-06
967.469088, -0.1156457916, -8.698823184e-06
967.473184, -0.1157666069, -8.705578632e-06
967.706656, -0.1222034507, -9.048552321e-06
967.710752, -0.1223111664, -9.054168566e-06
967.981088, -0.1288742518, -9.373892299e-06
967.985184, -0.1289659583, -9.378094158e-06
968.243232, -0.1343137311, -9.603321609e-06
968.247328, -0.1343908722, -9.606229313e-06
968.513568, -0.138904535, -9.750753234e-06
968.517664, -0.1389658682, -9.752260713e-06
968.763424, -0.1422084178, -9.805382493e-06
968.76752, -0.1422550229, -9.805603195e-06
969.017376, -0.144626912, -9.78065224e-06
969.021472, -0.1446583725, -9.779578948e-06
969.144352, -0.1454703794, -9.736878967e-06
969.148448, -0.1454928773, -9.735045944e-06
969.271328, -0.1460689332, -9.672899726e-06
969.275424, -0.1460841184, -9.670475317e-06
969.508896, -0.1465245143, -9.501368592e-06
969.512992, -0.1465246686, -9.497740101e-06
969.529376, -0.1465227146, -9.483040786e-06
