time, displacement, force
0.612384, 0, -1.190467066e-19
4.556832, 0, -1.190467066e-19
4.560928, 0, -1.190467066e-19
5.9208, 0, -1.190467066e-19
5.924896, 0, -1.190467066e-19
10.680352, 0, -1.190467066e-19
10.684448, 0, -1.190467066e-19
12.773408, 0, -1.190467066e-19
12.777504, -3.90625e-11, -1.411627592e-09
12.82256, -6.09765625e-08, -2.197487476e-06
12.826656, -7.28515625e-08, -2.626269691e-06
12.830752, -8.47265625e-08, -3.054747695e-06
12.834848, -9.66015625e-08, -3.483117466e-06
12.871712, -3.18125e-07, -1.146560949e-05
12.875808, -3.463671875e-07, -1.248496436e-05
12.908576, -6.699609375e-07, -2.414194358e-05
12.912672, -7.14609375e-07, -2.575152834e-05
12.94544, -1.178867188e-06, -4.247894585e-05
12.949536, -1.243515625e-06, -4.481060436e-05
