time, angle, torque
917.85424, -6.365538058e-05, -2.17574456e-08
918.669344, 0.03672803455, 1.099389211e-05
918.67344, 0.03690738202, 1.104783894e-05
919.275552, 0.06209773616, 1.795820435e-05
919.279648, 0.06226119378, 1.80030232e-05
919.566368, 0.0733134031, 2.089217446e-05
919.570464, 0.07346763676, 2.09324207e-05
919.848992, 0.08348128254, 2.341618889e-05
919.853088, 0.08362339684, 2.345110149e-05
919.975968, 0.08778714933, 2.444891078e-05
919.980064, 0.08792459473, 2.448177773e-05
920.111136, 0.09218851703, 2.547132165e-05
920.115232, 0.09231933934, 2.550145423e-05
920.377376, 0.1002453602, 2.722776346e-05
920.381472, 0.1003647714, 2.725328425e-05
920.63952, 0.1073485862, 2.86406202e-05
920.643616, 0.1074534805, 2.866056893e-05
920.901664, 0.1135693942, 2.97288394e-05
920.90576, 0.1136600594, 2.974350732e-05
921.159712, 0.1187853151, 3.047697817e-05
921.163808, 0.1188632715, 3.048712662e-05
921.405472, 0.122882222, 3.088842668e-05
921.409568, 0.1229446494, 3.08931401e-05
921.651232, 0.1261004913, 3.100513564e-05
921.655328, 0.1261470965, 3.100446938e-05
921.901088, 0.1284485411, 3.082336861e-05
921.905184, 0.1284805937, 3.081799759e-05
922.146848, 0.1298342245, 3.035270935e-05
922.150944, 0.1298509247, 3.034249284e-05
922.392608, 0.130295211, 2.960010739e-05
922.396704, 0.130296229, 2.958510047e-05
922.4008, 0.1302957657, 2.956955015e-05
922.683424, 0.1296424325, 2.836483802e-05
922.68752, 0.129624371, 2.834419264e-05
922.978336, 0.1276573953, 2.6744283e-05
922.982432, 0.1276218348, 2.671888468e-05
923.265056, 0.1244716067, 2.483497352e-05
923.269152, 0.1244174914, 2.480462725e-05
923.56816, 0.1197881366, 2.249431581e-05
923.572256, 0.1197167565, 2.245987279e-05
923.871264, 0.1137999995, 1.985393787e-05
923.87536, 0.1137112128, 1.981558904e-05
924.010528, 0.1106277476, 1.85307648e-05
924.014624, 0.1105307816, 1.849065683e-05
924.170272, 0.1066737446, 1.695361968e-05
924.174368, 0.1065687412, 1.691203061e-05
924.493856, 0.0976814269, 1.362715131e-05
924.497952, 0.09756013568, 1.358263545e-05
924.809248, 0.08772992521, 1.018722479e-05
924.813344, 0.08759332739, 1.014020537e-05
925.067296, 0.07879720046, 7.24987285e-06
925.071392, 0.07864981189, 7.201498488e-06
925.354016, 0.06811806308, 3.9108204e-06
925.358112, 0.06796209038, 3.862147124e-06
925.665312, 0.05574077089, 2.326875408e-07
925.669408, 0.05557366795, 1.830113292e-07
925.96432, 0.0432031689, -3.326655358e-06
925.968416, 0.04302849875, -3.376279675e-06
926.53776, 0.01784478104, -9.954918468e-06
926.541856, 0.01765978881, -1.000353578e-05
926.922784, 0.0002243484562, -1.434015068e-05
926.92688, 3.695869056e-05, -1.438682923e-05
927.844384, -0.04195605267, -2.369504578e-05
927.84848, -0.04213933749, -2.373570059e-05
928.19664, -0.05744827887, -2.696778636e-05
928.200736, -0.05762486572, -2.700483679e-05
928.548896, -0.07226098327, -2.992660765e-05
928.552992, -0.07243206617, -2.996092365e-05
928.860192, -0.08462481607, -3.225309301e-05
928.864288, -0.08478453869, -3.228290323e-05
929.1592, -0.0957250474, -3.420170398e-05
929.163296, -0.09587273001, -3.422703203e-05
929.413152, -0.1044744098, -3.562032542e-05
929.417248, -0.1046092812, -3.564104876e-05
929.462304, -0.1060919294, -3.586911368e-05
929.4664, -0.1062262199, -3.588970275e-05
929.744928, -0.1148566983, -3.712215286e-05
