time, displacement, force
149.633056, 2.9359375e-07, -0.01159418834
149.66992, -1.186953125e-06, -0.01172521025
149.674016, -1.349140625e-06, -0.01173934007
149.97712, -1.387984375e-05, -0.01286577795
149.981216, -1.404664063e-05, -0.01288050439
150.07952, -1.7781875e-05, -0.01318479233
150.083616, -1.793789063e-05, -0.01319753106
150.226976, -2.319164063e-05, -0.01360571152
150.231072, -2.334125e-05, -0.01361727347
150.308896, -2.638027344e-05, -0.01387215751
150.312992, -2.653886719e-05, -0.01388532025
150.38672, -2.957453125e-05, -0.01415437006
150.390816, -2.974332031e-05, -0.01416933732
150.595616, -3.845753906e-05, -0.01496027537
150.599712, -3.863074219e-05, -0.01497589506
150.69392, -4.240753906e-05, -0.01529666185
150.698016, -4.257214844e-05, -0.01531068079
150.824992, -4.740234375e-05, -0.01569520621
150.829088, -4.755375e-05, -0.01570680853
150.861856, -4.883011719e-05, -0.01581145566
150.865952, -4.898652344e-05, -0.01582396411
150.902816, -5.045429688e-05, -0.0159474111
150.906912, -5.061429688e-05, -0.01596056466
151.119904, -5.950167969e-05, -0.01674241861
151.124, -5.967628906e-05, -0.01675814647
151.218208, -6.352222656e-05, -0.01708795642
151.222304, -6.369023438e-05, -0.01710244896
151.296032, -6.650324219e-05, -0.01732460382
151.300128, -6.666207031e-05, -0.01733741872
151.447584, -7.202847656e-05, -0.01773546669
151.45168, -7.217550781e-05, -0.01774616288
151.545888, -7.579167969e-05, -0.01803521493
151.549984, -7.595128906e-05, -0.01804823214
151.627808, -7.915738281e-05, -0.01832695792
151.631904, -7.932679688e-05, -0.01834176167
151.832608, -8.789792969e-05, -0.01911190639
151.836704, -8.807292969e-05, -0.01912767909
151.939104, -9.222238281e-05, -0.01947974116
151.9432, -9.238835938e-05, -0.01949384351
152.08656, -9.790359375e-05, -0.0199332827
152.090656, -9.805796875e-05, -0.01994527089
152.143904, -0.0001001760156, -0.02012174847
152.148, -0.000100335625, -0.02013471786
152.4552, -0.0001130872266, -0.02124727059
152.459296, -0.0001132568359, -0.0212621161
152.553504, -0.0001168930469, -0.02155423321
152.5576, -0.0001170512109, -0.02156697233
152.709152, -0.0001225803906, -0.02197997757
152.713248, -0.0001227283984, -0.02199090918
152.725536, -0.0001231851172, -0.02202611528
152.729632, -0.0001233346875, -0.02203735175
152.807456, -0.0001263622266, -0.02228610912
152.811552, -0.0001265210156, -0.02229911999
152.889376, -0.0001297172656, -0.02258009759
152.893472, -0.0001298860547, -0.02259501955
153.094176, -0.0001383896094, -0.02336817915
153.098272, -0.0001385630078, -0.02338401434
153.176096, -0.0001416973828, -0.02365442027
153.180192, -0.0001418633984, -0.02366888212
153.327648, -0.0001474927344, -0.02412487403
