time, angle, torque
1012.918304, -4.885092978e-05, 6.021578327e-06
1014.020128, 0.0508058097, 1.922685935e-05
1014.024224, 0.05099231852, 1.927681547e-05
1014.564896, 0.07531097635, 2.576821983e-05
1014.568992, 0.07549371075, 2.581780356e-05
1015.003168, 0.0945564913, 3.096086676e-05
1015.007264, 0.09473222006, 3.100876424e-05
1015.117856, 0.09951331048, 3.231189598e-05
1015.121952, 0.09969230337, 3.236093821e-05
1015.703584, 0.1241943439, 3.898241805e-05
1015.70768, 0.1243630794, 3.902858027e-05
1016.313888, 0.1486024677, 4.555434162e-05
1016.317984, 0.148762154, 4.55977282e-05
1016.809504, 0.1672771256, 5.054213635e-05
1016.8136, 0.1674271111, 5.058228846e-05
1017.317408, 0.1851983789, 5.525202912e-05
1017.321504, 0.1853404497, 5.528952757e-05
1017.89904, 0.2040653724, 6.008830733e-05
1017.903136, 0.2041920716, 6.012044553e-05
1018.525728, 0.2222019382, 6.456637507e-05
1018.529824, 0.2223147598, 6.459380532e-05
1019.12784, 0.237318877, 6.810470513e-05
1019.131936, 0.2374143162, 6.812620085e-05
1019.49648, 0.2454017726, 6.988048197e-05
1019.500576, 0.2454865967, 6.989844001e-05
1019.672608, 0.2489397116, 7.062003795e-05
1019.676704, 0.2490209672, 7.063691899e-05
1020.23376, 0.2587713915, 7.25405722e-05
1020.237856, 0.2588363434, 7.255217483e-05
1020.794912, 0.2663221016, 7.374027944e-05
1020.799008, 0.2663694475, 7.374627049e-05
1021.327392, 0.2713619713, 7.422126559e-05
1021.331488, 0.2713927898, 7.42221656e-05
1021.4216, 0.2720254183, 7.42289157e-05
1021.425696, 0.2720533548, 7.422895954e-05
1021.876256, 0.2743183793, 7.402929269e-05
1021.880352, 0.274332569, 7.402528973e-05
1022.306336, 0.2750459215, 7.341727909e-05
1022.310432, 0.2750465406, 7.34093519e-05
1022.433312, 0.2749923468, 7.315284263e-05
1022.437408, 0.2749901643, 7.314423128e-05
1022.982176, 0.2733482504, 7.165728935e-05
1022.986272, 0.2733280004, 7.164359824e-05
1023.518752, 0.2695446776, 6.959900992e-05
1023.522848, 0.2695067079, 6.95805552e-05
1023.543328, 0.2693180107, 6.94889178e-05
1023.547424, 0.2692815592, 6.947106171e-05
1024.10448, 0.2629395801, 6.672050779e-05
1024.108576, 0.2628849563, 6.669802355e-05
1024.669728, 0.2541767978, 6.336435923e-05
1024.673824, 0.2541055977, 6.333803527e-05
1025.202208, 0.2438681303, 5.973764405e-05
1025.206304, 0.2437810107, 5.970780919e-05
1025.74288, 0.2314031335, 5.563443394e-05
1025.746976, 0.2313000011, 5.560127664e-05
1026.074656, 0.2227958544, 5.292209091e-05
1026.078752, 0.2226862809, 5.288799767e-05
1026.422816, 0.2130488396, 4.994889109e-05
1026.426912, 0.2129292693, 4.991288192e-05
1027.01264, 0.1948571699, 4.462860201e-05
1027.016736, 0.1947253503, 4.45907549e-05
1027.631136, 0.1737153537, 3.871583338e-05
1027.635232, 0.1735692289, 3.867563706e-05
1028.286496, 0.1492696151, 3.21418477e-05
1028.290592, 0.1491120574, 3.210004796e-05
1028.859936, 0.1263694244, 2.616001227e-05
1028.864032, 0.1261999843, 2.611610952e-05
1028.986912, 0.1211311165, 2.480634633e-05
1028.991008, 0.1209622997, 2.476278491e-05
1029.564448, 0.09662682878, 1.855016887e-05
1029.568544, 0.09645040221, 1.850525422e-05
1030.260768, 0.06587260971, 1.078169567e-05
1030.264864, 0.06569001155, 1.073543454e-05
1030.940704, 0.03494812322, 2.969271315e-06
1030.9448, 0.03476096404, 2.921543941e-06
1031.694368, 9.819705713e-05, -5.919588284e-06
1031.698464, -9.057745134e-05, -5.968547294e-06
1032.759328, -0.04901409958, -1.866120006e-05
1032.763424, -0.04920125445, -1.871124187e-05
1033.304096, -0.07363549484, -2.522627298e-05
1033.308192, -0.07381959925, -2.527619763e-05
1033.68912, -0.09066458087, -2.982233511e-05
1033.693216, -0.09084633932, -2.98720214e-05
1033.865248, -0.09835653142, -3.191666611e-05
1033.869344, -0.09853406642, -3.196521191e-05
1034.434592, -0.1225472244, -3.84640633e-05
1034.438688, -0.1227185928, -3.851108533e-05
1035.036704, -0.1469233812, -4.504642328e-05
1035.0408, -0.147085702, -4.509072353e-05
1035.528224, -0.1657358993, -5.009435132e-05
1035.53232, -0.1658882508, -5.013535046e-05
1036.040224, -0.1841441745, -5.496253189e-05
1036.04432, -0.184286338, -5.500005457e-05
1036.593184, -0.2025200695, -5.971572606e-05
1036.59728, -0.2026491977, -5.974871517e-05
1037.21168, -0.221026924, -6.434561233e-05
1037.215776, -0.2211416694, -6.437365448e-05
1037.821984, -0.237000852, -6.815485587e-05
1037.82608, -0.2371000131, -6.817761166e-05
1038.149664, -0.2445847141, -6.986690709e-05
1038.15376, -0.2446772491, -6.988757506e-05
1038.383136, -0.2495413872, -7.093782958e-05
1038.387232, -0.249625389, -7.095557293e-05
1038.44048, -0.2507090709, -7.118394208e-05
1038.444576, -0.2507923446, -7.120150191e-05
