time, angle, torque
955.553824, -1.967678897e-05, 1.031749438e-06
956.127264, 0.02615170928, 3.775779151e-06
956.13136, 0.02633579002, 3.794602406e-06
956.54096, 0.04428261641, 5.668402863e-06
956.545056, 0.04446009326, 5.686629184e-06
956.835872, 0.05661371881, 6.946899655e-06
956.839968, 0.05678212192, 6.963912155e-06
957.15536, 0.06926263575, 8.257888335e-06
957.159456, 0.06941974193, 8.273328643e-06
957.478944, 0.08117325351, 9.486495947e-06
957.48304, 0.08131887808, 9.500663408e-06
957.745184, 0.09018382422, 1.040533e-05
957.74928, 0.09031753451, 1.041814616e-05
958.044192, 0.09939729152, 1.13448741e-05
958.048288, 0.09951870901, 1.135645696e-05
958.269472, 0.1056349714, 1.196719609e-05
958.273568, 0.1057425448, 1.197691791e-05
958.277664, 0.1058494959, 1.19865312e-05
958.28176, 0.1059558281, 1.199603826e-05
958.56848, 0.1128981403, 1.269007122e-05
958.572576, 0.1129893047, 1.269771713e-05
958.81424, 0.11799485, 1.318262455e-05
958.818336, 0.1180718384, 1.318861299e-05
959.10096, 0.1228474127, 1.363866644e-05
959.105056, 0.122908909, 1.364299133e-05
959.359008, 0.1262051804, 1.393089431e-05
959.363104, 0.1262507087, 1.393335759e-05
959.61296, 0.128542393, 1.410965583e-05
959.617056, 0.1285735515, 1.411071845e-05
959.854624, 0.1298598539, 1.417625001e-05
959.85872, 0.1298748147, 1.417531516e-05
960.088096, 0.1302844046, 1.414476887e-05
960.092192, 0.1302858158, 1.414254215e-05
960.100384, 0.130284269, 1.413714769e-05
960.10448, 0.1302843039, 1.413477526e-05
960.387104, 0.1296132568, 1.397467127e-05
960.3912, 0.1295953047, 1.396998562e-05
960.686112, 0.1275812414, 1.365147203e-05
960.690208, 0.1275440109, 1.364438705e-05
960.976928, 0.1243134, 1.319040958e-05
960.981024, 0.1242580648, 1.318129336e-05
961.284128, 0.1195066916, 1.255741217e-05
961.288224, 0.1194358994, 1.254711773e-05
961.411104, 0.1171268916, 1.223835007e-05
961.4152, 0.1170451845, 1.222674228e-05
961.587232, 0.113463532, 1.177541882e-05
961.591328, 0.1133742618, 1.176356746e-05
961.890336, 0.1061847111, 1.089450455e-05
961.894432, 0.1060784882, 1.088041516e-05
962.226208, 0.09676501487, 9.77374649e-06
962.230304, 0.09664306854, 9.75813969e-06
962.512928, 0.08765558258, 8.701109591e-06
962.517024, 0.08751946222, 8.684169997e-06
962.783264, 0.07828490138, 7.618435628e-06
