time, angle, torque
1050.617888, 9.395505355e-05, 2.527540017e-05
1051.580448, 0.04442947504, 3.338764373e-05
1051.584544, 0.04461878187, 3.342352166e-05
1052.125216, 0.06905851267, 3.795753716e-05
1052.129312, 0.06924320162, 3.799302963e-05
1052.686368, 0.09380496086, 4.271646999e-05
1052.690464, 0.09398319798, 4.275218961e-05
1052.846112, 0.1007019053, 4.410266558e-05
1052.850208, 0.100876448, 4.413793481e-05
1053.259808, 0.1182112537, 4.773759911e-05
1053.263904, 0.1183813415, 4.777405511e-05
1053.86192, 0.1426279393, 5.320530977e-05
1053.866016, 0.1427901001, 5.324380236e-05
1054.341152, 0.1610216406, 5.773203153e-05
1054.345248, 0.1611750204, 5.777155635e-05
1054.849056, 0.1793601524, 6.266877064e-05
1054.853152, 0.1795035461, 6.270922378e-05
1055.39792, 0.1977056162, 6.810083241e-05
1055.402016, 0.197837078, 6.814154081e-05
1056.008224, 0.2161224714, 7.41013747e-05
1056.01232, 0.2162392857, 7.414090282e-05
1056.581664, 0.231359274, 7.946999926e-05
1056.58576, 0.2314618925, 7.950708128e-05
1057.114144, 0.2436165372, 8.40030027e-05
1057.11824, 0.243704302, 8.403550025e-05
1057.20016, 0.2454125553, 8.466299852e-05
1057.204256, 0.245497009, 8.469400573e-05
1057.601568, 0.2531594943, 8.755039507e-05
1057.605664, 0.2532318364, 8.757621872e-05
1058.170912, 0.2621680337, 9.077614102e-05
1058.175008, 0.2622248208, 9.079447345e-05
1058.6952, 0.2683926631, 9.26307242e-05
1058.699296, 0.2684331522, 9.263947144e-05
1058.916384, 0.2704096785, 9.302112321e-05
1058.92048, 0.2704428796, 9.302523392e-05
1059.252256, 0.2727654707, 9.318111996e-05
1059.256352, 0.272789506, 9.317945218e-05
1059.55536, 0.2741666676, 9.284469204e-05
1059.559456, 0.2741819377, 9.283724338e-05
1059.86256, 0.2748742272, 9.202404948e-05
1059.866656, 0.274879101, 9.200941361e-05
1060.010016, 0.2749589897, 9.144478574e-05
1060.014112, 0.2749595912, 9.142728903e-05
1060.165664, 0.2748703633, 9.071353315e-05
1060.16976, 0.2748664127, 9.069299704e-05
1060.47696, 0.2741395632, 8.89043082e-05
1060.481056, 0.2741253521, 8.88767872e-05
1060.792352, 0.2726527378, 8.657913401e-05
1060.796448, 0.2726288363, 8.654530236e-05
1061.103648, 0.2704474842, 8.381357121e-05
1061.107744, 0.270414628, 8.377427394e-05
1061.414944, 0.2675125521, 8.060775892e-05
1061.41904, 0.2674706878, 8.056329231e-05
1061.472288, 0.2669009305, 7.996936603e-05
1061.476384, 0.2668554632, 7.992246531e-05
1061.701664, 0.264178393, 7.728282818e-05
1061.70576, 0.264127397, 7.723332866e-05
1062.250528, 0.2561267837, 7.020225162e-05
1062.254624, 0.2560573495, 7.01434846e-05
1062.574112, 0.2503636743, 6.554988225e-05
1062.578208, 0.2502866013, 6.548888446e-05
1062.897696, 0.2438677387, 6.065019611e-05
1062.901792, 0.243780354, 6.058562757e-05
1063.172128, 0.2377950894, 5.633531151e-05
1063.176224, 0.2377009552, 5.626958469e-05
1063.54896, 0.2286284239, 5.027375085e-05
1063.553056, 0.2285252988, 5.020720735e-05
1063.888928, 0.2195963494, 4.472635251e-05
1063.893024, 0.2194844783, 4.46592396e-05
1064.212512, 0.2103097962, 3.941301322e-05
1064.216608, 0.2101891653, 3.934560258e-05
1064.79824, 0.1919605503, 3.002032412e-05
1064.802336, 0.1918257149, 2.995423582e-05
1065.424928, 0.1702750284, 2.037539759e-05
1065.429024, 0.1701286113, 2.031347659e-05
1066.076192, 0.1457153714, 1.099347314e-05
1066.080288, 0.1455566467, 1.093598328e-05
1066.407968, 0.1325022236, 6.447889898e-06
