time, displacement, force
0.612384, 0, -4.761868265e-19
4.556832, 0, -4.761868265e-19
4.560928, 0, -4.761868265e-19
5.9208, 0, -4.761868265e-19
5.924896, 0, -4.761868265e-19
10.680352, 0, -4.761868265e-19
10.684448, 0, -4.761868265e-19
12.773408, 0, -4.761868265e-19
12.777504, -3.90625e-11, -6.895285952e-09
12.82256, -6.09765625e-08, -1.070493682e-05
12.826656, -7.28515625e-08, -1.279565653e-05
12.830752, -8.47265625e-08, -1.488479406e-05
12.834848, -9.66015625e-08, -1.697278301e-05
12.871712, -3.18125e-07, -5.582067867e-05
12.875808, -3.463671875e-07, -6.077516388e-05
12.908576, -6.699609375e-07, -0.0001174085488
12.912672, -7.14609375e-07, -0.0001252247865
12.94544, -1.178867188e-06, -0.0002063055096
12.949536, -1.243515625e-06, -0.0002176022668
