time, angle, torque
975.21872, -5.049223178e-05, 1.065946982e-05
975.312928, 0.004272897754, 1.157699671e-05
975.317024, 0.004460188773, 1.161679873e-05
975.427616, 0.009561928587, 1.268660784e-05
975.431712, 0.009750607091, 1.272627227e-05
976.28368, 0.04878573157, 2.002044674e-05
976.287776, 0.04897503209, 2.005681555e-05
976.975904, 0.07979114017, 2.532839941e-05
976.98, 0.07997479967, 2.53603723e-05
977.692704, 0.1107507763, 3.006125126e-05
977.6968, 0.1109247128, 3.008772245e-05
978.348064, 0.1376634077, 3.368498787e-05
978.35216, 0.1378269711, 3.370636158e-05
978.995232, 0.1626119002, 3.657277356e-05
978.999328, 0.1627654517, 3.65897812e-05
979.585056, 0.1836964642, 3.861483813e-05
979.589152, 0.1838373293, 3.8627302e-05
980.158496, 0.2024792821, 4.006857461e-05
980.162592, 0.202607908, 4.007724097e-05
980.70736, 0.2187141769, 4.098582688e-05
980.711456, 0.2188297775, 4.099096285e-05
981.026848, 0.2273253839, 4.1300036e-05
981.030944, 0.2274312188, 4.130264951e-05
981.235744, 0.2326051424, 4.141914846e-05
981.23984, 0.2327074498, 4.142115766e-05
981.719072, 0.2437241289, 4.14945696e-05
981.723168, 0.2438119165, 4.149326681e-05
982.214688, 0.2534741335, 4.124331112e-05
982.218784, 0.2535480764, 4.123927578e-05
982.710304, 0.261485511, 4.067036186e-05
982.7144, 0.2615442038, 4.066344192e-05
983.20592, 0.2677009462, 3.978774443e-05
983.210016, 0.2677458589, 3.977865232e-05
983.689248, 0.2719959767, 3.863950272e-05
983.693344, 0.272025335, 3.862783993e-05
983.803936, 0.2727563517, 3.830774123e-05
983.808032, 0.2727793212, 3.829470528e-05
984.16848, 0.274501228, 3.719782865e-05
984.172576, 0.27451725, 3.718446885e-05
984.610848, 0.2752527702, 3.567170259e-05
984.614944, 0.275256311, 3.565677826e-05
984.651808, 0.2752471125, 3.551197863e-05
984.655904, 0.275248052, 3.549649857e-05
984.950816, 0.2748096807, 3.433090045e-05
984.954912, 0.2748003247, 3.431390803e-05
985.237536, 0.2737459396, 3.311215378e-05
985.241632, 0.2737265252, 3.309368481e-05
