time, angle, torque
917.85424, -6.365538058e-05, -2.349845176e-08
918.669344, 0.03672803455, 1.215462317e-05
918.67344, 0.03690738202, 1.221428668e-05
919.275552, 0.06209773616, 1.994029551e-05
919.279648, 0.06226119378, 1.999029961e-05
919.566368, 0.0733134031, 2.321993418e-05
919.570464, 0.07346763676, 2.326481844e-05
919.848992, 0.08348128254, 2.603393139e-05
919.853088, 0.08362339684, 2.60727396e-05
919.975968, 0.08778714933, 2.71808055e-05
919.980064, 0.08792459473, 2.721723278e-05
920.111136, 0.09218851703, 2.831248213e-05
920.115232, 0.09231933934, 2.834576555e-05
920.377376, 0.1002453602, 3.024389507e-05
920.381472, 0.1003647714, 3.027181118e-05
920.63952, 0.1073485862, 3.178053532e-05
920.643616, 0.1074534805, 3.180210641e-05
920.901664, 0.1135693942, 3.29480741e-05
920.90576, 0.1136600594, 3.296369825e-05
921.159712, 0.1187853151, 3.373706644e-05
921.163808, 0.1188632715, 3.374766336e-05
921.405472, 0.122882222, 3.416017511e-05
921.409568, 0.1229446494, 3.416492298e-05
921.651232, 0.1261004913, 3.426932337e-05
921.655328, 0.1261470965, 3.426841166e-05
921.901088, 0.1284485411, 3.406764301e-05
921.905184, 0.1284805937, 3.406188871e-05
922.146848, 0.1298342245, 3.357201597e-05
922.150944, 0.1298509247, 3.356137617e-05
922.392608, 0.130295211, 3.279446465e-05
922.396704, 0.130296229, 3.277907326e-05
922.4008, 0.1302957657, 3.276313427e-05
922.683424, 0.1296424325, 3.153443238e-05
922.68752, 0.129624371, 3.151350817e-05
922.978336, 0.1276573953, 2.989613462e-05
922.982432, 0.1276218348, 2.987057864e-05
923.265056, 0.1244716067, 2.797524323e-05
923.269152, 0.1244174914, 2.794480885e-05
923.56816, 0.1197881366, 2.562214803e-05
923.572256, 0.1197167565, 2.558758125e-05
923.871264, 0.1137999995, 2.29593787e-05
923.87536, 0.1137112128, 2.292070949e-05
924.010528, 0.1106277476, 2.162109545e-05
924.014624, 0.1105307816, 2.158050932e-05
924.170272, 0.1066737446, 2.001855422e-05
924.174368, 0.1065687412, 1.997625257e-05
924.493856, 0.0976814269, 1.660114422e-05
924.497952, 0.09756013568, 1.655526803e-05
924.809248, 0.08772992521, 1.301452433e-05
924.813344, 0.08759332739, 1.296528585e-05
925.067296, 0.07879720046, 9.905190039e-06
925.071392, 0.07864981189, 9.853754817e-06
925.354016, 0.06811806308, 6.309506873e-06
925.358112, 0.06796209038, 6.256769928e-06
925.665312, 0.05574077089, 2.269857773e-06
925.669408, 0.05557366795, 2.214925149e-06
925.96432, 0.0432031689, -1.717599664e-06
925.968416, 0.04302849875, -1.773574535e-06
926.53776, 0.01784478104, -9.357127782e-06
926.541856, 0.01765978881, -9.41378203e-06
926.922784, 0.0002243484562, -1.452341503e-05
926.92688, 3.695869056e-05, -1.457875461e-05
927.844384, -0.04195605267, -2.571932838e-05
927.84848, -0.04213933749, -2.576802772e-05
928.19664, -0.05744827887, -2.962316229e-05
928.200736, -0.05762486572, -2.966720358e-05
928.548896, -0.07226098327, -3.310964058e-05
928.552992, -0.07243206617, -3.314975667e-05
928.860192, -0.08462481607, -3.580104376e-05
928.864288, -0.08478453869, -3.583519948e-05
929.1592, -0.0957250474, -3.800272571e-05
929.163296, -0.09587273001, -3.803098948e-05
929.413152, -0.1044744098, -3.956213707e-05
929.417248, -0.1046092812, -3.958457789e-05
929.462304, -0.1060919294, -3.983084023e-05
929.4664, -0.1062262199, -3.98530112e-05
929.744928, -0.1148566983, -4.115194951e-05
929.749024, -0.114980477, -4.116969693e-05
930.01936, -0.122465524, -4.207795234e-05
930.023456, -0.1225723137, -4.208889821e-05
930.2856, -0.1289335137, -4.263765081e-05
930.289696, -0.1290269474, -4.264374017e-05
930.539552, -0.1342181111, -4.286291451e-05
930.543648, -0.1342960953, -4.286358977e-05
930.801696, -0.1387246072, -4.278673147e-05
930.805792, -0.1387884258, -4.278293443e-05
931.047456, -0.1420447493, -4.243410165e-05
931.051552, -0.142095114, -4.242635522e-05
931.313696, -0.1446296225, -4.176190697e-05
931.317792, -0.1446622676, -4.174890095e-05
931.522592, -0.1459069428, -4.101815729e-05
931.526688, -0.1459234346, -4.100036214e-05
931.559456, -0.1460617412, -4.086269797e-05
931.563552, -0.1460784879, -4.084533637e-05
931.805216, -0.1465671439, -3.973460473e-05
931.809312, -0.1465702482, -3.971398507e-05
931.8216, -0.1465697788, -3.96485774e-05
931.825696, -0.1465694841, -3.962676826e-05
932.10832, -0.1459147063, -3.803351487e-05
932.112416, -0.1458971134, -3.800758776e-05
932.403232, -0.1439303186, -3.60644795e-05
932.407328, -0.1438936051, -3.603400305e-05
932.694048, -0.1406893099, -3.383197317e-05
932.698144, -0.1406347581, -3.379754518e-05
932.993056, -0.1360594109, -3.12580694e-05
932.997152, -0.1359876432, -3.122007056e-05
933.189664, -0.1323199874, -2.94028296e-05
933.19376, -0.1322364339, -2.93623466e-05
933.287968, -0.1302490269, -2.842576163e-05
933.292064, -0.13016179, -2.838485286e-05
933.607456, -0.1226254824, -2.513473151e-05
933.611552, -0.1225196712, -2.508987721e-05
933.918752, -0.1139495818, -2.167934315e-05
933.922848, -0.1138280043, -2.163138353e-05
934.23824, -0.1038608542, -1.790658482e-05
934.242336, -0.1037250067, -1.785596008e-05
934.500384, -0.09476989238, -1.464530867e-05
934.50448, -0.09462340478, -1.459275044e-05
934.787104, -0.08407215254, -1.094773476e-05
934.7912, -0.083916303, -1.089371984e-05
935.086112, -0.07217551945, -6.967030686e-06
935.090208, -0.07201183013, -6.912037474e-06
935.38512, -0.0596485419, -2.890243676e-06
935.389216, -0.05947415089, -2.833096469e-06
935.946272, -0.03485488673, 4.764034884e-06
935.950368, -0.03466985958, 4.822103563e-06
936.699936, -0.0002233027445, 1.47794256e-05
